序号,代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
1051,601952,苏垦农发,10.51,0.29,0.03,17251,18103312.0,0.86,10.54,10.45,10.45,10.48,1.09,0.13,25.74,2.38
1052,601066,中信建投,24.55,0.29,0.07,27255,66774291.0,0.86,24.59,24.38,24.5,24.48,1.46,0.07,22.1,2.76
1053,002831,裕同科技,24.64,0.28,0.07,8175,20123182.61,1.95,24.8,24.32,24.45,24.57,1.51,0.16,26.56,2.28
1054,000723,美锦能源,7.05,0.28,0.02,66813,47010050.92,1.0,7.07,7.0,7.0,7.03,1.68,0.17,40.88,2.11
1055,688379,华光新材,21.18,0.28,0.06,4006,8449719.0,2.75,21.38,20.8,21.01,21.12,1.52,0.45,29.06,2.02
1056,601633,长城汽车,28.29,0.28,0.08,218534,626648945.0,4.96,29.35,27.95,28.0,28.21,3.32,0.35,88.28,3.88
1057,002662,京威股份,3.54,0.28,0.01,81755,28919469.0,1.42,3.56,3.51,3.54,3.53,1.53,0.55,14.52,1.4
1058,301013,利和兴,17.71,0.28,0.05,249358,451542794.05,5.55,18.61,17.63,18.27,17.66,3.58,14.99,-241.1,4.77
1059,600628,新世界,7.09,0.28,0.02,13433,9560510.0,1.56,7.16,7.05,7.07,7.07,1.28,0.21,60.3,1.08
1060,601003,柳钢股份,3.55,0.28,0.01,40548,14388913.0,1.41,3.57,3.52,3.55,3.54,1.5,0.16,-31.43,0.94
1061,000820,神雾节能,3.55,0.28,0.01,16370,5832889.4,1.41,3.59,3.54,3.54,3.54,1.53,0.57,-74.15,32.15
1062,002142,宁波银行,25.01,0.28,0.07,108453,270818305.96,1.4,25.1,24.75,24.9,24.94,1.04,0.17,6.38,0.98
1063,002889,东方嘉盛,21.55,0.28,0.06,21793,46645543.2,3.21,21.67,20.98,21.27,21.49,1.03,1.74,16.35,1.91
1064,600893,航发动力,36.2,0.28,0.1,37865,136411833.0,1.75,36.33,35.7,36.16,36.1,1.76,0.14,66.53,2.49
1065,601006,大秦铁路,7.31,0.27,0.02,70040,51127769.0,0.55,7.32,7.28,7.3,7.29,0.69,0.05,7.45,0.88
1066,000776,广发证券,14.64,0.27,0.04,114718,167228641.0,0.89,14.65,14.52,14.62,14.6,1.92,0.19,12.29,1.01
1067,834639,晨光电缆,3.67,0.27,0.01,100,36600.0,0.55,3.67,3.65,3.65,3.66,0.35,0.01,10.89,0.89
1068,603188,亚邦股份,3.67,0.27,0.01,27063,9961395.0,2.46,3.72,3.63,3.66,3.66,2.13,0.47,-5.27,1.6
1069,600795,国电电力,3.67,0.27,0.01,228873,84255567.0,1.91,3.71,3.64,3.65,3.66,1.78,0.13,10.96,1.41
1070,002840,华统股份,14.68,0.27,0.04,14607,21453904.7,2.46,14.83,14.47,14.64,14.64,1.37,0.32,-12.62,3.95
1071,601827,三峰环境,7.36,0.27,0.02,11616,8559804.0,0.95,7.4,7.33,7.33,7.34,1.97,0.07,9.76,1.25
1072,600720,祁连山,11.05,0.27,0.03,17827,19761636.0,1.18,11.16,11.03,11.05,11.02,1.45,0.23,18.03,0.96
1073,002211,宏达新材,3.7,0.27,0.01,25218,9342041.0,2.71,3.75,3.65,3.69,3.69,2.03,0.58,-69.61,19.71
1074,000850,华茂股份,3.71,0.27,0.01,26405,9826067.0,2.16,3.75,3.67,3.71,3.7,1.86,0.28,20.92,0.81
1075,600368,五洲交通,3.73,0.27,0.01,32072,11967706.0,1.08,3.75,3.71,3.72,3.72,1.16,0.26,6.67,0.77
1076,002758,浙农股份,11.19,0.27,0.03,4845,5411846.3,0.63,11.2,11.13,11.17,11.16,0.98,0.2,16.49,1.35
1077,600356,恒丰纸业,7.47,0.27,0.02,8241,6161605.0,0.81,7.5,7.44,7.47,7.45,1.07,0.28,20.36,0.92
1078,600016,民生银行,3.75,0.27,0.01,236049,88602066.0,1.34,3.78,3.73,3.75,3.74,1.1,0.07,3.45,0.32
1079,000625,长安汽车,15.05,0.27,0.04,984688,1490069403.24,2.27,15.31,14.97,15.09,15.01,1.48,1.29,9.75,2.2
1080,870357,雅葆轩,7.53,0.27,0.02,7,5180.1,0.53,7.53,7.49,7.49,7.51,0.07,0.0,11.93,1.76
1081,002614,奥佳华,7.55,0.27,0.02,16701,12633969.49,1.46,7.61,7.5,7.51,7.53,1.34,0.38,55.77,1.06
1082,301548,崇德科技,60.66,0.26,0.16,8018,49141159.98,2.3,61.99,60.6,61.07,60.5,1.6,5.64,36.17,2.63
1083,000878,云南铜业,11.41,0.26,0.03,62477,71360449.46,1.32,11.51,11.36,11.39,11.38,1.57,0.31,11.32,1.7
1084,600647,*ST同达,11.42,0.26,0.03,2292,2616161.0,0.7,11.46,11.38,11.41,11.39,0.9,0.16,-239.52,5.44
1085,000739,普洛药业,19.1,0.26,0.05,231001,446466039.4,3.52,19.7,19.03,19.3,19.05,6.55,1.96,18.72,3.91
1086,600980,北矿科技,15.33,0.26,0.04,9820,14985282.0,1.7,15.43,15.17,15.26,15.29,1.92,0.63,32.33,2.32
1087,603058,永吉股份,7.67,0.26,0.02,11128,8530860.0,1.83,7.71,7.57,7.67,7.65,1.06,0.27,57.13,3.29
1088,600391,航发科技,19.19,0.26,0.05,22278,42555463.0,2.04,19.29,18.9,19.16,19.14,2.1,0.67,256.33,4.04
1089,001367,海森药业,46.88,0.26,0.12,5460,25684070.59,2.31,47.57,46.49,46.5,46.76,1.33,3.28,34.8,2.68
1090,300251,光线传媒,7.84,0.26,0.02,154113,121448558.04,1.79,7.95,7.81,7.83,7.82,1.65,0.55,56.71,2.75
1091,002075,沙钢股份,3.94,0.25,0.01,33954,13348088.0,0.76,3.95,3.92,3.93,3.93,1.06,0.15,40.58,1.35
1092,600200,江苏吴中,7.89,0.25,0.02,111736,88644544.0,1.91,8.02,7.87,7.92,7.87,3.63,1.57,102.55,3.05
1093,300761,立华股份,15.8,0.25,0.04,7941,12584860.38,1.52,15.94,15.7,15.81,15.76,1.08,0.13,-11.05,1.74
1094,002233,塔牌集团,7.93,0.25,0.02,29675,23631459.0,1.14,8.0,7.91,7.92,7.91,1.29,0.25,9.73,0.81
1095,000837,秦川机床,11.94,0.25,0.03,74210,87937167.47,2.27,11.99,11.72,11.93,11.91,1.25,1.07,74.77,2.51
1096,001210,金房能源,19.95,0.25,0.05,1976,3943942.0,0.65,20.02,19.89,19.94,19.9,0.9,0.41,12.7,1.68
1097,833781,瑞奇智造,4.0,0.25,0.01,142,57054.0,0.5,4.02,4.0,4.02,3.99,0.66,0.02,18.27,1.47
1098,300578,会畅通讯,20.03,0.25,0.05,11454,22855472.0,1.35,20.09,19.82,20.0,19.98,1.76,0.59,1253.48,2.41
1099,002069,獐子岛,4.02,0.25,0.01,20592,8288848.0,1.25,4.05,4.0,4.02,4.01,1.37,0.29,323.95,36.52
1100,601555,东吴证券,8.14,0.25,0.02,172949,140755278.0,2.46,8.23,8.03,8.11,8.12,1.66,0.35,14.67,1.04
1101,301211,亨迪药业,24.46,0.25,0.06,48830,120715541.71,2.75,25.12,24.45,24.66,24.4,2.36,6.89,31.16,3.07
1102,002674,兴业科技,12.25,0.25,0.03,5535,6800533.0,1.55,12.38,12.19,12.32,12.22,0.99,0.19,19.26,1.56
1103,601989,中国重工,4.14,0.24,0.01,248837,103047180.0,0.97,4.16,4.12,4.14,4.13,1.28,0.11,245.68,1.13
1104,832089,禾昌聚合,12.43,0.24,0.03,249,308918.99,1.29,12.5,12.34,12.48,12.4,0.21,0.04,12.63,1.41
1105,836699,海达尔,8.29,0.24,0.02,134,110107.46,0.97,8.3,8.22,8.25,8.27,1.71,0.13,15.33,1.65
1106,605377,华旺科技,21.11,0.24,0.05,7515,15871340.0,1.71,21.27,20.91,21.1,21.06,1.48,0.42,14.86,1.91
1107,002930,宏川智慧,21.12,0.24,0.05,1650,3482935.1,1.42,21.2,20.9,21.11,21.07,0.74,0.04,30.14,4.2
1108,835184,国源科技,4.24,0.24,0.01,10,4315.78,0.71,4.24,4.21,4.21,4.23,0.06,0.0,55.2,0.96
1109,000333,美的集团,55.12,0.24,0.13,39527,217433562.44,0.87,55.28,54.8,54.8,54.99,0.81,0.06,10.62,2.64
1110,300321,同大股份,17.01,0.24,0.04,2396,4059044.0,1.65,17.09,16.81,17.07,16.97,1.4,0.28,-51.27,2.47
1111,600248,陕建股份,4.29,0.23,0.01,100856,43175700.0,0.93,4.3,4.26,4.28,4.28,1.28,0.7,3.77,0.8
1112,300740,水羊股份,17.18,0.23,0.04,38649,67289519.9,3.33,17.64,17.07,17.25,17.14,1.29,1.08,23.48,3.64
1113,605162,新中港,8.61,0.23,0.02,9326,8035952.0,1.05,8.67,8.58,8.65,8.59,1.65,0.92,38.29,3.13
1114,600283,钱江水利,13.0,0.23,0.03,9932,12876016.0,1.23,13.04,12.88,12.91,12.97,0.8,0.28,23.3,2.04
1115,003016,欣贺股份,8.71,0.23,0.02,20341,17737632.0,1.61,8.78,8.64,8.69,8.69,1.39,1.38,19.56,1.33
1116,002561,徐家汇,8.72,0.23,0.02,17692,15460151.1,1.26,8.77,8.66,8.68,8.7,1.13,0.43,54.24,1.64
1117,605266,健之佳,48.27,0.23,0.11,2564,12446815.0,2.43,48.97,47.8,47.99,48.16,1.34,0.34,19.68,2.39
1118,000166,申万宏源,4.39,0.23,0.01,202397,88352758.43,1.6,4.4,4.33,4.37,4.38,1.24,0.09,14.67,1.11
1119,002839,张家港行,4.4,0.23,0.01,62480,27468290.2,0.91,4.42,4.38,4.4,4.39,1.74,0.3,5.51,0.7
1120,002434,万里扬,8.8,0.23,0.02,34188,29961636.12,1.71,8.86,8.71,8.85,8.78,1.79,0.26,23.01,1.98
1121,000572,海马汽车,4.41,0.23,0.01,197150,86958591.0,2.5,4.45,4.34,4.36,4.4,2.03,1.2,-56.98,3.56
1122,002179,中航光电,40.04,0.23,0.09,23170,92274545.11,1.6,40.14,39.5,39.95,39.95,1.01,0.11,21.73,4.49
1123,002576,通达动力,17.84,0.22,0.04,33996,60517463.0,1.85,17.94,17.61,17.7,17.8,0.91,2.1,26.71,2.52
1124,000757,浩物股份,4.47,0.22,0.01,61296,27413901.0,2.69,4.55,4.43,4.51,4.46,2.31,1.15,-33.29,1.41
1125,603577,汇金通,9.07,0.22,0.02,5623,5091779.0,2.43,9.14,8.92,9.14,9.05,1.66,0.2,60.88,1.76
1126,688282,理工导航,45.56,0.22,0.1,2270,10298829.0,3.26,46.16,44.68,45.6,45.46,1.71,0.63,139.63,2.71
1127,600189,泉阳泉,9.12,0.22,0.02,63577,57690755.0,1.65,9.15,9.0,9.1,9.1,0.98,0.89,89.87,3.87
1128,603967,中创物流,9.34,0.21,0.02,5331,4982166.0,1.07,9.4,9.3,9.35,9.32,1.42,0.15,12.74,1.5
1129,600722,金牛化工,4.67,0.21,0.01,13374,6235680.0,1.07,4.69,4.64,4.67,4.66,1.79,0.2,73.47,2.81
1130,600650,锦江在线,9.34,0.21,0.02,4377,4076073.0,1.18,9.37,9.26,9.31,9.32,1.39,0.11,34.09,1.36
1131,600615,丰华股份,9.38,0.21,0.02,23590,22075071.0,1.71,9.45,9.29,9.4,9.36,0.8,1.26,-250.34,2.8
1132,002370,亚太药业,4.69,0.21,0.01,158728,75064898.49,2.99,4.82,4.68,4.7,4.68,3.92,2.81,66.96,22.66
1133,603565,中谷物流,9.39,0.21,0.02,17488,16299129.0,1.28,9.4,9.28,9.39,9.37,1.22,0.08,11.08,1.99
1134,300743,天地数码,14.18,0.21,0.03,28727,40568004.17,3.39,14.28,13.8,14.2,14.15,3.08,2.93,36.81,4.75
1135,600909,华安证券,4.74,0.21,0.01,122854,57849478.0,1.27,4.74,4.68,4.73,4.73,1.66,0.26,16.94,1.11
1136,601598,中国外运,4.78,0.21,0.01,51447,24603812.0,1.26,4.81,4.75,4.78,4.77,0.89,0.1,8.03,0.95
1137,601002,晋亿实业,4.79,0.21,0.01,17416,8332363.0,1.05,4.81,4.76,4.8,4.78,1.55,0.18,151.07,1.1
1138,605296,神农集团,19.69,0.2,0.04,2434,4792432.0,0.66,19.77,19.64,19.68,19.65,0.83,0.36,-19.59,2.4
1139,603699,纽威股份,15.02,0.2,0.03,9519,14191360.0,2.13,15.03,14.71,14.86,14.99,1.74,0.13,16.72,3.36
1140,300573,兴齐眼药,160.7,0.2,0.32,8735,140690743.44,2.03,162.6,159.35,159.9,160.38,1.39,0.92,113.52,13.36
1141,601598,中国外运,4.78,0.21,0.01,51447,24603812.0,1.26,4.81,4.75,4.78,4.77,0.89,0.1,8.03,0.95
1142,601002,晋亿实业,4.79,0.21,0.01,17416,8332363.0,1.05,4.81,4.76,4.8,4.78,1.55,0.18,151.07,1.1
1143,605296,神农集团,19.69,0.2,0.04,2434,4792432.0,0.66,19.77,19.64,19.68,19.65,0.83,0.36,-19.59,2.4
1144,603699,纽威股份,15.02,0.2,0.03,9519,14191360.0,2.13,15.03,14.71,14.86,14.99,1.74,0.13,16.72,3.36
1145,300573,兴齐眼药,160.7,0.2,0.32,8735,140690743.44,2.03,162.6,159.35,159.9,160.38,1.39,0.92,113.52,13.36
1146,300602,飞荣达,20.21,0.2,0.04,94762,195362638.59,6.35,21.39,20.11,21.0,20.17,1.94,2.97,1453.43,3.25
1147,600018,上港集团,5.06,0.2,0.01,57455,29084918.0,0.99,5.09,5.04,5.05,5.05,1.49,0.02,8.04,1.01
1148,002316,亚联发展,5.06,0.2,0.01,74074,37659252.0,3.37,5.16,4.99,5.03,5.05,1.88,2.35,-95.99,43.91
1149,000426,兴业银锡,10.16,0.2,0.02,84207,85851430.0,1.48,10.28,10.13,10.26,10.14,1.29,0.57,70.41,3.32
1150,688119,中钢洛耐,5.1,0.2,0.01,15039,7656944.0,0.98,5.12,5.07,5.11,5.09,1.26,0.27,41.52,1.87
1151,600962,国投中鲁,10.24,0.2,0.02,8745,8987593.0,1.47,10.32,10.17,10.21,10.22,1.52,0.33,57.29,3.3
1152,688122,西部超导,46.57,0.19,0.09,10596,49406875.0,1.83,47.08,46.23,46.59,46.48,1.31,0.16,35.92,5.08
1153,003002,壶化股份,15.66,0.19,0.03,10612,16560448.34,2.11,15.76,15.43,15.63,15.63,1.88,0.54,18.17,2.64
1154,301012,扬电科技,21.15,0.19,0.04,4476,9497760.0,3.41,21.7,20.98,21.01,21.11,1.34,0.6,-420.2,2.71
1155,000598,兴蓉环境,5.3,0.19,0.01,30009,15931571.0,0.76,5.33,5.29,5.31,5.29,1.31,0.1,9.34,1.03
1156,300520,科大国创,21.35,0.19,0.04,50061,107291867.6,2.49,21.68,21.15,21.39,21.31,1.36,2.15,56.52,3.5
1157,301348,蓝箭电子,43.09,0.19,0.08,27374,119436835.15,3.53,44.57,43.05,43.5,43.01,1.63,5.77,106.53,5.56
1158,600030,中信证券,21.56,0.19,0.04,149064,319959449.0,1.3,21.6,21.32,21.47,21.52,1.25,0.13,14.13,1.31
1159,002800,ST天顺,16.2,0.19,0.03,3778,6108339.0,1.3,16.26,16.05,16.16,16.17,1.07,0.37,64.76,3.09
1160,605255,天普股份,16.38,0.18,0.03,3870,6344690.0,1.77,16.59,16.3,16.33,16.35,1.06,0.29,66.2,2.65
1161,873665,科强股份,5.56,0.18,0.01,2861,1588855.67,1.26,5.6,5.53,5.58,5.55,0.83,0.87,10.37,1.13
1162,600235,民丰特纸,5.56,0.18,0.01,15363,8543781.0,1.26,5.59,5.52,5.54,5.55,1.16,0.44,62.85,1.38
1163,002330,得利斯,5.56,0.18,0.01,19037,10569621.0,0.9,5.58,5.53,5.54,5.55,1.28,0.3,68.92,1.46
1164,430564,天润科技,5.65,0.18,0.01,9,5085.0,0.0,5.65,5.65,5.65,5.64,0.4,0.0,133.87,1.34
1165,600831,广电网络,5.68,0.18,0.01,22279,12656694.0,0.88,5.7,5.65,5.66,5.67,0.62,0.31,100.36,1.06
1166,000783,长江证券,5.74,0.17,0.01,81803,46695555.0,1.4,5.75,5.67,5.72,5.73,1.65,0.15,14.35,1.03
1167,301353,普莱得,34.6,0.17,0.06,4716,16396713.0,1.85,35.07,34.43,34.83,34.54,1.97,2.48,27.33,2.13
1168,002797,第一创业,5.8,0.17,0.01,100411,57877689.76,1.38,5.81,5.73,5.78,5.79,1.62,0.24,38.57,1.65
1169,872895,花溪科技,5.82,0.17,0.01,13,7567.0,0.17,5.83,5.82,5.83,5.81,0.18,0.01,66.05,1.53
1170,600735,新华锦,5.84,0.17,0.01,7288,4254381.0,1.54,5.87,5.78,5.82,5.83,1.22,0.17,40.6,1.72
1171,600028,中国石化,5.86,0.17,0.01,561066,330685411.0,1.88,5.95,5.84,5.88,5.85,1.65,0.06,10.0,0.88
1172,300649,杭州园林,17.68,0.17,0.03,15122,26839061.0,0.79,17.82,17.68,17.76,17.65,1.42,1.44,93.36,4.31
1173,600167,联美控股,5.9,0.17,0.01,17996,10644065.0,1.19,5.96,5.89,5.91,5.89,1.84,0.08,11.36,1.26
1174,002571,德力股份,5.97,0.17,0.01,6147,3670092.0,1.34,6.0,5.92,5.93,5.96,1.4,0.21,-23.62,1.85
1175,002333,罗普斯金,5.97,0.17,0.01,38192,22840497.0,1.34,6.02,5.94,6.0,5.96,0.96,0.95,61.49,2.17
1176,601279,英利汽车,6.02,0.17,0.01,36169,21679351.0,2.0,6.04,5.92,6.02,6.01,1.74,1.85,112.13,2.42
1177,605077,华康股份,24.31,0.16,0.04,2542,6174207.0,2.06,24.55,24.05,24.4,24.27,1.74,0.17,15.0,2.05
1178,002078,太阳纸业,12.16,0.16,0.02,14374,17416949.0,0.99,12.18,12.06,12.13,12.14,0.71,0.05,13.58,1.37
1179,002152,广电运通,12.21,0.16,0.02,71804,87521278.0,1.89,12.29,12.06,12.22,12.19,1.9,0.29,32.01,2.61
1180,603900,莱绅通灵,6.14,0.16,0.01,7868,4843635.0,1.31,6.19,6.11,6.13,6.13,0.96,0.23,175.24,0.96
1181,301118,恒光股份,24.87,0.16,0.04,2007,4985349.41,1.17,25.0,24.71,24.9,24.83,1.15,0.38,118.06,1.85
1182,600395,盘江股份,6.24,0.16,0.01,37211,23209457.0,1.12,6.27,6.2,6.24,6.23,1.24,0.17,10.81,1.27
1183,603238,诺邦股份,12.5,0.16,0.02,7978,10016303.0,2.16,12.68,12.41,12.43,12.48,1.23,0.45,36.36,1.7
1184,002623,亚玛顿,25.01,0.16,0.04,4928,12296249.0,1.84,25.27,24.81,25.27,24.97,1.99,0.25,63.79,1.56
1185,601699,潞安环能,18.76,0.16,0.03,39453,74128301.0,1.44,18.97,18.7,18.74,18.73,1.08,0.13,5.3,1.22
1186,833266,生物谷,6.27,0.16,0.01,34,21312.54,1.12,6.27,6.2,6.27,6.26,0.32,0.0,-100.65,0.8
1187,002408,齐翔腾达,6.31,0.16,0.01,32721,20710926.0,1.43,6.38,6.29,6.32,6.3,2.22,0.12,438.82,1.34
1188,301061,匠心家居,44.28,0.16,0.07,1795,7956288.8,1.99,44.71,43.83,44.19,44.21,0.93,0.56,14.09,2.02
1189,601377,兴业证券,6.43,0.16,0.01,121626,77782602.0,1.09,6.44,6.37,6.42,6.42,1.11,0.14,15.46,1.07
1190,600523,贵航股份,13.19,0.15,0.02,14611,19280654.0,1.75,13.33,13.1,13.17,13.17,1.77,0.36,41.66,1.88
1191,002778,中晟高科,13.2,0.15,0.02,5505,7277145.0,1.14,13.29,13.14,13.16,13.18,1.19,0.45,-463.01,2.86
1192,002357,富临运业,6.63,0.15,0.01,42011,28031499.96,2.27,6.76,6.61,6.7,6.62,2.53,1.34,8.81,1.47
1193,000089,深圳机场,6.63,0.15,0.01,33243,21988127.49,1.06,6.65,6.58,6.62,6.62,1.59,0.16,-123.37,1.28
1194,002114,罗平锌电,6.66,0.15,0.01,25960,17294561.0,1.8,6.75,6.63,6.63,6.65,1.56,0.8,-11.34,1.88
1195,301198,喜悦智行,13.47,0.15,0.02,10807,14609775.0,1.56,13.6,13.39,13.45,13.45,2.02,1.39,41.47,2.4
1196,300631,久吾高科,27.03,0.15,0.04,3551,9627615.86,1.04,27.28,27.0,27.01,26.99,1.11,0.29,179.1,2.75
1197,300680,隆盛科技,20.28,0.15,0.03,53019,109126854.96,4.74,20.98,20.02,20.12,20.25,2.68,3.06,32.56,2.83
1198,601858,中国科传,27.06,0.15,0.04,111008,302067058.0,5.55,27.8,26.3,26.97,27.02,1.85,1.4,58.17,4.25
1199,603677,奇精机械,13.64,0.15,0.02,5204,7105495.0,1.4,13.75,13.56,13.64,13.62,1.39,0.27,30.74,2.49
1200,000039,中集集团,6.83,0.15,0.01,26813,18340588.5,1.03,6.88,6.81,6.84,6.82,0.91,0.12,46.21,0.81
1201,300631,久吾高科,27.03,0.15,0.04,3551,9627615.86,1.04,27.28,27.0,27.01,26.99,1.11,0.29,179.1,2.75
1202,300680,隆盛科技,20.28,0.15,0.03,53019,109126854.96,4.74,20.98,20.02,20.12,20.25,2.68,3.06,32.56,2.83
1203,601858,中国科传,27.06,0.15,0.04,111008,302067058.0,5.55,27.8,26.3,26.97,27.02,1.85,1.4,58.17,4.25
1204,603677,奇精机械,13.64,0.15,0.02,5204,7105495.0,1.4,13.75,13.56,13.64,13.62,1.39,0.27,30.74,2.49
1205,000039,中集集团,6.83,0.15,0.01,26813,18340588.5,1.03,6.88,6.81,6.84,6.82,0.91,0.12,46.21,0.81
1206,002302,西部建设,6.85,0.15,0.01,29991,20623644.0,1.46,6.93,6.83,6.84,6.84,0.82,0.24,26.21,0.98
1207,300154,瑞凌股份,6.86,0.15,0.01,19711,13493543.0,1.46,6.9,6.8,6.88,6.85,1.31,0.62,21.99,1.84
1208,830879,基康仪器,6.95,0.14,0.01,940,663750.87,3.89,7.17,6.9,7.13,6.94,2.73,0.18,15.89,1.85
1209,871753,天纺标,7.03,0.14,0.01,39,27455.0,0.14,7.04,7.03,7.04,7.02,0.33,0.02,21.72,1.46
1210,300875,捷强装备,35.32,0.14,0.05,12935,45816373.72,2.38,35.85,35.01,35.1,35.27,2.08,1.96,-408.01,2.65
1211,603182,嘉华股份,14.17,0.14,0.02,2564,3625211.0,1.2,14.25,14.08,14.19,14.15,1.34,0.28,18.79,2.38
1212,301221,光庭信息,64.0,0.14,0.09,33345,216971604.55,3.58,66.09,63.8,64.95,63.91,1.74,7.66,289.07,2.91
1213,600919,江苏银行,7.14,0.14,0.01,386577,276166992.0,0.56,7.16,7.12,7.14,7.13,1.12,0.22,3.77,0.71
1214,836419,万德股份,7.18,0.14,0.01,491,352819.37,0.28,7.2,7.18,7.18,7.17,0.7,0.13,13.18,1.34
1215,603815,交建股份,7.25,0.14,0.01,9279,6740363.0,0.83,7.29,7.23,7.28,7.24,1.31,0.15,23.59,2.03
1216,601121,宝地矿业,7.36,0.14,0.01,22298,16399817.0,0.82,7.38,7.32,7.33,7.35,0.95,1.11,43.87,2.03
1217,300453,三鑫医疗,7.37,0.14,0.01,21924,16303775.4,2.85,7.57,7.36,7.45,7.36,2.47,0.61,21.27,3.42
1218,836270,天铭科技,7.55,0.13,0.01,244,185324.68,0.93,7.62,7.55,7.62,7.54,1.13,0.11,11.98,1.75
1219,601519,大智慧,7.55,0.13,0.01,89033,66777267.0,1.86,7.58,7.44,7.51,7.54,1.33,0.44,26.94,7.95
1220,600900,长江电力,22.77,0.13,0.03,148785,339947718.0,1.19,23.0,22.73,22.78,22.74,1.56,0.07,31.36,3.01
1221,301181,标榜股份,32.02,0.13,0.04,4587,14700909.0,2.5,32.4,31.6,31.98,31.98,1.17,1.18,26.4,2.82
1222,600128,苏豪弘业,8.04,0.12,0.01,8185,6606630.0,2.12,8.18,8.01,8.02,8.03,1.4,0.33,72.29,0.95
1223,002200,ST交投,8.04,0.12,0.01,2374,1897976.0,0.87,8.04,7.97,8.04,8.03,1.71,0.13,207.03,26.78
1224,603113,金能科技,8.17,0.12,0.01,17313,14153856.0,1.84,8.22,8.07,8.18,8.16,1.98,0.2,-57.25,0.83
1225,600348,华阳股份,8.21,0.12,0.01,101014,82940992.0,1.1,8.26,8.17,8.23,8.2,1.45,0.28,4.92,1.11
1226,600218,全柴动力,8.44,0.12,0.01,11028,9312361.0,0.71,8.48,8.42,8.45,8.43,1.5,0.27,29.69,1.18
1227,603596,伯特利,76.05,0.12,0.09,9281,70232701.0,1.8,76.3,74.93,75.49,75.96,0.87,0.23,44.1,7.27
1228,600714,金瑞矿业,8.68,0.12,0.01,6017,5197899.0,1.73,8.75,8.6,8.6,8.67,1.87,0.21,201.69,3.41
1229,002449,国星光电,8.87,0.11,0.01,82708,73566739.0,2.37,9.01,8.8,8.86,8.86,2.73,1.35,50.98,1.46
1230,600325,华发股份,8.99,0.11,0.01,141273,127206397.0,1.56,9.07,8.93,8.97,8.98,1.89,0.67,4.94,1.05
1231,603235,天新药业,28.01,0.11,0.03,2858,8031490.0,1.0,28.24,27.96,28.0,27.98,1.33,0.65,18.58,3.0
1232,603073,彩蝶实业,18.82,0.11,0.02,4862,9219738.0,1.44,19.08,18.81,18.81,18.8,1.43,1.68,20.43,1.77
1233,601200,上海环境,9.49,0.11,0.01,11834,11250317.0,0.74,9.55,9.48,9.52,9.48,1.24,0.11,17.52,1.03
1234,688089,嘉必优,19.12,0.1,0.02,7065,13501927.0,1.57,19.3,19.0,19.15,19.1,1.35,0.42,46.17,2.25
1235,688069,德林海,19.34,0.1,0.02,500,969609.0,1.09,19.49,19.28,19.49,19.32,0.94,0.04,-190.52,1.56
1236,002209,达 意 隆,9.77,0.1,0.01,13703,13375729.0,2.46,9.88,9.64,9.76,9.76,1.36,0.89,44.29,3.09
1237,002003,伟星股份,9.8,0.1,0.01,9858,9647017.4,1.33,9.84,9.71,9.78,9.79,1.0,0.11,16.84,3.52
1238,003018,金富科技,9.85,0.1,0.01,3468,3427772.0,1.52,9.95,9.8,9.84,9.84,1.05,0.46,24.4,1.79
1239,600753,庚星股份,10.09,0.1,0.01,25163,25453697.0,2.18,10.22,10.0,10.11,10.08,1.7,1.17,-58.86,8.71
1240,300902,国安达,30.38,0.1,0.03,3942,11896926.0,2.17,30.64,29.98,30.43,30.35,2.2,0.72,-95.18,4.61
1241,002856,美芝股份,10.23,0.1,0.01,7294,7483943.0,2.15,10.34,10.12,10.2,10.22,1.5,0.63,301.04,2.61
1242,601456,国联证券,10.3,0.1,0.01,64789,66279352.0,1.46,10.32,10.17,10.31,10.29,1.03,0.27,24.29,1.64
1243,002197,证通电子,10.43,0.1,0.01,71728,75150564.2,2.11,10.58,10.36,10.43,10.42,1.41,1.34,141.27,2.51
1244,603758,秦安股份,10.51,0.1,0.01,16869,17669710.0,1.81,10.59,10.4,10.45,10.5,1.38,0.38,17.99,1.95
1245,001201,东瑞股份,21.24,0.09,0.02,2519,5353047.05,1.08,21.34,21.11,21.22,21.22,0.7,0.28,-6.85,1.63
1246,002809,红墙股份,10.78,0.09,0.01,39352,42600728.7,1.49,10.93,10.77,10.88,10.77,5.17,2.86,22.12,1.45
1247,300033,同花顺,151.26,0.09,0.14,15515,233217140.01,2.05,151.9,148.8,151.12,151.12,1.18,0.57,88.52,12.72
1248,002816,*ST和科,10.96,0.09,0.01,1731,1899568.0,1.1,11.02,10.9,10.94,10.95,1.71,0.17,-24.79,3.47
1249,301048,金鹰重工,11.02,0.09,0.01,26834,29618959.0,2.36,11.18,10.92,10.98,11.01,1.31,2.01,21.27,2.53
1250,000026,飞亚达,11.05,0.09,0.01,14522,16095270.08,1.54,11.17,11.0,11.0,11.04,1.51,0.4,12.24,1.42
1251,000815,美利云,11.09,0.09,0.01,72451,79726346.48,2.08,11.13,10.9,10.96,11.08,1.45,1.04,-886.12,4.1
1252,002891,中宠股份,22.41,0.09,0.02,6627,14885806.6,1.03,22.58,22.35,22.45,22.39,1.22,0.23,34.27,3.13
