Title,20年IF,21年IF,即时IF,桑格预测IF,JCR分区,中科院分区,警告信息
LARYNGOSCOPE INVESTIGATIVE OTOLARYNGOLOGY,2.458,2.542,0.98,2.24,Q2,医学-3区,
LARYNGOSCOPE,3.325,2.97,1.44,2.65,Q3,医学-1区,
LARYNGO-RHINO-OTOLOGIE,1.057,1.612,0.38,<1.21,Q4,,
LARGE-SCALE ASSESSMENTS IN EDUCATION,-,-,1.62,N/A,,,
LARGE ANIMAL REVIEW,0.417,0.557,0.27,>0.70,Q4,农林科学-4区,
LARES-QUADRIMESTRALE DI STUDI DEMOETNOANTROPOLOGICI,-,-,N/A,N/A,,,
LANX-JOURNAL OF THE SCUOLA DI SPECIALIZZAZIONE IN ARCHEOLOGIA OF THE UNIVERSITY OF MILAN,-,-,N/A,N/A,,,
LANGUE FRANCAISE,-,-,N/A,N/A,,,
LANGUAGES IN CONTRAST,-,-,0.15,N/A,,,
LANGUAGES,-,-,0.45,N/A,,,
LANGUAGE VARIATION AND CHANGE,1.267,1.067,0.41,<0.80,Q3,人文科学-3区,
LANGUAGE TESTING IN ASIA,-,-,1.38,N/A,,,
LANGUAGE TESTING,3.551,2.4,1.79,>3.00,Q1,人文科学-2区,
LANGUAGE TEACHING RESEARCH,3.899,3.401,2.31,>4.25,Q2,人文科学-2区,
LANGUAGE TEACHING,5.327,4.769,1.85,4.5,Q1,人文科学-2区,
LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,2.983,2.215,1.26,2.11,Q2,医学-1区,
LANGUAGE SCIENCES,0.682,0.816,0.54,0.83,Q3,人文科学-4区,
LANGUAGE RESOURCES AND EVALUATION,1.358,1.835,1,>2.29,Q4,计算机科学-4区,
LANGUAGE PROBLEMS & LANGUAGE PLANNING,0.517,1.115,0.37,>1.39,Q3,人文科学-4区,
LANGUAGE POLICY,2.491,2.355,1,2.02,Q3,人文科学-2区,
LANGUAGE MATTERS,0.605,0.583,0.21,<0.44,Q4,人文科学-4区,
LANGUAGE LEARNING JOURNAL,-,-,1.05,N/A,,,
LANGUAGE LEARNING IN HIGHER EDUCATION,-,-,0.23,N/A,,,
LANGUAGE LEARNING AND DEVELOPMENT,1,1.48,0.89,>1.85,Q4,人文科学-3区,
LANGUAGE LEARNING & TECHNOLOGY,-,-,2.06,N/A,,人文科学-2区,
LANGUAGE LEARNING,4.667,5.24,2.23,5.6,Q1,人文科学-1区,
LANGUAGE IN SOCIETY,2.38,2.392,0.63,<1.79,Q2,人文科学-1区,
LANGUAGE DYNAMICS AND CHANGE,-,-,0.41,N/A,,,
LANGUAGE DOCUMENTATION & CONSERVATION,-,-,0.24,N/A,,,
LANGUAGE CULTURE AND CURRICULUM,1.439,2.214,2.19,>2.77,Q3,人文科学-4区,
LANGUAGE CONTEXT AND TEXT-THE SOCIAL SEMIOTICS FORUM,-,-,0.24,N/A,,,
LANGUAGE COGNITION AND NEUROSCIENCE,2.331,2.842,1.01,2.36,Q3,心理学-3区,
LANGUAGE ASSESSMENT QUARTERLY,1.667,2.143,1.11,>2.68,Q3,人文科学-4区,
LANGUAGE AND SPEECH,1.5,1.835,0.92,>2.29,Q4,人文科学-3区,
LANGUAGE AND SOCIOCULTURAL THEORY,-,-,0.29,N/A,,,
LANGUAGE AND PSYCHOANALYSIS,-,-,0.14,N/A,,,
LANGUAGE AND LITERATURE,0.677,0.674,0.38,>0.84,Q4,人文科学-4区,
LANGUAGE AND LITERACY,-,-,0.25,N/A,,,
LANGUAGE AND LINGUISTICS COMPASS,-,-,1.22,N/A,,,
LANGUAGE AND LINGUISTICS,0.106,0.348,0.23,>0.43,Q4,人文科学-4区,
LANGUAGE AND INTERCULTURAL COMMUNICATION,1.903,1.532,0.99,>1.92,Q2,人文科学-2区,
LANGUAGE AND EDUCATION,2.032,2.432,0.94,2.58,Q3,人文科学-3区,
LANGUAGE AND DIALOGUE,-,-,0.26,N/A,,,
LANGUAGE AND COGNITION,1.83,2.66,1.26,>3.33,Q2,心理学-4区,
LANGUAGE ACQUISITION,1.349,1.6,0.63,1.45,Q2,人文科学-3区,
LANGUAGE & HISTORY,2.491,2.355,0.25,>2.94,Q3,人文科学-4区,
LANGUAGE & COMMUNICATION,2.491,2.355,0.89,>2.94,Q3,人文科学-2区,
LANGUAGE,1.583,1.8,1.03,1.56,Q2,人文科学-2区,
LANGSTON HUGHES REVIEW,-,-,N/A,N/A,,,
LANGMUIR,3.882,4.331,2.27,4.32,Q2,化学-2区,
LANGENBECKS ARCHIVES OF SURGERY,3.445,2.895,1.27,2.72,Q2,医学-3区,
LANGAGES,0.08,0.127,0.02,N/A,Q4,人文科学-4区,
LANDSLIDES,6.578,6.153,3.68,>7.69,Q1,地球科学-2区,
LANDSCAPE RESEARCH,2.055,1.701,1.01,1.94,Q4,法学-4区,
LANDSCAPE JOURNAL,-,-,0.26,N/A,,,
LANDSCAPE ECOLOGY,3.851,5.043,2.78,>6.30,Q1,环境科学与生态学-2区,
LANDSCAPE ARCHITECTURE MAGAZINE,-,-,N/A,N/A,,,
LANDSCAPE ARCHITECTURE FRONTIERS,-,-,0.28,N/A,,,
LANDSCAPE ARCHITECTURE AND ART,-,-,0.04,N/A,,,
LANDSCAPE AND URBAN PLANNING,6.142,8.119,4.94,>10.15,Q1,环境科学与生态学-1区,
LANDSCAPE AND ECOLOGICAL ENGINEERING,1.813,2.147,1.27,2.31,Q3,环境科学与生态学-4区,
LANDFALL,-,-,N/A,N/A,,,
LANDBAUFORSCHUNG-JOURNAL OF SUSTAINABLE AND ORGANIC AGRICULTURAL SYSTEMS,0.64,1.051,0.65,>1.31,Q3,农林科学-4区,
LAND USE POLICY,5.398,6.189,3.65,>7.74,Q1,法学-1区,
LAND ECONOMICS,2.087,2.03,0.74,1.63,Q4,经济学-3区,
LAND DEGRADATION & DEVELOPMENT,4.977,4.377,2.52,>5.47,Q2,农林科学-1区,
LAND,3.398,3.905,2.09,>4.88,Q2,环境科学与生态学-3区,
LANCET RHEUMATOLOGY,8.136,35.482,10.69,29.26,Q1,医学-2区,
LANCET RESPIRATORY MEDICINE,30.7,102.642,32.49,<76.98,Q1,医学-1区,
LANCET REGIONAL HEALTH-WESTERN PACIFIC,-,8.559,3.45,N/A,Q1,,
LANCET REGIONAL HEALTH-EUROPE,-,-,11.19,N/A,,,
LANCET PUBLIC HEALTH,21.648,72.427,20,83.02,Q1,医学-1区,
LANCET PSYCHIATRY,26.481,77.056,25.54,>96.32,Q1,医学-1区,
LANCET PLANETARY HEALTH,19.173,28.75,10.01,>35.94,Q1,医学-1区,
LANCET ONCOLOGY,41.316,54.433,25.99,50.95,Q1,医学-1区,
LANCET NEUROLOGY,44.182,59.935,24.07,56.24,Q1,医学-1区,
LANCET MICROBE,-,86.208,13.9,N/A,Q1,,
LANCET INFECTIOUS DISEASES,25.071,71.421,21.7,58,Q1,医学-1区,
LANCET HIV,12.767,16.07,8.36,>20.09,Q1,医学-1区,
LANCET HEALTHY LONGEVITY,-,-,5.92,N/A,,,
LANCET HAEMATOLOGY,18.959,30.153,12.24,29.73,Q1,医学-1区,
LANCET GLOBAL HEALTH,26.763,38.927,15.38,45.06,Q1,医学-1区,
LANCET GASTROENTEROLOGY & HEPATOLOGY,18.486,45.042,15.61,>56.30,Q1,医学-1区,
LANCET DIGITAL HEALTH,24.519,36.615,13.5,>45.77,Q1,医学-1区,
LANCET DIABETES & ENDOCRINOLOGY,32.069,44.867,19.96,49.53,Q1,医学-1区,
LANCET CHILD & ADOLESCENT HEALTH,11.288,37.746,15.93,>47.18,Q1,医学-1区,
LANCET,79.323,202.731,75.08,<152.05,Q1,,
LAKE AND RESERVOIR MANAGEMENT,1.444,1.729,0.93,1.83,Q4,环境科学与生态学-4区,
LAEKNABLADID,0.548,0.524,0.12,<0.39,Q4,医学-4区,
LABOUR-LE TRAVAIL,0.543,0.5,0.04,<0.38,Q4,经济学-4区,
LABOUR-ENGLAND,-,-,0.24,N/A,,,
LABOUR HISTORY REVIEW,-,-,0.08,N/A,,,
LABOUR HISTORY,0.243,0.121,0.09,>0.15,Q4,人文科学-4区,
LABOUR ECONOMICS,1.772,1.893,1.44,>2.37,Q3,经济学-3区,
LABOUR & INDUSTRY-A JOURNAL OF THE SOCIAL AND ECONOMIC RELATIONS OF WORK,0.243,0.121,0.69,N/A,Q4,,
LABOR-STUDIES IN WORKING-CLASS HISTORY OF THE AMERICAS,-,-,0.03,N/A,,,
LABORHISTORICO,-,-,N/A,N/A,,,
LABORATORY PHONOLOGY,1.667,1.761,0.62,1.6,Q2,人文科学-3区,
LABORATORY MEDICINE,1.525,1.865,0.78,>2.33,Q4,医学-4区,
LABORATORY INVESTIGATION,5.662,5.502,2.55,5.29,Q2,医学-2区,
LABORATORY ANIMALS,2.471,2.908,0.66,<2.18,Q1,医学-4区,
LABORATORY ANIMAL RESEARCH,-,-,1.55,N/A,,,
LABORATORIUM-RUSSIAN REVIEW OF SOCIAL RESEARCH,-,-,0.29,N/A,,,
LABORATORIO DE ARTE,-,-,0.02,N/A,,,
LABORATOIRE ITALIEN-POLITIQUE ET SOCIETE,-,-,N/A,N/A,,,
LABOR HISTORY,0.561,0.632,0.43,>0.79,Q4,管理学-4区,
LAB ON A CHIP,6.799,7.517,3.31,8.32,Q2,工程技术-1区,
LAB ANIMAL,12.625,9.667,1.76,>12.08,Q1,农林科学-1区,
L1 EDUCATIONAL STUDIES IN LANGUAGE AND LITERATURE,-,-,0.19,N/A,,,
KYUSHU JOURNAL OF MATHEMATICS,0.347,0.388,0.18,0.34,Q4,数学-4区,
KYUNGPOOK MATHEMATICAL JOURNAL,-,-,0.42,N/A,,,
KYOTO JOURNAL OF MATHEMATICS,0.964,0.778,0.35,<0.58,Q3,数学-3区,
KYKLOS,1.894,1.796,1.1,2.01,Q3,经济学-3区,
KYIV-MOHYLA HUMANITIES JOURNAL,-,-,0.3,N/A,,,
KYBERNETIKA,0.892,0.69,0.29,>0.86,Q4,计算机科学-4区,
KYBERNETES,2.235,2.352,1.54,>2.94,Q3,计算机科学-4区,
KWARTALNIK HISTORII ZYDOW-JEWISH HISTORY QUARTERLY,-,-,0.03,N/A,,,
KVASNY PRUMYSL,-,-,0.36,N/A,,,
KUWAIT MEDICAL JOURNAL,0.076,0.075,0.03,0.06,Q4,医学-4区,
KUWAIT JOURNAL OF SCIENCE,0.948,0.806,0.72,>1.01,Q4,综合性期刊-4区,
KURDISH STUDIES,-,-,0.19,N/A,,,
KUNSTLICHE INTELLIGENZ,-,-,0.83,N/A,,,
KUNSTITEADUSLIKKE UURIMUSI,-,-,N/A,N/A,,,
KULTUR-REVISTA INTERDISCIPLINARIA SOBRE LA CULTURA DE LA CIUTAT,-,-,N/A,N/A,,,
KULTURNO-ISTORICHESKAYA PSIKHOLOGIYA-CULTURAL-HISTORICAL PSYCHOLOGY,-,-,0.36,N/A,,,
KSU TARIM VE DOGA DERGISI-KSU JOURNAL OF AGRICULTURE AND NATURE,-,-,0.29,N/A,,,
KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS,0.858,0.972,0.8,>1.21,Q4,计算机科学-4区,
KSCE JOURNAL OF CIVIL ENGINEERING,1.805,2.115,1.26,2.49,Q3,工程技术-4区,
KRONOSCOPE-JOURNAL FOR THE STUDY OF TIME,-,-,0.4,N/A,,,
KRITIKE-AN ONLINE JOURNAL OF PHILOSOPHY,-,-,N/A,N/A,,,
KRITIKA-EXPLORATIONS IN RUSSIAN AND EURASIAN HISTORY,-,-,0.12,N/A,,,
KRITIKA KULTURA,-,-,0.06,N/A,,,
KRITERION-REVISTA DE FILOSOFIA,-,-,0.04,N/A,,,
KRATKIE SOOBSHCHENIYA INSTITUTA ARKHEOLOGII,-,-,0.03,N/A,,,
KRAGUJEVAC JOURNAL OF MATHEMATICS,-,-,0.33,N/A,,,
KOVOVE MATERIALY-METALLIC MATERIALS,1.068,0.69,0.35,<0.52,Q4,材料科学-4区,
KOTUITUI-NEW ZEALAND JOURNAL OF SOCIAL SCIENCES ONLINE,-,-,0.81,N/A,,,
KOSCIOL I PRAWO,-,-,0.02,N/A,,,
KOREAN STUDIES,-,-,N/A,N/A,,,
KOREAN LANGUAGE IN AMERICA,-,-,0.08,N/A,,,
KOREAN JOURNAL OF REMOTE SENSING,-,-,0.17,N/A,,,
KOREAN JOURNAL OF RADIOLOGY,3.5,7.109,2.8,<5.33,Q1,医学-3区,
KOREAN JOURNAL OF PLANT TAXONOMY,-,-,0.48,N/A,,,
KOREAN JOURNAL OF PHYSIOLOGY & PHARMACOLOGY,2.016,1.718,1.09,>2.15,Q4,医学-4区,
KOREAN JOURNAL OF PARASITOLOGY,1.341,1.776,0.83,2.03,Q3,医学-4区,
KOREAN JOURNAL OF PAIN,3.016,2.6,1.22,2.8,Q3,医学-4区,
KOREAN JOURNAL OF ORTHODONTICS,1.372,1.361,0.85,>1.70,Q4,医学-4区,
KOREAN JOURNAL OF OPTICS AND PHOTONICS,-,-,0.09,N/A,,,
KOREAN JOURNAL OF METALS AND MATERIALS,1.005,1.324,0.72,1.63,Q4,材料科学-4区,
KOREAN JOURNAL OF MEDICAL HISTORY,-,-,N/A,N/A,,,
KOREAN JOURNAL OF MATHEMATICS,-,-,0.19,N/A,,,
KOREAN JOURNAL OF MATERIALS RESEARCH,-,-,0.14,N/A,,,
KOREAN JOURNAL OF INTERNATIONAL STUDIES,-,-,0.14,N/A,,,
KOREAN JOURNAL OF INTERNATIONAL AND COMPARATIVE LAW,-,-,0.23,N/A,,,
KOREAN JOURNAL OF INTERNAL MEDICINE,2.884,3.165,1.2,2.98,Q2,医学-4区,
KOREAN JOURNAL OF FAMILY MEDICINE,-,-,1.02,N/A,,,
KOREAN JOURNAL OF DEFENSE ANALYSIS,0.413,0.306,0.29,>0.38,Q4,法学-4区,
KOREAN JOURNAL OF CHEMICAL ENGINEERING,3.309,3.146,1.47,2.98,Q3,工程技术-4区,
KOREAN JOURNAL OF APPLIED STATISTICS,-,-,0.06,N/A,,,
KOREAN JOURNAL OF ANESTHESIOLOGY,-,5.167,1.15,N/A,Q2,,
KOREAN ECONOMIC REVIEW,0.586,0.576,0.39,0.62,Q4,经济学-4区,
KOREAN CIRCULATION JOURNAL,3.243,3.101,1.4,2.7,Q3,医学-3区,
KOREAN CHEMICAL ENGINEERING RESEARCH,-,-,0.32,N/A,,,
KOREA-AUSTRALIA RHEOLOGY JOURNAL,1.446,1.404,0.69,1.24,Q4,工程技术-4区,
KOREA OBSERVER,0.286,0.286,0.2,>0.36,Q4,法学-4区,
KOREA JOURNAL,-,-,0.1,N/A,,,
KOOT-REVISTA DE MUSEOLOGIA,-,-,N/A,N/A,,,
KONURALP TIP DERGISI,-,-,0.09,N/A,,,
KONSULTATIVNAYA PSIKHOLOGIYA I PSIKHOTERAPIYA-COUNSELING PSYCHOLOGY AND PSYCHOTHERAPY,-,-,0.21,N/A,,,
KONSTHISTORISK TIDSKRIFT,-,-,0.07,N/A,,,
KONSTANTINOVE LISTY-CONSTANTINES LETTERS,-,-,0.03,N/A,,,
KONA POWDER AND PARTICLE JOURNAL,2.897,3.919,2.57,4.44,Q2,材料科学-4区,
KOMPLEKSNOE ISPOLZOVANIE MINERALNOGO SYRA,-,-,0.4,N/A,,,
KOME-AN INTERNATIONAL JOURNAL OF PURE COMMUNICATION INQUIRY,-,-,0.46,N/A,,,
KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,0.819,1.272,0.63,>1.59,Q4,法学-4区,
KOEDOE,1.241,1.021,0.67,<0.77,Q4,环境科学与生态学-4区,
KODAI MATHEMATICAL JOURNAL,0.262,0.382,0.28,>0.48,Q4,数学-4区,
KNOWLEDGE-BASED SYSTEMS,8.038,8.139,4.33,>10.17,Q1,计算机科学-1区,
KNOWLEDGE ORGANIZATION,1,0.867,0.39,0.8,Q4,管理学-4区,
KNOWLEDGE MANAGEMENT RESEARCH & PRACTICE,2.744,3.054,1.81,>3.82,Q3,管理学-4区,
KNOWLEDGE MANAGEMENT & E-LEARNING-AN INTERNATIONAL JOURNAL,2.744,3.054,1.14,N/A,Q3,,
KNOWLEDGE ENGINEERING REVIEW,1.094,2.016,1.06,>2.52,Q3,计算机科学-4区,
KNOWLEDGE AND PROCESS MANAGEMENT,-,-,2.06,N/A,,,
KNOWLEDGE AND MANAGEMENT OF AQUATIC ECOSYSTEMS,1.677,1.928,0.92,2.13,Q3,环境科学与生态学-4区,
KNOWLEDGE AND INFORMATION SYSTEMS,2.822,2.531,1.59,>3.16,Q3,计算机科学-3区,
KNJIZEVNA SMOTRA,-,-,0.01,N/A,,,
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,4.342,4.114,2.24,4.34,Q1,医学-2区,
KNEE SURGERY & RELATED RESEARCH,-,-,1.59,N/A,,,
KNEE,2.199,2.423,1.02,2.64,Q3,医学-4区,
KLINISCHE PADIATRIE,1.349,1.236,0.28,<0.93,Q4,医学-4区,
KLINISCHE NEUROPHYSIOLOGIE,0.27,0.633,0.16,0.61,Q4,医学-4区,
KLINISCHE MONATSBLATTER FUR AUGENHEILKUNDE,0.7,0.742,0.41,0.8,Q4,医学-4区,
KLINIK PSIKIYATRI DERGISI-TURKISH JOURNAL OF CLINICAL PSYCHIATRY,-,-,0.31,N/A,,,
KLIMIK JOURNAL,-,-,0.1,N/A,,,
KLEINTIERPRAXIS,0.105,0.198,0.02,<0.15,Q4,农林科学-4区,
KIVA-JOURNAL OF SOUTHWESTERN ANTHROPOLOGY AND HISTORY,-,-,0.1,N/A,,,
KINETICS AND CATALYSIS,1,1.399,0.49,1.6,Q4,化学-4区,
KINETIC AND RELATED MODELS,1.432,1.398,0.67,<1.05,Q2,数学-3区,
KINESIOLOGY,1.452,1.101,0.68,>1.38,Q4,医学-4区,
KINESIOLOGIA SLOVENICA,-,-,0.11,N/A,,,
KINEMATICS AND PHYSICS OF CELESTIAL BODIES,0.604,0.389,0.23,<0.29,Q4,物理与天体物理-4区,
KINDHEIT UND ENTWICKLUNG,0.608,0.491,0.31,<0.37,Q4,心理学-4区,
KIDNEY RESEARCH AND CLINICAL PRACTICE,3.667,4.172,1.54,3.84,Q2,医学-3区,
KIDNEY MEDICINE,-,-,2.02,N/A,,,
KIDNEY INTERNATIONAL SUPPLEMENTS,10.545,6.083,3.29,<4.56,Q1,医学-1区,
KIDNEY INTERNATIONAL REPORTS,4.164,6.234,2.37,7.67,Q1,医学-3区,
KIDNEY INTERNATIONAL,10.612,18.998,8.5,22.6,Q1,医学-1区,
KIDNEY DISEASES,3.222,3,1.98,>3.75,Q2,医学-4区,
KIDNEY CANCER,-,-,0.45,N/A,,,
KIDNEY & BLOOD PRESSURE RESEARCH,-,-,1.41,N/A,,医学-4区,
KHYBER MEDICAL UNIVERSITY JOURNAL-KMUJ,-,-,0.06,N/A,,,
KHAZAR JOURNAL OF HUMANITIES AND SOCIAL SCIENCES,-,-,0.03,N/A,,,
KGK-KAUTSCHUK GUMMI KUNSTSTOFFE,0.441,0.507,0.09,<0.38,Q4,工程技术-4区,
KEW BULLETIN,0.984,0.813,0.51,0.82,Q4,生物学-4区,
KESMAS-NATIONAL PUBLIC HEALTH JOURNAL,-,-,0.29,N/A,,,
KERNTECHNIK,0.293,0.321,0.3,>0.40,Q4,工程技术-4区,
KENYON REVIEW,-,-,N/A,N/A,,,
KENNEDY INSTITUTE OF ETHICS JOURNAL,1.103,1.484,0.75,>1.85,Q3,人文科学-4区,
KEMIJA U INDUSTRIJI-JOURNAL OF CHEMISTS AND CHEMICAL ENGINEERS,-,-,0.29,N/A,,,
KEIO JOURNAL OF MEDICINE,-,-,0.93,N/A,,,
KEDI JOURNAL OF EDUCATIONAL POLICY,0.552,0.481,0.17,<0.36,Q4,教育学-4区,
KEATS-SHELLEY REVIEW,-,-,0.03,N/A,,,
KEATS-SHELLEY JOURNAL,-,-,N/A,N/A,,,
KASTAMONU UNIVERSITY JOURNAL OF FORESTRY FACULTY,-,-,0.21,N/A,,,
KARDIOLOGIYA,0.395,0.513,0.22,0.55,Q4,医学-4区,
KARDIOLOGIA POLSKA,3.108,3.71,1.08,2.87,Q2,医学-4区,
KARDIOLOGE,-,-,0.67,N/A,,,
KARDIOCHIRURGIA I TORAKOCHIRURGIA POLSKA-POLISH JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,-,-,0.33,N/A,,,
KAOHSIUNG JOURNAL OF MEDICAL SCIENCES,2.744,2.996,1.63,>3.75,Q3,医学-4区,
KANT-STUDIEN,-,-,0.22,N/A,,,
KANTIAN REVIEW,-,-,0.26,N/A,,,
KANT YEARBOOK,-,-,0.08,N/A,,,
KAMCHATKA-REVISTA DE ANALISIS CULTURAL,-,-,0.04,N/A,,,
KALAGATOS-REVISTA DE FILOSOFIA,-,-,N/A,N/A,,,
KAJIAN MALAYSIA,-,-,0.1,N/A,,,
KAIROS-JOURNAL OF PHILOSOPHY & SCIENCE,-,-,N/A,N/A,,,
KAGAKU KOGAKU RONBUNSHU,0.422,0.338,0.18,<0.25,Q4,工程技术-4区,
KAFKAS UNIVERSITESI VETERINER FAKULTESI DERGISI,0.685,0.633,0.39,0.55,Q4,农林科学-4区,
JUVENILE AND FAMILY COURT JOURNAL,0.441,0.556,0.19,>0.70,Q4,法学-4区,
JUSTICIA,-,-,0.03,N/A,,,
JUSTICE SYSTEM JOURNAL,0.912,0.707,0.37,0.72,Q4,法学-3区,
JUSTICE QUARTERLY,4.717,3.985,1.77,2.99,Q1,法学-1区,
JUSTICE EVALUATION JOURNAL,-,-,0.83,N/A,,,
JURNAL TRIBOLOGI,-,-,0.71,N/A,,,
JURNAL THE MESSENGER,-,-,0.18,N/A,,,
JURNAL TEKNOLOGI-SCIENCES & ENGINEERING,-,-,0.32,N/A,,,
JURNAL PENELITIAN DAN PEMBELAJARAN IPA,-,-,0.59,N/A,,,
JURNAL PENDIDIKAN FISIKA INDONESIA-INDONESIAN JOURNAL OF PHYSICS EDUCATION,-,-,0.15,N/A,,,
JURNAL MANAJEMEN HUTAN TROPIKA,-,-,0.33,N/A,,,
JURNAL KOMUNIKASI-MALAYSIAN JOURNAL OF COMMUNICATION,-,-,0.26,N/A,,,
JURNAL KEJURUTERAAN,-,-,0.27,N/A,,,
JURNAL ILMU TERNAK DAN VETERINER,-,-,0.21,N/A,,,
JURNAL ILMU DAN TEKNOLOGI KELAUTAN TROPIS,-,-,0.17,N/A,,,
JURNAL ILMIAH PEURADEUN,-,-,0.22,N/A,,,
JURNAL GIZI DAN PANGAN,-,-,0.19,N/A,,,
JURNAL FIZIK MALAYSIA,-,-,0.13,N/A,,,
JURNAL CITA HUKUM-INDONESIAN LAW JOURNAL,-,-,0.17,N/A,,,
JURISPRUDENCE-AN INTERNATIONAL JOURNAL OF LEGAL AND POLITICAL THOUGHT,-,-,0.25,N/A,,,
JURIDICAS CUC,-,-,0.26,N/A,,,
JURIDICAL TRIBUNE-TRIBUNA JURIDICA,-,-,0.14,N/A,,,
JUNG JOURNAL-CULTURE & PSYCHE,-,-,0.07,N/A,,,
JUNDISHAPUR JOURNAL OF NATURAL PHARMACEUTICAL PRODUCTS,-,-,0.34,N/A,,,
JUNDISHAPUR JOURNAL OF MICROBIOLOGY,0.747,0.82,0.39,0.82,Q4,医学-4区,
JUNCTURES-THE JOURNAL FOR THEMATIC DIALOGUE,-,-,0.08,N/A,,,
JUDGMENT AND DECISION MAKING,2.543,2.5,1.42,>3.13,Q2,心理学-3区,
JUDAICA BOHEMIAE,-,-,0.14,N/A,,,
JTCVS TECHNIQUES,-,-,0.57,N/A,,,
JSLS-JOURNAL OF THE SOCIETY OF LAPAROENDOSCOPIC SURGEONS,2.172,1.789,0.54,<1.34,Q3,医学-4区,
JSIAM LETTERS,-,-,0.17,N/A,,,
JRSM CARDIOVASCULAR DISEASE,-,-,0.8,N/A,,,
JPC-JOURNAL OF PLANAR CHROMATOGRAPHY-MODERN TLC,0.856,1.088,1,>1.36,Q4,化学-4区,
JPAD-JOURNAL OF PREVENTION OF ALZHEIMERS DISEASE,-,-,3.29,N/A,Q2,医学-4区,
JP JOURNAL OF BIOSTATISTICS,-,-,0.03,N/A,,,
JP JOURNAL OF ALGEBRA NUMBER THEORY AND APPLICATIONS,-,-,0.06,N/A,,,
JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,1.355,1.424,0.58,1.39,Q3,综合性期刊-4区,
JOURNEYS-THE INTERNATIONAL JOURNAL OF TRAVEL AND TRAVEL WRITING,-,-,0.14,N/A,,,
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,4.077,4.942,3.22,>6.18,Q2,医学-1区,
JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,6.053,6.591,2.75,5.16,Q1,医学-1区,
JOURNALISM STUDIES,3.741,3.604,1.61,2.99,Q2,人文科学-2区,
JOURNALISM PRACTICE,2.537,2.328,0.93,2.67,Q3,人文科学-3区,
JOURNALISM & MASS COMMUNICATION QUARTERLY,3.741,3.604,1.76,4.42,Q2,人文科学-2区,
JOURNALISM,4.436,3.194,1.55,2.86,Q2,人文科学-2区,
JOURNAL ON MULTIMODAL USER INTERFACES,1.769,1.694,1.35,>2.12,Q4,计算机科学-4区,
JOURNAL ON EFFICIENCY AND RESPONSIBILITY IN EDUCATION AND SCIENCE,-,-,0.49,N/A,,,
JOURNAL OF ZOOLOGY,2.322,2.394,1.01,<1.80,Q1,生物学-3区,
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,2.288,2.424,1.08,2.04,Q3,生物学-2区,
JOURNAL OF ZOO AND WILDLIFE MEDICINE,0.776,0.806,0.43,>1.01,Q4,农林科学-4区,
JOURNAL OF ZOO AND AQUARIUM RESEARCH,-,-,0.73,N/A,,,
JOURNAL OF ZHEJIANG UNIVERSITY-SCIENCE B,3.066,5.552,2.28,5.3,Q2,生物学-3区,
JOURNAL OF ZHEJIANG UNIVERSITY-SCIENCE A,2.263,2.485,1.52,2.2,Q3,工程技术-3区,
JOURNAL OF YOUTH STUDIES,2.589,1.991,0.95,1.91,Q3,法学-3区,
JOURNAL OF YOUTH DEVELOPMENT,-,-,0.41,N/A,,,
JOURNAL OF YOUTH AND ADOLESCENCE,4.381,5.625,2.74,>7.03,Q1,心理学-2区,
JOURNAL OF YOUNG PHARMACISTS,-,-,0.17,N/A,,,
JOURNAL OF X-RAY SCIENCE AND TECHNOLOGY,1.535,2.442,1.51,>3.05,Q3,医学-4区,
JOURNAL OF XENOBIOTICS,-,-,2.88,N/A,,,
JOURNAL OF WUHAN UNIVERSITY OF TECHNOLOGY-MATERIALS SCIENCE EDITION,0.957,1.271,0.74,>1.59,Q4,材料科学-4区,
JOURNAL OF WRITING RESEARCH,-,-,1.81,N/A,,,
JOURNAL OF WRIST SURGERY,-,-,0.33,N/A,,,
JOURNAL OF WOUND OSTOMY AND CONTINENCE NURSING,1.741,1.97,1.53,>2.46,Q3,医学-3区,
JOURNAL OF WOUND CARE,2.072,2.066,0.83,1.89,Q3,医学-4区,
JOURNAL OF WORLD-SYSTEMS RESEARCH,-,-,0.59,N/A,,,
JOURNAL OF WORLD TRADE,0.977,0.845,0.41,0.83,Q4,经济学-4区,
JOURNAL OF WORLD PREHISTORY,3.24,3.545,1.32,<2.66,Q1,人文科学-1区,
JOURNAL OF WORLD POPULAR MUSIC,-,-,N/A,N/A,,,
JOURNAL OF WORLD LITERATURE,-,-,0.05,N/A,,,
JOURNAL OF WORLD INVESTMENT & TRADE,-,-,0.49,N/A,,,
JOURNAL OF WORLD INTELLECTUAL PROPERTY,-,-,0.23,N/A,,,
