question,answers
What proportion of healthcare workers reported symptoms  of depression?,50.4%
What proportion of healthcare workers reported symptoms of anxiety?,[44.6%
What proportion of healthcare workers reported symptoms of insomnia?,34.0%
What proportion reported distress?,[71.5%
What were the Generalized Anxiety Disorder scale scores?,among men vs women: 2.0 [0-6.0] vs 4.0 [1.0-7.0]; P  .001
What were the  Insomnia Severity Index scores ?,among frontline vs second-line workers: 6.0 [2.0-11.0] vs 4.0 [1.0-8.0]; P  .001
What were the  Impact of Event Scale–Revised scores?, 21.0 [8.5-34.5] vs 18.0 [6.0-28.0] in Hubei outside Wuhan and 15.0 [4.0-26.0] outside Hubei; P  .001).
What were the results of analysis?,"participants from outside Hubei province were associated with lower risk of experiencing symptoms of distress compared with those in Wuhan (odds ratio [OR], 0.62; 95% CI, 0.43-0.88; P = .008)"
What were the results of analysis?,"Frontline health care workers engaged in direct diagnosis, treatment, and care of patients with COVID-19 were associated with a higher risk of symptoms of depression (OR, 1.52; 95% CI, 1.11-2.09; P = .01), anxiety (OR, 1.57; 95% CI, 1.22-2.02; P  .001), insomnia (OR, 2.97; 95% CI, 1.92-4.60; P  .001), and distress (OR, 1.60; 95% CI, 1.25-2.04; P  .001)."
What are the conclusions of this study?,"In this survey of heath care workers in hospitals equipped with fever clinics or wards for patients with COVID-19 in Wuhan and other regions in China, participants reported experiencing psychological burden, especially nurses, women, those in Wuhan, and frontline health care workers directly engaged in the diagnosis, treatment, and care for patients with COVID-19."
What are microtubule severing enzymes?,a family of AAA-ATPase proteins
What genetic mutation is associated with hereditary spastic paraplegia?,SPG4
What genetic mutation is associated with cerebral malformations?,KATNB1
What genetic mutation is associated with autism?,KATNAL2
What is KATNAL1?,microtubule severing enzyme
What organ is most associated with the KATNAL1 gene?,central nervous system
What CNS functions can be measured by studying the movement of mice in a T-maze?,working memory and spatial memory
What CNS functions are changed by mutations in the KATNAL1 gene?,"circadian rhythms, sleep and behaviour"
How is Japanese encephalitis transmitted?,arthropod
What element is essential to promoting JEV infection?,calcium
Where is Q130 located in the NS4B protein?,transmembrane domain 3
What is the mechanism of action for manidipine?,voltage-gated Ca(2+) channel (VGCC) inhibitor
How many different pathogens are members of the Flaviviridae family of virus?,70
What is the size of a flavivirus?,11-kb
How many open reading frames are in the flavivirus genome?,single
What are the structural protein elements of a flavivirus?,"capsid (C), membrane (premembrane [prM] and membrane [M] ), and envelope (E)"
What is the function of the nonstructural protein elements of the flavivirus?,"viral replication, virion assembly, and virus escape from immune surveillance."
What are RVPs?,Recombinant viral particles
What is HTS?,high-throughput screening
What is the selective index in high throughput screening?,the 50% cytotoxic concentration
What is the structure of a recombiant  viral particle?,a natural virus-like envelope on the outside and a replicon on the inside
What measure is used in high-throughput screening to identify potential antiviral compounds?,selective index of >10
How many known species of Rotavirus exist?,nine species
Is Rotavirus single or double-stranded?,double-stranded ribonucleic acid
What structural proteins are coded by Rotavirus?,"VP1-VP4, VP6 and VP7"
What non-structural proteins are coded by Rotavirus?,NSP1-NSP5/NSP6
What is qRT-PCR?,qualitative real-time polymerase chain reaction
What can be the main challenges in managing a hospital outbreak of COVID-19?," (1) early identification of outbreak, (2) rapid expansion of patients, (3) high risk of nosocomial transmission, (4) unpredictability of size impacted, and (5) lack of backup resource."
Why early identification of COVID-19 patients can be difficult?,Early identification of 2019-nCoV infection presents a major challenge
What are the steps that a hospital should take after COVID-19 outbreak?,2019-nCoV patients should be admitted
Why exposure risk of COVID-19 is very high for ICU staff and what precautions should be taken?, substantial exposure risk for ICU staff because of the following reasons
Use of SIR/SEIR model in Statistics-Based Predictions of Coronavirus Epidemic Spreading?,"susceptible persons is S, infected (persons who are sick and spread the infection) -I, removed (persons who do not spread the infection anymore, this number is the sum of isolated, recovered and dead people) -R; the infection and immunization rates "
What virus are used by the most successful neuronal circuit tracing methods?,Pseudorabies (PRV) and Rabies viruses (RABV)
In what direction does the Vesicular stomatitis virus spread through the nervous system?,anterograde
What determines the whether the spread of Vesicular stomatitis virus is monosynaptic or polysynaptic?,method of delivery of the G gene
What types of viruses can be used to study the connectivity of neuronal circuitry?,rVSV vectors
What is Carrageenan?,a clinically proven and marketed compound for the treatment of viral upper respiratory tract infections
What is a potential therapeutic benefit of carageenan?,"carrageenan and Zanamivir act synergistically against several influenza A virus strains (H1N1(09)pdm, H3N2, H5N1, H7N7)"
What is the optimal window for initiating treatment with carageenan and Zanamivir?,72 hours post infection
What was the mortality rate of influenza a virus subtype h7n9 (avian or bird flu)?,more than 35%
How many human cases were there of influenza a virus subtype h7n9?,more than 400 human cases
How did most patients contract influenza a virus subtype h7n9?,Most patients with A(H7N9) infections had contact with poultry or visited live animal markets
Can influenza a virus subtype h7n9 be transmit human to human?,some sporadic cases seemed to be a result of human to human transmissions
What kind of disease is caused by influenza?, influenza is an acute respiratory disease
How many severe cases are there for annual influenza epidemics?," Worldwide, annual epidemics result in about three to five million cases of severe illness"
How many deaths occur annually as a result of annual influenza epidemics?,"250,000 to 500,000"
Is coinfection common in influenza infection?,influenza virus infections are often accompanied by other viral pathogens
What percentage of people infected with influenza have a viral coinfection?,"Analysis by qRT-PCR revealed that 54.5-83.3% of influenza A or B positive patients were found to have at least one concomitant respiratory viral infection [9] [10] [11] [12] . The detection frequency with immunofluorescence was found to be even higher (90-100%) [13, 14] . "
What are common concamitant infections during the course of influenza infection?,"human rhinovirus (hRV), respiratory syncytial virus, adenovirus, human coronavirus, human metapneumovirus and parainfluenza virus"
What is the anti-viral mechanism of action for carrageenan?,"The antiviral mechanism of carrageenan is based on the interference with viral attachment; as a consequence, viral entry is inhibited "
What is the hypothetical mechanical benefit for carageenan in preventing and treating upper respiratory infections?,a protective physical barrier in the nasal cavity
What is carageenan?,"a high molecular weight sulfated polymer derived from red seaweed (Rhodophyceae) that has been extensively used in food, cosmetic and pharmaceutical industry and is generally recognized as safe by the FDA "
What is the recovery benefit of carageenan in patients with any respiratory virus?,1.9 day faster recovery from common cold symptoms than placebo treated patients in the intention-to-treat population
What is the anti-influenza benefit of carageenan?,anti-influenza activity was shown by subgroup analysis of 49 influenza infected patients who benefited from a 3.3 days faster recovery from symptoms
What is the association between influenza viral load and carageenan?,a significant reduction of the influenza viral load in nasal fluids and a significant increase in the number of virus free patients within the treatment period of 7 days
Is Oseltamivir effective when taken intranasally?,"In contrast to Oseltamivir, which needs to be activated by metabolic conversion, Zanamivir is directly applied as active drug and can also be administered intranasally"
What is the effect of intranasal Zanamivir on laboratory confirmed infleunza infection?,"challenge trials showed that treatment starting before and up to 36 hours post virus inoculation was associated with prevention of laboratory confirmed influenza and febrile illness as well as a reduction in viral titers, duration of shedding and symptoms"
Do carageenan and Zanamivir delivered intranasally have a benefit when taken for influenza subtype H7N7 infection?,"the combination of two effective, established mono-therapies resulted in a significantly enhanced survival in lethally H7N7 infected mice"
Do carageenan and Zanamivir delivered intranasally have a benefit when taken for influenza subtype H1N1 infection?,carrageenan and Zanamivir starting 72 hpi significantly protects lethally influenza H1N1(09)pdm infected mice
Is there a dose-dependent response to carageenan and Zanamavir intranasal therapy?,"While H1N1(09)pdm was highly sensitive to inhibition by both substances alone, H7N7 required much higher concentrations of carrageenan and Zanamivir, respectively, to achieve similar inhibition efficiencies"
Do carageenan and Zanamavir together have a greater benefit than either in monotherapy?,the H1N1(09)pdm model the combination of carrageenan with 1 mg/kg BW/day Zanamivir showed statistically significant enhanced survival in comparison to placebo treatment even after a treatment start 72 hpi
The the use of carageenan play a role in pandemic's caused by novel viruses?,A second scope of this combination is the protection against newly emerging pandemic viruses during the time until identification of the virus followed by manufacturing and distribution of vaccines
What  is it most similar to?,"bat beta-coronaviruses, with the highest being >96% identity "
"How many people were affected as of Feb. 10, 2020?","greater than 40,000"
How is the SARS-CoV-2 referred to?, as coronavirus disease discovered in 2019 (COVID-19)
what is the clinical manifestation similar to?,he severe acute respiratory syndrome (SARS) caused by SARS-CoV.
How much  similarity the SARS-COV-2 genome sequence has with SARS-COV?,∼80% identity with SARS-CoV
what similarity human SARS-COV and palm civet SARSlike COV share?," 99.8% homology, with a total of 202 single-nucleotide (nt) variations (SNVs) identified across the genome "
How much is the difference between the human SARS-CoV-2 and the bat RaTG13-CoV?,"greater than 1,100 nt "
Why is it highly unlikely that RaTG13 CoV is the immediate source of SARS-CoV-2. ,are distributed throughout the genome in a naturally occurring pattern following the evolutionary characteristics typical of CoVs
What are the most revealing signs that SARS-CoV-2 evolved by natural evolution. ,The absence of a logical targeted pattern in the new viral sequences and a close relative in a wildlife species (bat
What did the Nature Medicine paper report?,the construction of a chimeric CoV with a bat CoV S gene (SHC014) in the backbone of a SARS CoV that has adapted to infect mice (MA15) and is capable of infecting human cells
Why does the claim lack any scientific  basis?," because of significant divergence in the genetic sequence of this construct with the new SARS-CoV-2 (>5,000 nucleotides)."
How was the mouse-adapted SARS virus (MA15) generated?,by serial passage of an infectious wildtype SARS CoV clone in the respiratory tract of BALB/c mice.
How did  the SARS-CoV gain elevated replication and lung pathogenesis in aged mice ?,due to six coding genetic mutations associated with mouse adaptation. 
Why is it likely that MA15 is highly attenuated to  replicate in human cells?,due to the mouse adaptation.
"Why were civets proposed to be an intermediate host of the bat-CoVs, capable of spreading SARS CoV to humans?","t was proposed that the S gene from bat-derived CoV, unlike that from human patients-or civetsderived viruses, was unable to use human ACE2 as a receptor for entry into human cells "
What was the finding  in 2013?,"several novel bat coronaviruses were isolated from Chinese horseshoe bats and the bat SARS-like or SL-CoV-WIV1 was able to use ACE2 from humans, civets and Chinese horseshoe bats for entry "
 Why is it proposed that some bat SL-CoVs may be able to directly infect human hosts?,Combined with evolutionary evidence that the bat ACE2 gene has been positively selected at the same contact sites as the human ACE2 gene for interacting with SARS CoV [
What was done to test if  an intermediate host may not be necessary and that some bat SL-CoVs may be able to directly infect human hosts. T, the exact S gene from bat coronavirus SL-SHC014 was synthesized and used to generate a chimeric virus in the mouse adapted MA15 SARS-CoV backbone. 
What were the results of this test?,"The resultant SL-SHC014-MA15 virus could indeed efficiently use human ACE2 and replicate in primary human airway cells to similar titres as epidemic strains of SARS-CoV. While SL-SHC014-MA15 can replicate efficiently in young and aged mouse lungs, infection was attenuated, and less virus antigen was present in the airway epithelium as compared to SARS MA15, which causes lethal outcomes in aged mice"
Why were experiments with SL-SHC014-MA15 chimeric virus were later restricted?,as gain of function (GOF) studies under the US government-mandated pause policy 
Why is there  no credible evidence to support the claim that the SARS-CoV-2 is derived from the chimeric SL-SHC014-MA15 virus?,"upon careful phylogenetic analyses by multiple international groups [5, 14] , the SARS-CoV-2 is undoubtedly distinct from SL-SHC014-MA15, with >6,000 nucleotide differences across the whole genome."
"What did the rumour that the virus was made by humans in the lab, claim?",that SARS-CoV-2 has HIV sequence in it and was thus likely generated in the laboratory. I
What was reported in  a rebuttal paper led by an HIV-1 virologist Dr. Feng Gao?, they used careful bioinformatics analyses to demonstrate that the original claim of multiple HIV insertions into the SARS-CoV-2 is not HIV-1 specific but random 
What happened to the report with initial claims?," Because of the many concerns raised by the international community, the authors who made the initial claim have already withdrawn this report."
What is the difference between evolution and synthetic constructs?,"Evolution is stepwise and accrues mutations gradually over time, whereas synthetic constructs would typically use a known backbone and introduce logical or targeted changes instead of the randomly occurring mutations that are present in naturally isolated viruses such as bat CoV RaTG13."
What is the conclusion of this report?, there is currently no credible evidence to support the claim that SARS-CoV-2 originated from a laboratory-engineered CoV. It is more likely that SARS-CoV-2 is a recombinant CoV generated in nature between a bat CoV and another coronavirus in an intermediate animal host. 
What is the conclusion of this report?,"More studies are needed to explore this possibility and resolve the natural origin of SARS-CoV-2. We should emphasize that, although SARS-CoV-2 shows no evidence of laboratory origin, viruses with such great public health threats must be handled properly in the laboratory and also properly regulated by the scientific community and governments."
What are examples of delivery vectors for commercial anti-Salmonella vaccines?,"Ty21a for typhoid fever in humans, several Salmonella serovars against salmonellosis in chickens and other animals"
What can be a factor in using common vectors for the delivery of vaccines?,"commonly employed vectors, for example Salmonella and adenovirus, often have pre-existing immune responses in the host and this has the potential to modify the subsequent immune response to a vectored antigen. "
Is a pre-existing immune response to commonly used delivery vector an advantage or a disadvantage?,"for bacterial vectors there can in fact, in some cases, be an enhancement in immunogenicity, typically humoral, while for viral vectors pre-existing immunity is a hindrance for subsequent induction of cell-mediated responses."
What bacterial delivery vectors have been tested in animal hosts?," attenuated bacteria, including Escherichia coli, Vibrio cholerae, lactic acid bacteria (LAB), specifically Lactococcus lactis, Mycobacterium, Listeria, Shigella and Salmonella, have been tested for the targeted delivery of heterologous antigens of bacterial, viral and parasitic origin into a variety of animal hosts"
Which bacteial delivery vectors have gained favor for vaccines?,Bacteria such as E. coli and lactic acid bacteria 
Why are E Coli and lactic acid are safe choices as delivery vectors for vaccines?,E. coli is a commensal and lactic acid bacteria are present in most fermented food items and are therefore naturally present in the host. They are also a much safer option than traditional attenuated vaccines in children and immunecompromised people.
What is Listeria?, Listeria species are Gram-positive intracellular food-borne pathogens
What is the advantage of Listeria as a  delivery vector for vaccines?,"The advantages of Listeria are that it can invade a variety of cells, including antigen presenting cells (APCs). After invading the host cell, Listeria resides inside the phagosome; however, it can escape the phagosome with the help of listeriolysin O (LLO; Hly) and reside in the cytoplasm of the cells, thereby efficiently presenting antigen to both CD8 and CD4 T cells "
What are examples of  viral vectors for delivering vaccines?,"recombinant vaccines are based on both DNA viruses (such as fowlpox virus-based vaccines which target avian influenza virus and fowlpox virus, or vaccinia virusbased vectors against the rabies virus in wildlife) and RNA viruses [such as Newcastle disease virus-based vaccines to be used in poultry or yellow fever virus (YFV)-based vaccines to be used in horses against West Nile virus] "
Which viral vaccine delivery vector was first licensed?,"YFV (YF-17D strain) was the first to be licensed for use in humans, where the cDNAs encoding the envelope proteins of YFV were replaced with the corresponding genes of an attenuated Japanese encephalitis virus strain, SA14-14-2"
What are examples of attenuated poxvirus vaccine delivery vectors?,modified vaccinia virus Ankara (MVA) and New York attenuated vaccinia virus NYVAC strains
What is the connection between chicken and Salmonella?,"Chickens (Gallus gallus) are a natural animal reservoir for Salmonella, which makes them an important source of Salmonella-associated gastroenteritis in humans. "
Why are some poxvirus  ideally suited as vaccine delivery vectors?,They are ideal candidate vectors due to their large DNA-packing capacity and their thermal and genetic stability 
What is the advantage of adenovirus as vaccine delivery vector?,"adenovirus (Ad) vector is another of the most widely evaluated vectors to date to express heterologous antigens, due to ease of production, safety profile, genetic stability, the ease of DNA genome manipulation, and the ability to stimulate both innate and adaptive immune responses and induce both T and B cell responses "
What are important criteria for selecting vaccine delivery vectors?,"a vaccine should be inexpensive, so that it can be administered to a large population at minimal cost"
What are important criteria for selecting vaccine delivery vectors?,"Safety is a major concern, as even a low level of toxicity is unacceptable "
What are important criteria for selecting vaccine delivery vectors?,"long-lasting cellular and (where appropriate) humoral immune responses to the vectored antigen must be induced following administration of these vaccines, preferably with a single dose"
What happens when a recipient of a vaccine has immune response to the delivery vector?,"considering a vector such as Salmonella, if a host has previously been infected there will exist robust B and T memory responses, and as such, when a vaccination is delivered, an anamnestic response to the Salmonella antigens will be induced (while the response to the vectored antigen will be a primary response)"
What is the effect of host immune response to the delivery vector on the efficacy of vaccination?,"for virally vectored antigens, the existence of pre-existing immunity to the vector (particularly neutralizing antibody) will restrict delivery of the virus into cells, thereby effectively reducing the dose of the vectored antigen. Again, this might be expected to result in a reduction in the antigenicity of the vectored antigen."
What is the effect of host immune response to the delivery vector on the efficacy of vaccination?,"theoretically reduce the exposure of the heterologous antigen to the immune system, as the vector is rapidly cleared."
What is an example  of the effect of immunity to the  delivery vector on the efficacy of vaccination?,"mice that had been primed with Salmonella alone, and then boosted with Salmonella expressing tetC, induced much lower anti-tetC responses than mice that had not been primed. This argues strongly that prior immunological immunity to the vector can seriously dampen subsequent antigen-specific humoral responses."
What is the effect of host immune response to viral delivery vectors in the efficacy of vaccination?,"pre-existing immunity is a major obstacle of many viralvectored vaccines, such as Ad serotype 5 or herpes simplex virus type 1 (HSV-1), where the rate of seroprevalence to these viruses is very high [40-45 % and 70 % (or more) of the US population, respectively] "
What is the effect of host immune response to  the viral delivery vector on the efficacy of vaccination?,"Vector-specific antibodies may impede the induction of immune responses to the vaccine-encoded antigens, as they may reduce the dose and time of exposure of the target cells to the vaccinated antigens"
What is the effect of host immune response to the delivery vector on  the efficacy of vaccination?," In a large-scale clinical trial (STEP) of an Ad serotype 5 (AdHu5)-based HIV-1 vaccine, the vaccines showed a lack of efficacy and tended to increase the risk of HIV-1 infection in vaccine recipients who had pre-existing neutralizing antibodies to AdHu5 ("
What are methods to avoid the effect vector immunity on the efficacy of vaccination?," the use of vectors derived from nonhuman sources, using human viruses of rare serotypes (Kahl et al., 2010; Lasaro & Ertl, 2009) , heterologous prime-boost approaches (Liu et al., 2008) , homologous reimmunization (Steffensen et al., 2012) and removing key neutralizing epitopes on the surface of viral capsid proteins (Gabitzsch & Jones, 2011; Roberts et al., 2006) "
What are methods to  avoid the effect of vector immune response on the efficacy of vaccination?,"The inhibitory effect of pre-existing immunity can also be avoided by masking the Ad vector inside dendritic cells (DCs) (Steffensen et al., 2012) . In addition, mucosal vaccination or administration of higher vaccine doses can overcome pre-existing immunity problems (Alexander et al., 2012; Belyakov et al., 1999; Priddy et al., 2008; Xiang et al., 2003) .
"
"How does cell-mediated immunity to viral delivery vector, reduce the immune response to vaccine?"," this is because viruses will induce neutralizing antibody on the first dose, and in subsequent doses this antibody will limit the number of transduced cells, therefore limiting the responses. This is particularly a problem with a common viral vector such as Ad, where a large proportion of the population will have immunological memory against common serotypes"
"How can vectors for which host has immunity, be used differently to increase the efficacy of vaccination?"," it will be possible to utilize such vectors only by developing vaccines from alternative serotypes. It may be that a vector such as Pre-existing immunity against vaccine vectors attenuated influenza virus, with the ability to easily develop reassortants, will be useful in this context.

In addition, immunological memory in the form of opsonizing antibody certainly plays an important role in the early uptake of Salmonella by macrophages and DC. This may be beneficial, as the live bacterial vector used for delivery purposes harbours mutations in genes encoding proteins responsible for their survival in the animal host. This not only encumbers their ability to cause disease, making them safe live vectors, but also limits the number of replications. The presence of opsonizing antibodies should mean a higher level of bacterial uptake, leading to higher presentation to the immune system and therefore a better immune response."
How does the PED virus transmit between animals?,fecal–oral contact
How can Bacilius subtilis be used as an oral vaccine?,recombinant vaccine carrier
What cells are infected by the PED virus?,intestine epithelial cells
What kind of immune responses are most effective in preventing PED virus?,mucosal
What intestinal factors may reduce the effectiveness of orally-administered immunizations?,"gastric acids, pepsin, and trypsin"
What is Bacillus subtilis?,Gram-positive bacterium
What is the role of dendritic cells in the immune response?,antigen-presenting cells
Where do dendritic cells exist in the body?,gut-associated lymphoid tissue (GALT)
What are the components of the gut-associated lymphoid tissue?,"Peyer's patches (PPs), isolated lymphoid follicles (ILFs), mesenteric lymph nodes (MLNs), and scatter throughout the subepithelial lamina propria (LP) of the small intestine and colon"
What type of cells form the intestinal mucosal barrier?,lymphoid cells
What factors determine an effective mucosal immune response?,serum IgG and mucosal SIgA
What is an effective indicator of a vaccine's ability to generate an immune response?,cytokines
What is interleukin-1Beta?,pro-inflammatory cytokines
When was the first case of COVID-19 identified?,"Wuhan City, China"
Where did SARS-CoV-2 originate?,"Wuhan City, China"
In what year did the first SARS epidemic occur?, rapid and transparent sharing of information between countries and agencies
"When was World Health Organization (WHO) first notified about the SARS-CoV-2 epidemic in Wuhan City, China?",31 December
"When did we discover that SARS-CoV-2, which causes COVID-19, was a novel coronavirus?",26 January 2020
How long did it take to identify the cause of COVID-19?,4 weeks
What type of test was initially developed to screen for SARS-CoV-2?, reverse transcription polymerase chain reaction
How big was the temporary hospital built in Wuhan City for treatment of COVID-19 patients?,1000 bed hospital
How long did it take China to build the temporary hospital in Wuhan for COVID-19 patients?,10 days
What is a key factor in managing emerging infectious disease threats?,transparent sharing of information between countries and agencies
In what year did the MERS epidemic occur?,2012
How long did it take to publish the full genomic sequence of SARS-CoV-2 after it was identified?,2 weeks
What was the fatality rate for SARS-CoV?,10%
What was the fatality rate for MERS?,34%
What are some challenges associated with using media and social media to capture information about an emerging epidemic?,the volume and diversity of the information available and the relative lack of verification mechanisms
What are the risks of health workers failing to wash hands?,"autoinfection, but also in infection of patients hospitalised for other causes when they provide care"
Who is at risk when health workers fail to wash their hands?," the health worker, but also for their families and the communities in which they live"
What was the R0 of SARS in absence of control measures?,3
What is superspreading?,where a case infected significantly more contacts than the average
How many people may have left Wuhan before travel restrictions were imposed?,5 m people
How many severe cases of influenza-related illnesses are reported per year?,Between 3-5 million
How many influenza-related deaths are reported each year?,over 250 000
What is the mortality rate of the H5N1 strain of influenza?,53%
What cells are the main target of the influenza A virus in the lungs?,primary human alveolar epithelial type II (ATII) cells
How many extracellular domains are in the CEAMCAM1 protein?,four
Where is CEACAM1 expressed in the body?,"epithelial and endothelial cells 11 , as well as B cells, T cells, neutrophils, NK cells, macrophages and dendritic cells (DCs)"
What motifs are absent in the short form of CEACAM1 protein?,immunoreceptor tyrosine-based inhibitory motifs (ITIMs)
What are the most common isoforms of CEACAM1?,CEACAM1-4L and CEACAM1-3L
How do CEACAM1 and CEACAM5 interact?,heterophilically
What are the SRC-family of kinases? ,signaling molecules
What triggers the release of pro-inflammatory cytokines/chemokines to assist in viral clearance?,pattern recognition receptors (PRRs)
What mediates the anti-apoptosis of neutrophils?,Phosphorylation of CEACAM1 ITIM motifs and activation of caspase-3
How do natural killer cells fight influenza viruses?,by recognizing and killing infected cells
How do influenza viruses escape binding by the natural killer cell activating receptors?,modification of influenza hemagglutinin (HA) glycosylation
What is Enfuvirtide?,HIV fusion inhibitor
What is labeled in red?,residues corresponding to the NHR pocket region
What is marked in blue?,residues for the PBD
What is marked in green?,MT-hook residues adjacent to the N terminus of PBD
What is labeled in pink?,mutant residues in PBD of AP2 and AP3
How many times was the experiment repeated?,twice
What was the main finding in the study?,"AP3, exhibited improved antiviral activity, drug resistance profile and pharmacological properties over T20"
What do the results suggest?,AP3 has potential for development as a new anti-HIV drug
What enhanced anti-HIV1 activity?,adding two amino acids of Met and Thr to the N-terminus of a CHR-peptide 
What figure shows that AP3 exhibited higher inhibitory activities on infection by HIV-1 IIIB and HIV-1 Bal strains?,Fig. 1b
What is the serum half-life of T20?,about 2 h
What kind of model best describes the pharmacokinetic profiles of AP3 and AP2?,non-compartment model
What is the in vivo elimination half-life of AP3?,6.02 h
Why did the T20/N36 complex not show a typical alpha helical conformation?,Because T20 lacks the pocket-binding domain (PBD)
What mutations have been typically associated with T20-resistant HIV-1 variants?,GIV motif (residues 36-45: GIVQQQNNLL) in the gp41 NHR domain 10
What are main steps for mitigating the COVID -19 transmission during transport of suspected and confirmed patients?,"firstly, early recognition of the deteriorating patient; secondly, HCW safety; thirdly, bystander safety; fourthly, contingency plans for medical emergencies during transport; fifthly, post-transport decontamination"
How many deaths each year are caused by gastroenteritis?,two to three million
What percentage of sporadic diarrhea are caused by norovirus?,60%
What is the most common cause of viral gastroenteritis in children?,Rotavirus
Which types of adenovirus are associated with diarrhea?,type 40 and 41
When was the first tissue culture system developed?,1907
What are the most common DNA-based techniques for detecting viruses?,"1. Universal primer-PCR [41] ; 2. Random priming-based PCR [42] ; 3. Virus Discovery cDNA, Amplified Fragment Length Polymorphism (VIDISCA) [43] ; and 4. Sequence-Independent Single Primer Amplification (SISPA)"
What is Universal primer-PCR used for in viral studies?,detect novel variants
What is Koch's first postulate?,The microbe occurs in every case of the disease in question and under circumstances which can account for the pathological changes and clinical course of the disease
What is Koch's second postulate?,the microbe occurs in no other disease as a fortuitous and nonpathogenic parasite
What is Koch's third postulate?,"after being fully isolated from the body and repeatedly grown in pure culture, the microbe can induce the disease anew"
"If all 3 of Koch's postulates are met, what does this indicate?",microbe is the cause of the disease
Is Koch's postulate applicable to enteric viruses?,not applicable
What has been the application of phage display technology?,protein–protein interactions.
What makes phage display technology useful for other applications?," inherent biological, biochemical, and biophysical properties of filamentous bacteriophage, as well as the ease of its genetic manipulation"
What are the advantages of phage as a vaccine carrier?,"high immunogenicity, relative antigenic simplicity and ability to activate a range of immune responses"
What is the potential of phage for infectious and chronic diseases?,prophylactic and therapeutic agent
"What is the regularity of the virion major coat protein lattice useful for?
"," enables a variety of bioconjugation and surface chemistry applications, particularly in nanomaterials"
Why is the phage ab excellent model system for directed protein evolution?,the phage’s large population sizes and fast generation times
What are filamentous bacteriophages genera Inovirua and Plectrovirus?,"non-enveloped, rod-shaped viruses of Escherichia coli whose long helical capsids encapsulate a single-stranded circular DNA genome."
What invention has made bacteriophage useful for research?,principle of modifying the filamentous phage genome to display polypeptides as fusions to coat proteins on the virion surface 
What has the bacteriphage technology and the library of folded protein variants enabled?,"the ability to seamlessly connect genetic information with protein function for a large number of protein variants simultaneously, and has been widely and productively exploited in studies of proteinprotein interactions"
What are the potential novel applications of the filamentous phage?,(i) filamentous phage as a vaccine carrier; (ii) engineered filamentous phage as a therapeutic biologic agent in infectious and chronic diseases; (iii) filamentous phage as a scaffold for bioconjugation and surface chemistry; and (iv) filamentous phage as an engine for evolving variants of displayed proteins with novel functions. 
What themes are common in  the applications of filamentous phage?," unique biological, immunological, and physicochemical properties of the phage, its ability to display a variety of biomolecules in modular fashion, and its relative simplicity and ease of manipulation"
What do applications of filamentous phage depend on?,its ability to display polypeptides on the virion's surface as fusions to phage coat proteins 
What characteristics are determined by the display  mode?," maximum tolerated size of the fused polypeptide, its copy number on the phage, and potentially, the structure of the displayed polypeptide"
How may the display be achieved?," by fusing DNA encoding a polypeptide of interest directly to the gene encoding a coat protein within the phage genome (type 8 display on pVIII, type 3 display on pIII, etc.)"
"What does  the term ""phage display"" refer to?"," a recombinant filamentous phage displaying a single polypeptide sequence on its surface (or more rarely, bispecific display achieved via fusion of polypeptides to two different capsid proteins)"
"What does the term ""phage displayed library"" refer to?","a diverse pool of recombinant filamentous phage displaying an array of polypeptide variants (e.g., antibody fragments; peptides)"
What characteristic of filamentous phage has been demonstrated?,"is highly immunogenic in the absence of adjuvants (Meynell and Lawn, 1968 ) and that only the major coat protein, pVIII, and the minor coat protein, pIII, are targeted by antibodies"
What application is a natural extension of the  ability to display recombinant exogenous sequences on its surface?,as carrier to elicit antibodies against poorly immunogenic haptens or polypeptide
What makes it an attractive vaccine carrier?,"The phage particle's low cost of production, high stability and potential for high valency display of foreign antigen"
What does the display mode determine?," the maximum tolerated size of the fused polypeptide, its copy number on the phage, and potentially, the structure of the displayed polypeptide. "
Why are antibody epitope based peptide vaccines are no longer an active research area?,"(i) in many cases, peptides incompletely or inadequately mimic epitopes on folded proteins (Irving et al., 2010 ; see below); (ii) antibodies against a single epitope may be of limited utility, especially for highly variable pathogens (Van Regenmortel, 2012); and (iii) for pathogens for which protective immune responses are generated efficiently during natural infection, peptide vaccines offer few advantages over recombinant subunit and live vector vaccines, which have become easier to produce over time."
What phage may be useful in allergy immunotherapy?,Phage displaying peptide ligands of an anti-IgE antibody elicited antibodies that bound purified IgE molecules
Which are some phage based contraceptive vaccines for animals?, immunization with phage displaying follicle-stimulating hormone peptides on pVIII elicited antibodies that impaired the fertility of mice and ewes 
Which are some phage based contraceptive vaccines for animals?,"Phage displaying or chemically Rubinchik and Chow (2000) conjugated to sperm antigen peptides or peptide mimics (Samoylova et al., 2012a,b) and gonadotropin-releasing hormone (Samoylov et al., 2012) are also in development."
What is one reason for the lack of success of immunization phage displayed peptides with native protein?," it seems that peptide antigens elicit a set of topologically restricted antibodies that are largely unable to recognize discontinuous or complex epitopes on larger biomolecules. While the peptide may mimic the chemistry of a given epitope on a folded protein (allowing it to crossreact with a targeted antibody), being a smaller molecule, it cannot mimic the topology of that antibody's full epitope."
