编号,持续时间,数量,内容
1,2022/4/25 14:59-2022/4/25 14:59,2,"  ""203"" 撤回了一条消息   中午团的自热米饭没有达到最低起送份数，已经全额退款了噢～"
1,2022/4/25 17:52-2022/4/25 17:52,1,  @602? 泡面在楼下了，快下来拿
1,2022/4/25 18:11-2022/4/25 18:17,2,  @602?@602?你们的泡面还在楼下，快点来拿   好的！才看到！！！马上来了
1,2022/4/25 19:49-2022/4/25 20:06,11,"  1号楼的居民:
   明天早上8点做核酸。
  请大家辛苦一下，提前做好准备[握手]
     收到[抱拳]   [玫瑰]   好的   收到谢谢   收到谢谢   [胜利]      好的   好的   [握手]"
1,2022/4/25 20:21-2022/4/25 20:23,7,  [OK]   [拥抱]   [转发的网页]   马上团蔬菜了噢[呲牙]   ??   快点先领红包??平台给我发了100元红包～每个2元一共50个   等会买菜可以用
1,2022/4/25 20:42-2022/4/25 20:46,3,  团长: 买了，忘记晒了[偷笑]   [转发的网页]   [转发的网页]
1,2022/4/26 7:44-2022/4/26 7:45,3,"  1号楼的居民；
   原本8点做核酸的，现改为9点。
  因为医生要9点到。
   谢谢大家能理解[抱拳]   好的????    [玫瑰]"
1,2022/4/26 11:01-2022/4/26 11:01,1,  什么时候做啊
1,2022/4/26 11:36-2022/4/26 11:40,4,"  ""毛头"" 撤回了一条消息 [点击播放语音] [点击播放语音] [点击播放语音]"
1,2022/4/26 15:15-2022/4/26 15:30,4,[点击播放语音] [点击播放语音] [点击播放语音]   下来了
1,2022/4/26 15:45-2022/4/26 15:52,17,"images\[00269]2022-04-26 15-45-20 images\[00270]2022-04-26 15-45-36   为什么我们比人家小区少点啊[捂脸]   少什么   我们跟上面一样的   我们也一样的   你们少了瓶酱油？   @喧暮笙央?找不同[偷笑]   @203?生抽我们有啊   少了酱油和香肠   ""喧暮笙央"" 撤回了一条消息   你中奖了[呲牙]   搞的我都怀疑是不是还在箱子里没看到[捂脸]   少两样，这个奖也太大了吧[捂脸]   怪事      团长； 看来你要去买彩票了，看看会不会中奖[捂脸]"
1,2022/4/26 16:11-2022/4/26 16:11,1,  @喧暮笙央?不用，谢谢啊，家里有的[合十]
1,2022/4/26 17:20-2022/4/26 17:35,6,"images\[00271]2022-04-26 17-20-29   京东买的柔顺剂多了一瓶！有需要的邻居吗    京东有送货啦   [转发的网页]   ??团购预告??
团购商品1??
酣畅牛肉团购套餐，301元
套餐含：牛上脑500g*2+牛腩500g*2

团购商品2??
酣畅牛排团购套餐，402元
套餐含：安格斯谷饲M3西冷200g+安格斯谷饲M3眼肉200g+安格斯谷饲M3嫩肩200g+ 安格斯谷饲M3上脑200g+安格斯谷饲牛腱1000g

团购时间：4月26日17:45-19:45
起送份数：5份
配送时间：预计4月28日

??注意：牛肉类暂时没有第二次团购计划，请各位居民按需理性购买～   @602?卖给我吧"
1,2022/4/26 17:56-2022/4/26 18:03,4,  [转发的网页]   [转发的网页]   [转发的网页]   [转发的网页]
1,2022/4/26 20:29-2022/4/26 20:29,2,"  [转发的网页]   ??团购预告??

团购内容：水果组合，超8斤
团购金额：84元一份
团购时间：4月26日20:30-22:30
配送时间：预计4月30日

??注意：水果类团购预计10天左右一次，各位居民按需理性购买～"
1,2022/4/27 6:02-2022/4/27 6:02,1,  [转发的网页]
1,2022/4/27 9:23-2022/4/27 9:27,3,[点击播放语音] [点击播放语音]   来了
1,2022/4/27 10:19-2022/4/27 10:32,9,  社区医院已被征用做方舱，目前关闭状态，配不了药。医院搬到文化中心附近，最快也要到下周一才能配药@所有人?   !收到谢谢   [玫瑰]   收到谢谢??   [拥抱]   收到谢谢您关??   [偷笑]   收到谢谢   [握手]
1,2022/4/27 13:03-2022/4/27 13:04,4,  再过15分钟发蔬菜噢～   收到   好的??    [OK]
1,2022/4/27 13:29-2022/4/27 13:39,7,  肉什么时候到@203?   发了没？ [点击播放语音] [点击播放语音]   来了   噢＇订的蔬菜   来了
1,2022/4/27 14:39-2022/4/27 15:16,32,"  各位邻居都收到蔬菜了吧～请问蔬菜是否有质量问题，有无蔬菜腐烂、缺漏、缺斤短两的，尽快反馈，我来给大家补送蔬菜。
由于葱有点压坏出水，可能导致其他蔬菜加速腐烂，尽早清理、储存套餐内所有蔬菜。
另外关于套餐内的小葱品质不好，已经跟供应商反馈了，稍后给大家解决方案。   ""喧暮笙央"" 撤回了一条消息 images\[00272]2022-04-27 14-47-44   团长； 我个人认为，这次蔬菜可以的[强]都是干头蔬菜，可以放时间长一点的[强]
  谢谢你们志愿者[拥抱]你们真的很辛苦[抱拳][抱拳][抱拳] images\[00273]2022-04-27 14-48-18   毛头大妈妈也辛苦啦！每次都很帮忙～   应该的   @203?看得出两包的区别吗   是的，有区别[呲牙]   看得出??   我同事都说我们团的菜新鲜又便宜   对的   @203这二次东西，你都中奖了[偷笑]
  解封后，一定要去买彩票[偷笑]   我们蔬菜不好，会有售后的[呲牙]跟上面发的物资不一样～哈哈哈   大家都看看有没有问题哦，有问题我来给你们补送   这是团长用??在做，每一次团的东西都很好，谢谢你辛苦了   @毛头?必须买[破涕为笑]   [偷笑][偷笑][偷笑]   我的菜也蛮好的   没想到分量这么足[捂脸]   是你们找了诚信的商家[强][强][强]   @203?晚上吃米苋哦   我不喜欢吃米苋！   ""喧暮笙央"" 撤回了一条消息   [快哭了]   好吃，多放点蒜泥[拥抱]      103的小朋友们在炒米苋很香的[强][强][强]   103上次是不是吃麻辣火锅还是冒菜啦   香的不得了   我叫我妈妈把靠近楼道的窗开的大一点给我闻闻味道??   "
1,2022/4/27 15:38-2022/4/27 15:54,10,  我们楼里还有人缺蔬菜的吗？   蔬菜很新鲜 感谢   没想到这么一大包   感觉可以过上多吃菜少吃饭的健康奢侈生活   [偷笑][偷笑][偷笑]   还有两包多的蔬菜   有需要的吗～   那就给我一包吧，本想把冰箱里的菜吃空点再买的[偷笑]   多的菜在一楼，如果没有了可能已经被拿掉啦～   谢谢??
1,2022/4/27 16:16-2022/4/27 16:16,1,[点击播放语音]
1,2022/4/27 16:40-2022/4/27 16:44,4,"  菜已经没有啦，大家不要白跑了噢[皱眉]这是蔬菜基地以防有烂菜漏菜的情况，给我们多送了两份菜用做售后的。
已经给需要售后的人补发掉一些菜之后，还剩下的2包。我就想着我们楼里如果有需要的可以送～数量不多的，前面就已经分完啦！
下次有多的我也肯定优先分给楼里的各位邻居[呲牙]   优先照顾楼里不怎么会使用手机的老年人，剩下的先到先得噢[愉快]   好的 辛苦～   好累[捂脸]"
1,2022/4/27 18:56-2022/4/27 19:06,33,images\[00274]2022-04-27 18-56-48   [微信转账，金额：2.00元]   101在群里吗？   [微信转账，金额：2.00元]   在的   [微信转账，金额：2.00元]   [微信转账，金额：2.00元]   [微信转账，金额：2.00元]   101.103.302.502.503   谢谢团长   麻烦大家发个消息，找不到大家了   谢谢团长[抱拳]   给大家退个钱   503   [微信转账，金额：2.00元]   [微信转账，金额：2.00元]   [微信转账，金额：2.00元]   [微信转账，金额：2.00元]   [微信转账，金额：2.00元]   [微信转账，金额：2.00元]   [微信转账，金额：2.00元]   101是哪位呀～～   就差101咯   陈锦绣   [微信转账，金额：2.00元]   [转发的网页]   哪位呀[皱眉]   头像是个顺   看到了！感谢   [微信转账，金额：2.00元]   我的呢[调皮]   @203?   被我私吞了[奸笑]
1,2022/4/27 19:33-2022/4/27 19:33,1,  [微信转账，金额：2.00元]
1,2022/4/27 20:36-2022/4/27 20:36,1,  [微信转账，金额：2.00元]
1,2022/4/27 21:43-2022/4/27 21:43,1,images\[00275]2022-04-27 21-43-36
1,2022/4/28 9:55-2022/4/28 9:56,3,  江湾体育场里在造方仓了 images\[00276]2022-04-28 09-55-53   是的
1,2022/4/28 10:42-2022/4/28 10:43,4,images\[00277]2022-04-28 10-42-37   街坊们有需要的吗，买多了[捂脸]   给我   转账给你
1,2022/4/28 12:53-2022/4/28 12:53,1,  团的肉没到吧@203?
1,2022/4/28 13:07-2022/4/28 13:18,3,  目前还没到[微笑]@喧暮笙央?   好的   牛肉还有半小时到小区[呲牙]等会先发牛肉
1,2022/4/28 13:51-2022/4/28 13:57,2,[点击播放语音]   好的 谢谢
1,2022/4/28 16:05-2022/4/28 16:12,3,  大家今天收到的牛肉，有没有牛油特别多，需要售后的情况？（特别是牛腩）   我的一份，还可以的[抱拳]   [OK]
1,2022/4/28 16:24-2022/4/28 16:29,8,images\[00278]2022-04-28 16-24-08   有一块   牛腩吗？   嗯对的   牛腩整个拍一下 images\[00279]2022-04-28 16-26-50   这块蛮肥的   好的
1,2022/4/28 17:05-2022/4/28 17:05,1,images\[00280]2022-04-28 17-05-33
1,2022/4/28 18:10-2022/4/28 18:35,10,"images\[00281]2022-04-28 18-10-28   ""102阿姨"" 撤回了一条消息   1号楼的居民；
  上面二份转发的居民书，烦请大家看一下[抱拳]
  谢谢大家[抱拳][抱拳][抱拳]   好的??    知道了   [玫瑰]   收到   收到[抱拳]   収到   [握手]"
1,2022/4/28 19:56-2022/4/28 20:18,13,"  各位居民朋友大家好，很抱歉由于之前的猪肉供应商一直发不出货，到货时间一拖再拖，我们经过认真考虑，决定退单退款（退款最迟将于今晚24点前在快团团后台完成），给大家造成困扰真的非常抱歉，我们已经重新为大家找了一家送货更有保障的猪肉供应商。稍后我们即将重新发布猪肉的团购链接，具体团购信息如下：
团购时间：4月28日20:15-22:15
团购内容：雨润冰鲜猪肉6斤（2斤五花肉+2斤腿肉+2斤大排肉）
起送份数：50份
团购金额：111.5元
配送时间：预计5月2日   没事的
   已经很麻烦你了[握手]   没事的，又已找到供货商了，有望了谢谢??   [转发的网页]   价格还便宜了～[呲牙]小排变大排了   很好啊[玫瑰]      [转发的网页]   [转发的网页]   [转发的网页]   [转发的网页]   [转发的网页]   """
1,2022/4/28 20:29-2022/4/28 20:38,10,"  @所有人?
各位购买了牛肉、牛排的居民，今天下午在收到牛肉后，有部分居民反馈牛肉太肥，我已经跟供应商及时沟通协商，根据大家的返图，酌情给大家进行部分退款的处理，给大家造成麻烦非常抱歉！以下是退款明细以及我和商家的沟通截图，费用将由各位楼栋内志愿者在楼栋群内定向转账退回给大家，再次说声抱歉！ images\[00282]2022-04-28 20-29-56 images\[00283]2022-04-28 20-29-57 images\[00284]2022-04-28 20-29-58   太烦心了[捂脸]   还好供应商还是挺好的[呲牙]统一退款就好   太肥的大家熬一熬牛油??   有你这样的团长真好，谢谢了[玫瑰][玫瑰][玫瑰]   [微信转账，金额：37.50元]   [微信转账，金额：37.50元]"
1,2022/4/28 21:48-2022/4/28 21:49,2,"  团长； 退款已到账[握手]
  谢谢啦[抱拳]   "
1,2022/4/28 22:19-2022/4/28 22:21,3,  [转发的网页]   谢谢团长[抱拳]   不谢啦，我替她回答，她在忙[呲牙]
1,2022/4/28 22:45-2022/4/28 22:45,2,images\[00285]2022-04-28 22-45-20   @毛头?[破涕为笑]
1,2022/4/28 22:59-2022/4/28 23:00,7,  我的第二个铁杆顾客[强]   哈哈哈哈哈哈   我也是   你也是铁杆嘛？哈哈哈   嗯   [偷笑][偷笑][偷笑][偷笑]   铁杆都在1号楼
1,2022/4/29 9:55-2022/4/29 10:09,7,images\[00286]2022-04-29 09-55-59.jpg   有人需要吗！( 朋友帮我抢菜多抢了～ images\[00287]2022-04-29 09-56-22.jpg   还多一份花蛤   蓝莓和谷物饮料给我。   多买了三个西瓜[呲牙]有没有人需要？ images\[00288]2022-04-29 10-09-00.jpg
1,2022/4/29 10:36-2022/4/29 10:36,1,  西瓜卖完咯
1,2022/4/29 12:33-2022/4/29 12:33,2,"  ??团购预告??

团购时间：4月29日12:45-14:45
团购内容：沈大成早餐套餐
团购金额：129.5元
起送份数：30份（不满30份自动退）
配送日期：预计5月2日

??注意：速食类团品不定期开团，大家按需理性购买～   [转发的网页]"
1,2022/4/29 12:47-2022/4/29 12:49,2,  [转发的网页]   [转发的网页]
1,2022/4/29 13:50-2022/4/29 13:50,1,  [转发的网页]
1,2022/4/29 15:43-2022/4/29 15:43,4,  大概五点发水果噢，我们楼里这三户购买啦，到时候按门铃及时下来拿噢~ images\[00289]2022-04-29 15-43-04   好   好的
1,2022/4/29 16:53-2022/4/29 17:04,5,images\[00290]2022-04-29 16-53-16 images\[00291]2022-04-29 16-54-29   401   [抱拳]   今天要做吗@毛头?
1,2022/4/29 18:51-2022/4/29 18:53,2,  同问   还没有通知做
1,2022/4/29 21:07-2022/4/29 21:10,4,"  各位居民朋友们大家好??我们建新小区305弄团购志愿者从4月15日至今，已经为大家组织生活保障类团购共计23次，风雨无阻地为大家消杀派发物资，打通物资运送“最后100米”。在各位的支持和配合下，让大家的生活有了基本的保障，我们也成就感满满??

因此在五一佳节来临之际，我们决定给自己一些小小的奖励，特此提前告知各位居民：5月1-4日我们将休假4天??“小长假”期间如有先前团购物资到货，我们依然会正常派发，但是不会发布新的团购，群内消息可能也无法及时回复，请谅解～

关于各位关心的后续团购安排，目前计划如下：
5月5日，预计团购面包、菌菇。
5月6日，预计团购鸡、鸡蛋。
5月7日，预计团购蔬菜、牛奶。
5月8日，预计团购消杀防护用品。
当然，团购计划也会根据大家投票意向做相应调整！

最后，五一小长假，安全不放假，希望大家都可以度过一个安全又愉快的五一假期??   [强]   辛苦啦[加油]   辛苦辛苦[强]"
1,2022/4/29 21:50-2022/4/29 21:54,3,"  ""夕军"" 撤回了一条消息      辛苦了，谢谢你们"
1,2022/4/29 22:39-2022/4/29 22:41,6,  401 每日优鲜到了   下来拿外卖   @1号楼401室?   好的    谢谢   来了
1,2022/4/30 14:29-2022/4/30 14:34,5,[点击播放语音]   来了！   来了，谢谢啦   来了 [点击播放语音]
1,2022/4/30 14:51-2022/4/30 15:06,5,"  [转发的网页]   ??团购预告??

团购时间：4月30日15:00-17:00
团购内容：吕锦记招牌手撕鸡
团购金额：69元
起送份数：66份
配送日期：预计5月3-4日

温馨提示：产品为冷冻食材，大家收货后务必冷冻保存！

食用说明：
1.凉吃:解冻后，手撕成条状即可食用。
2.热吃:解冻后，微波炉高火加热即可。

??注意：熟食类团品不定期开团，大家按需理性购买～   [转发的网页]   [转发的网页]   [转发的网页]"
1,2022/4/30 16:12-2022/4/30 16:58,31,"  1号楼的居民:
  大家做一下抗原哦[抱拳]
  做好后上传
   谢谢大家[抱拳][抱拳][抱拳]   收到   [玫瑰]   收到   收到   [抱拳] images\[00292]2022-04-30 16-18-01 images\[00293]2022-04-30 16-19-46 images\[00294]2022-04-30 16-19-51   [强] images\[00295]2022-04-30 16-21-33   [拥抱] images\[00296]2022-04-30 16-23-57 images\[00297]2022-04-30 16-24-42 images\[00298]2022-04-30 16-24-56   [玫瑰]   [胜利] images\[00299]2022-04-30 16-25-49 images\[00300]2022-04-30 16-29-23   [握手] images\[00301]2022-04-30 16-31-36   @103缺一个
  第二个看不清 images\[00302]2022-04-30 16-35-51   [握手] images\[00303]2022-04-30 16-42-01 images\[00304]2022-04-30 16-45-32 images\[00305]2022-04-30 16-50-24 images\[00306]2022-04-30 16-55-38 images\[00307]2022-04-30 16-55-45   ""1号楼401室"" 撤回了一条消息   401  室的有一个棉签断的没出来效果，用了之前的内款[微笑]"
1,2022/4/30 17:16-2022/4/30 17:16,1,  @401  知道了
1,2022/4/30 17:32-2022/4/30 17:40,3,images\[00308]2022-04-30 17-32-30 images\[00309]2022-04-30 17-35-22   [握手]
1,2022/4/30 17:52-2022/4/30 18:14,12,"images\[00310]2022-04-30 17-52-56   我们楼里有需要的吗？   山姆超市的团购套餐   一共50份，我们和285弄一起，数量有限，先来问问我们楼   ??   3O1室购买水果，谢谢您们，如有我就付现金。   ??团购预告??

团购时间：4月30日18:00-19:45
团购内容：诺心蛋糕
团购金额：价格不等，具体见图
起送金额：3000元起
配送日期：预计5月3日

??注意：蛋糕没有下一次团购计划，大家按需理性购买～

祝4、5月过生日的居民们，生日快乐??   [转发的网页]   @304?你是确定需要山姆吗？我帮你报上去咯   [转发的网页]   好的   [转发的网页]"
1,2022/4/30 18:25-2022/4/30 18:29,4,  @203?怎么付钱呀？   等我统计完再收款～微信或者支付宝都可以   山姆套餐一共还有20份～   [转发的网页]
1,2022/4/30 18:52-2022/4/30 18:58,6,  山姆还有9份   [转发的网页]   ??   201。请问给你转账吗，还是   对的，晚一点给我转账，等全部统计完～   [转发的网页]
1,2022/4/30 19:20-2022/4/30 19:24,11,images\[00311]2022-04-30 19-20-32   @304?@许益(Ben)?   付款备注一下几零几噢 images\[00312]2022-04-30 19-21-11   @203?可以这里直接转你么？   也行吧??   嗯嗯 微信和支付宝跳转好麻烦的   [微信转账，金额：648.20元]   [微信转账，金额：648.20元]   收到～   
1,2022/4/30 19:38-2022/4/30 19:38,1,  [转发的网页]
1,2022/5/1 7:47-2022/5/1 7:47,1,  
1,2022/5/1 12:12-2022/5/1 12:25,15,images\[00174]2022-05-01 12-12-53   多买4条带鱼   有没有人要呀[呲牙]   12.8一条   要   你要4条嘛？   好的谢谢了   好滴   大妈妈你什么时候方便下来拿一下～   已经到了[呲牙]   下来了   [微信转账，金额：51.20元]      [微信转账，金额：51.20元]   收到～
1,2022/5/1 13:58-2022/5/1 14:04,9,"  各位楼组长，接上级通知?? 从今天开始，每天晚上19点开始抗原自测，20点前上报居民抗原情况。没有抗原的楼栋请到居委办公室领取。   收到谢谢   收到谢谢   收到谢谢您。      收到[抱拳]   1号楼居民:
   请每晚19点半左右上传做好的抗原自测[抱拳]
  谢谢大家[抱拳][抱拳][抱拳]      好的，谢谢?? "
1,2022/5/1 17:37-2022/5/1 17:38,2,images\[00175]2022-05-01 17-37-45 images\[00176]2022-05-01 17-38-38
1,2022/5/1 17:49-2022/5/1 18:52,28,images\[00177]2022-05-01 17-49-44 images\[00178]2022-05-01 17-55-05 images\[00179]2022-05-01 17-56-04 images\[00180]2022-05-01 17-58-08   [握手] images\[00181]2022-05-01 18-03-10 images\[00182]2022-05-01 18-03-30   刚刚我上传的是204的 images\[00183]2022-05-01 18-05-06 images\[00184]2022-05-01 18-05-14 images\[00185]2022-05-01 18-07-57   [强] images\[00186]2022-05-01 18-08-21   [玫瑰] images\[00187]2022-05-01 18-12-12   [胜利] images\[00188]2022-05-01 18-19-01   401 images\[00189]2022-05-01 18-19-32 images\[00190]2022-05-01 18-27-39   这上传的是402室 images\[00191]2022-05-01 18-33-29 images\[00192]2022-05-01 18-40-17   [胜利] images\[00193]2022-05-01 18-42-50   [握手] images\[00194]2022-05-01 18-52-20   [抱拳]
1,2022/5/1 19:43-2022/5/1 19:43,1,[点击播放语音]
1,2022/5/1 20:07-2022/5/1 20:07,1,[点击播放语音]
1,2022/5/1 22:15-2022/5/1 22:19,10,  [转发的网页]   咱们楼里猪肉有没有质量问题呀？   没有，谢谢啦[呲牙]   好像没有五花肉？感觉是两个腿肉和一个大排   一个腿 一个五花肉 一个大排肉   你看看标签@304?   标签上面有写肉的品种的   没问题，辛苦谢谢??   很好谢谢了   看了标签是三种 大概是五花的不明显[憨笑] 都是瘦肉
1,2022/5/2 14:16-2022/5/2 14:16,2,[点击播放语音]   来了
1,2022/5/2 14:53-2022/5/2 14:57,4,"  1号楼的居民:
  今天继续做抗原哦。
  谢谢大家[抱拳]   好的谢谢了   [玫瑰]   收到[抱拳]"
1,2022/5/2 15:21-2022/5/2 15:21,1,images\[00195]2022-05-02 15-21-46
1,2022/5/2 15:51-2022/5/2 15:51,1,  [抱拳]
1,2022/5/2 16:25-2022/5/2 16:56,8,images\[00196]2022-05-02 16-25-29   [玫瑰] images\[00197]2022-05-02 16-27-30 images\[00198]2022-05-02 16-28-59 images\[00199]2022-05-02 16-35-07 images\[00200]2022-05-02 16-44-26 images\[00201]2022-05-02 16-47-25   [玫瑰]
1,2022/5/2 17:10-2022/5/2 18:01,13,images\[00202]2022-05-02 17-10-29 images\[00203]2022-05-02 17-13-19 images\[00204]2022-05-02 17-18-24 images\[00205]2022-05-02 17-19-14 images\[00206]2022-05-02 17-24-20 images\[00207]2022-05-02 17-27-52 images\[00208]2022-05-02 17-32-21 images\[00209]2022-05-02 17-40-12 images\[00210]2022-05-02 17-47-47   [抱拳]   @毛头?401 室是29号30号1号做的抗原检测[微笑]   我看一下 [点击播放语音]
1,2022/5/2 18:19-2022/5/2 18:21,3,images\[00211]2022-05-02 18-19-57   401   [玫瑰]
1,2022/5/2 19:15-2022/5/2 19:15,1,images\[00212]2022-05-02 19-15-31
1,2022/5/2 23:03-2022/5/2 23:05,4,"  通知：明天上午8:40分左右做核酸（具体视医生情况而定）请大家准备好核酸码或带上身份证，戴好口罩，间隔2米间距，耐心等待，谢谢！   收到谢谢   收到，谢谢[微笑]   1号楼的居民: 
   明天早上大家辛苦一下早点起床[抱拳]
  8点40分左右做核酸[抱拳]"
1,2022/5/3 7:20-2022/5/3 7:21,3,"  ""102阿姨"" 撤回了一条消息   ""102阿姨"" 撤回了一条消息 [点击播放语音]"
1,2022/5/3 8:04-2022/5/3 8:04,1,  收到，谢谢
1,2022/5/3 9:57-2022/5/3 10:03,3,[点击播放语音] [点击播放语音]   好的
1,2022/5/3 13:27-2022/5/3 13:39,9,  @404?你还给我们的十字螺丝刀不对啊，我们的不是红色的，也没那么新，关键对不上螺丝了，今天在拆油烟机才发现[捂脸]   我家里一个螺丝刀都没有[捂脸]   只有借的你们的这一把   这么新吗，感觉是全新的[偷笑]   我问问我老公哦，可能是乌龙[捂脸]   @203?阿姨 小鹿是不是在睡觉~   是呀[憨笑]   她起来了   嗯嗯   破案了，原来家里有两把螺丝刀[捂脸]
1,2022/5/3 13:56-2022/5/3 13:56,2,  @302?蛋糕到啦   来啦
1,2022/5/3 15:54-2022/5/3 16:03,5,[点击播放语音]   好的   来了   来了   来了
1,2022/5/3 19:56-2022/5/3 19:56,1,images\[00213]2022-05-03 19-56-26
1,2022/5/4 9:19-2022/5/4 9:24,2,  山姆套餐到啦 [点击播放语音]
1,2022/5/4 11:21-2022/5/4 11:24,3,images\[00214]2022-05-04 11-21-18   多了两份牛排有需要的吗   跟我吧
1,2022/5/4 14:43-2022/5/4 14:43,1,[点击播放语音]
1,2022/5/4 15:10-2022/5/4 15:16,2,  来了 [点击播放语音]
1,2022/5/4 15:27-2022/5/4 15:27,2,images\[00215]2022-05-04 15-27-10    401
1,2022/5/4 15:39-2022/5/4 15:44,4,images\[00216]2022-05-04 15-39-27   [玫瑰] images\[00217]2022-05-04 15-44-13   [玫瑰]
1,2022/5/4 16:01-2022/5/4 16:21,7,images\[00218]2022-05-04 16-01-19 images\[00219]2022-05-04 16-06-32 images\[00220]2022-05-04 16-08-34 images\[00221]2022-05-04 16-10-39 images\[00222]2022-05-04 16-16-26   [抱拳] images\[00223]2022-05-04 16-21-37
1,2022/5/4 17:07-2022/5/4 17:07,1,images\[00224]2022-05-04 17-07-45
1,2022/5/4 18:39-2022/5/4 18:40,2,images\[00225]2022-05-04 18-39-33   [抱拳]
1,2022/5/4 20:50-2022/5/4 20:50,1,images\[00226]2022-05-04 20-50-12
1,2022/5/4 22:49-2022/5/4 22:54,3,"  ??团购预告??

团购一：
团购内容：静安面包房套餐
团购金额：59元
团购时间：5月5日10:00-13:30
起送份数：60份
配送时间：预计5月7日

团购二：
团购内容：德添蘑菇套餐
团购金额：40元
团购时间：5月5日13:30-15:30
起送份数：50份
配送时间：预计5月8日

团购三：
团购内容：5-6斤蔬菜
团购金额：25元
团购时间：5月5日15:30-17:30
起送份数：200份
配送时间：预计5月8日   ""沈玉华502"" 撤回了一条消息   "
1,2022/5/5 6:57-2022/5/5 6:57,1,  [转发的网页]
1,2022/5/5 10:08-2022/5/5 10:08,1,  [转发的网页]
1,2022/5/5 11:26-2022/5/5 11:33,2,[点击播放语音]   大家 有没有要这个达利园小面包的呀，我们家 太多拉~ 免费送
1,2022/5/5 13:18-2022/5/5 13:47,9,  看来大家现在都不缺物资了[呲牙] [点击播放语音]   @毛头?好的   [转发的网页]   [转发的网页]   [转发的网页]   [转发的网页]   [转发的网页]   [转发的网页]
1,2022/5/5 14:13-2022/5/5 14:19,10,"  ""203"" 撤回了一条消息   想问问大家，刚刚发了物资，还需要团购蔬菜吗？蔬菜是5/8送货的。   可以啊   就问问大家意见，看看蔬菜团购要不要取消或者推迟哈哈   发的只有二种蔬菜，可以团吧   发的菜到8号也差不多吃完了   噢噢好滴～   个人想法，还是按照原来计划团购[抱拳]   就一点青菜，别的不实惠[捂脸]   好的??"
1,2022/5/5 15:17-2022/5/5 15:18,3,images\[00227]2022-05-05 15-17-43   401   [转发的网页]
1,2022/5/5 15:30-2022/5/5 15:44,5,  [转发的网页]   我们考虑团个馄饨皮，大家觉得需要吗？   [转发的网页]   可以的   [转发的网页]
1,2022/5/5 16:47-2022/5/5 17:07,24,  各位邻居，今天团购的这一批蔬菜是5/8配送的噢，下一次蔬菜团购预计5/10开团，5/13配送的哈～大家预估预估一下需求噢[愉快]   比较缺牛奶??  等下次开团买   明天团牛奶、酸奶、橙汁、鸡蛋、鸡   [呲牙]不要急哈   今晚还会开一个馄饨皮   还会开调料团么？蚝油快要用完了～    酸奶橙汁！   调料可能暂时不会团诶，可以外卖软件上看看噢   有馄饨皮没有肉米[流泪]   @304?蚝油我可以支援你   上次海天团购的   没有肉米，就包素馄饨[偷笑]   [转发的网页] images\[00228]2022-05-05 17-01-32   还蛮大的这瓶   有馄饨皮和馅的…   肉糜可以自己拿上次买的肉剁一下呀哈哈哈   [转发的网页]   懒得剁肉米[捂脸] images\[00229]2022-05-05 17-04-11   现在就来好啦@304?   [微信转账，金额：9.50元]   [微信转账，金额：9.50元]   
1,2022/5/5 17:46-2022/5/5 17:47,3,  @毛头?我家有绞肉机，可以借你[呲牙]   @毛头?大妈妈，静安面包房的面包今晚会到噢，当天下单当天做当天送~   好的
1,2022/5/5 18:15-2022/5/5 18:15,2,"  ??团购预告??

团购一
团购内容：老盛兴大馄饨皮1kg
保质期：-18度以下冷冻保存15天
团购金额：16.2元

团购二
团购内容：老盛兴荠菜肉馅1kg
保质期：-18度以下冷冻保存90天
团购金额：76元

团购时间：5月5日18:30-20:30
配送日期：预计5月7日

??注意：

以上团购均为冷冻生食，需加工后食用，冷冻商品容易化冻，介意慎拍！

馄饨皮和馅为不定期团购，大家按需理性购买～   [转发的网页]"
1,2022/5/5 18:32-2022/5/5 18:32,1,  [转发的网页]
1,2022/5/5 18:45-2022/5/5 18:57,5,images\[00230]2022-05-05 18-45-34   @所有人?今晚13号楼阳性病人转运，请大家告知楼里居民不要出来逛啦[叹气][叹气][叹气]   我们很乖的，除了倒垃圾平时不出门[捂脸]@毛头?   是的   [转发的网页]
1,2022/5/5 20:04-2022/5/5 20:04,1,images\[00231]2022-05-05 20-04-46
1,2022/5/5 20:25-2022/5/5 20:25,1,  [转发的网页]
