School_code,AgeID,School_name,Street,Town_suburb,Postcode,Phone,School_Email,Website,Fax,latest_year_enrolment_FTE,Indigenous_pct,LBOTE_pct,ICSEA_value,Level_of_schooling,Selective_school,Opportunity_class,School_specialty_type,School_subtype,Support_classes,Preschool_ind,Distance_education,Intensive_english_centre,School_gender,Late_opening_school,Date_1st_teacher,LGA,electorate_from_2023,electorate_2015_2022,Fed_electorate,Operational_directorate,Principal_network,Operational_directorate_office,Operational_directorate_office_phone,Operational_directorate_office_address,FACS_district,Local_health_district,AECG_region,ASGS_remoteness,Latitude,Longitude,Assets unit,SA4,Date_extracted
2213,46476,Ivanhoe Central School,Columbus St,Ivanhoe ,2878,02 6995 1108,ivanhoe-c.school@det.nsw.edu.au,https://ivanhoe-c.schools.nsw.gov.au,02 6995 1290,25.0,64.0,np,747,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,Y,1889-03-01,Central Darling (A),Barwon,Barwon,Parkes,Rural South and West,Griffith,Griffith,02 6961 8100,"Government Offices, 104-110 Banna Ave, Griffith 2680","Murrumbidgee, Far West & Western NSW",Far West,Western 3,Very Remote Australia,-32.898531,144.300978,North Western NSW,Far West and Orana,2023-08-22
2214,49772,Fernleigh Public School,451 Fernleigh Rd,Fernleigh ,2479,6687 8267,fernleigh-p.school@det.nsw.edu.au,https://fernleigh-p.schools.nsw.gov.au,6687 8570,18.0,np,np,930,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1894-07-01,Ballina (A),Ballina,Ballina,Richmond,Rural North,Lennox Coast,Goonellabah,6623 5900,"610 Ballina Rd, Goonellabah 2480",Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.76765,153.498399,North Coast,Richmond - Tweed,2023-08-22
2218,50045,Jamberoo Public School,Churchill St,Jamberoo ,2533,4236 0173,jamberoo-p.school@det.nsw.edu.au,https://jamberoo-p.schools.nsw.gov.au,4236 0633,137.0,4.0,7.0,1045,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1878-01-01,Kiama (A),Kiama,Kiama,Gilmore,Regional South,Shoalhaven,Warilla,4267 6100,"30 Oldfield St, Warilla 2528",Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Inner Regional Australia,-34.644622,150.773003,Southern NSW,Illawarra,2023-08-22
2223,57437,Jennings Public School,31 Brushabers Road,JENNINGS,4383,07 4684 3273,jennings-p.school@det.nsw.edu.au,https://jennings-p.schools.nsw.gov.au,07 4684 3354,16.0,np,np,890,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1890-04-01,Tenterfield (A),Lismore,Lismore,New England,Rural North,Northern Tablelands,Armidale,6776 4100,"Suites 2 & 3, North Power Building, 175 Rusden St Armidale",Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-28.927243,151.934357,North Western NSW,New England and North West,2023-08-22
2226,50641,Jerilderie Public School,31 Bolton St,Jerilderie ,2716,03 5886 1331,jerilderie-p.school@det.nsw.edu.au,https://jerilderie-p.schools.nsw.gov.au,03 5886 1615,30.0,23.0,np,895,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1869-07-01,Murrumbidgee (A),Murray,Albury,Farrer,Rural South and West,Deniliquin,Deniliquin,03 5898 3700,"Harfleur St, Deniliquin 2710","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 2,Outer Regional Australia,-35.354598,145.728865,Southern NSW,Murray,2023-08-22
2231,49315,Jerrys Plains Public School,Doyle St,Jerrys Plains ,2330,6576 4018,jerrysplan-p.school@det.nsw.edu.au,https://jerrysplan-p.schools.nsw.gov.au,6576 4142,26.0,np,np,900,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1881-01-01,Singleton (A),Upper Hunter,Upper Hunter,Hunter,Regional North and West,Upper Hunter,Maitland,4931 3500,"Level 1, 2 Caroline Pl, Maitland 2320",Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.49723,150.905944,Hunter/Central Coast,Hunter Valley exc Newcastle,2023-08-22
2234,49117,Jesmond Public School,Ralph St,Jesmond ,2299,4957 2605,jesmond-p.school@det.nsw.edu.au,https://jesmond-p.schools.nsw.gov.au,4956 2451,192.0,14.0,70.0,927,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1887-03-01,Newcastle (C),Wallsend,Wallsend,Newcastle,Regional North,Callaghan,Newcastle,4924 9900,"Level 1, 117 Bull St, Newcastle 2300",Hunter New England & Central Coast,Hunter New England,Hunter,Major Cities of Australia,-32.903841,151.695427,Hunter/Central Coast,Newcastle and Lake Macquarie,2023-08-22
2235,49807,Jiggi Public School,Jiggi-Nimbin Rd,Jiggi ,2480,6688 8221,jiggi-p.school@det.nsw.edu.au,https://jiggi-p.schools.nsw.gov.au,6688 8360,28.0,np,np,1020,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1885-05-01,Lismore (C),Lismore,Lismore,Page,Rural North,Richmond,Goonellabah,6623 5900,"610 Ballina Rd, Goonellabah 2480",Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.677986,153.181368,North Coast,Richmond - Tweed,2023-08-22
2236,48709,Jilliby Public School,Jilliby Rd,Wyong ,2259,4355 1240,jilliby-p.school@det.nsw.edu.au,https://jilliby-p.schools.nsw.gov.au,4355 1401,53.0,25.0,np,919,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1889-05-01,Central Coast (C),Wyong,Wyong,Dobell,Regional North,Central Coast,Tuggerah,4348 9100,"14 Pioneer Ave, Tuggerah 2259",Hunter New England & Central Coast,Central Coast,Central Coast,Inner Regional Australia,-33.239937,151.380052,Hunter/Central Coast,Central Coast,2023-08-22
2237,50423,Jindabyne Central School,Park Rd,Jindabyne ,2627,6456 2346,jindabyne-c.school@det.nsw.edu.au,https://jindabyne-c.schools.nsw.gov.au,6456 1082,680.0,3.0,7.0,1022,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,N,1884-02-01,Snowy Monaro Regional (A),Monaro,Monaro,Eden-Monaro,Rural South and West,Eden-Monaro,Queanbeyan,02 6200 5000,"Level 1, City Link Plaza, 24-36 Morisset St, Queanbeyan 2620",Illawarra Shoalhaven & Southern NSW,Southern NSW,Lower South Coast,Outer Regional Australia,-36.416703,148.618901,Southern NSW,Capital Region,2023-08-22
2239,50454,Jindera Public School,Dight Street,Jindera ,2642,6026 3280,jindera-p.school@det.nsw.edu.au,https://jindera-p.schools.nsw.gov.au,6026 3642,164.0,8.0,np,980,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1876-09-01,Greater Hume Shire (A),Albury,Albury,Farrer,Rural South and West,Albury,Albury,02 6051 4300,"521 Macauley St, Albury 2640","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,-35.959036,146.886741,Southern NSW,Murray,2023-08-22
2245,50663,Jugiong Public School,Flyde St,Jugiong,2726,6945 4210,jugiong-p.school@det.nsw.edu.au,https://jugiong-p.schools.nsw.gov.au,6945 4388,18.0,0.0,0.0,1017,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1883-01-01,Hilltops (A),Cootamundra,Cootamundra,Riverina,Rural South and West,Gundagai,Wagga Wagga,02 6937 3800,"Level 4, 76 Morgan St, Wagga Wagga 2650","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Outer Regional Australia,-34.820203,148.335447,Southern NSW,Capital Region,2023-08-22
2246,49101,The Junction Public School,Union St,Merewether ,2291,4963 1343,thejunctio-p.school@det.nsw.edu.au,https://thejunctio-p.schools.nsw.gov.au,4963 3501,507.0,5.0,16.0,1120,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1872-05-01,Newcastle (C),Newcastle,Newcastle,Newcastle,Regional North,Newcastle,Newcastle,4924 9900,"Level 1, 117 Bull St, Newcastle 2300",Hunter New England & Central Coast,Hunter New England,Hunter,Major Cities of Australia,-32.939964,151.758644,Hunter/Central Coast,Newcastle and Lake Macquarie,2023-08-22
2247,50518,Junee Public School,116 Lorne St,Junee,2663,6924 1902,junee-p.school@det.nsw.edu.au,https://junee-p.schools.nsw.gov.au,6924 2540,103.0,26.0,np,893,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1880-03-01,Junee (A),Cootamundra,Cootamundra,Riverina,Rural South and West,Gundagai,Wagga Wagga,02 6937 3800,"Level 4, 76 Morgan St, Wagga Wagga 2650","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,-34.873488,147.584901,Southern NSW,Riverina,2023-08-22
2248,50517,Junee North Public School,Queen St,Junee ,2663,69241839,juneenorth-p.school@det.nsw.edu.au,https://juneenorth-p.schools.nsw.gov.au,69241794,128.0,15.0,np,935,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1922-09-01,Junee (A),Cootamundra,Cootamundra,Riverina,Rural South and West,Gundagai,Wagga Wagga,02 6937 3800,"Level 4, 76 Morgan St, Wagga Wagga 2650","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,-34.855049,147.585376,Southern NSW,Riverina,2023-08-22
2254,51070,Kandos Public School,23-37 Dangar Street,Kandos,2848,6379 4201,kandos-p.school@det.nsw.edu.au,https://kandos-p.schools.nsw.gov.au,6379 4807,138.0,26.0,np,867,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1874-11-01,Mid-Western Regional (A),Bathurst,Bathurst,Calare,Regional North and West,Lithgow,Bathurst,02 6334 8200,"Cnr George and Rocket St, Bathurst 2795","Murrumbidgee, Far West & Western NSW",Western NSW,North Western 1,Inner Regional Australia,-32.856242,149.974813,North Western NSW,Central West,2023-08-22
2255,50242,Kangaloon Public School,Robertson St,Kangaloon ,2576,4888 2215,kangaloon-p.school@det.nsw.edu.au,https://kangaloon-p.schools.nsw.gov.au,4888 2372,22.0,0.0,np,1031,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1869-01-01,Wingecarribee (A),Goulburn,Goulburn,Whitlam,Regional South,Wollondilly,Wollongong,4247 1007,"Block H, Level 2, 84 Crown Street, Wollongong 2500",South Western Sydney,South Western Sydney,Upper South Coast,Inner Regional Australia,-34.552607,150.529555,Southern NSW,Southern Highlands and Shoalhaven,2023-08-22
2256,50246,Kangaroo Valley Public School,Moss Vale-Nowra Rd,Kangaroo Valley ,2577,4465 1182,kangaroova-p.school@det.nsw.edu.au,https://kangaroova-p.schools.nsw.gov.au,4465 1207,77.0,np,11.0,1078,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1871-01-01,Shoalhaven (C),Kiama,Kiama,Gilmore,Regional South,Shoalhaven,Warilla,4267 6100,"30 Oldfield St, Warilla 2528",Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Inner Regional Australia,-34.73652,150.531996,Southern NSW,Southern Highlands and Shoalhaven,2023-08-22
2259,48710,Kanwal Public School,Craigie Ave,Kanwal ,2259,4392 3477,kanwal-p.school@det.nsw.edu.au,https://kanwal-p.schools.nsw.gov.au,4393 1621,554.0,17.0,10.0,936,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1911-04-01,Central Coast (C),Wyong,Wyong,Dobell,Regional North,Tuggerah Lakes,Tuggerah,4348 9100,"14 Pioneer Ave, Tuggerah 2259",Hunter New England & Central Coast,Central Coast,Central Coast,Major Cities of Australia,-33.262456,151.484884,Hunter/Central Coast,Central Coast,2023-08-22
2260,49658,Karangi Public School,Coffs Harbour-Coramba Rd,Karangi ,2450,6653 8284,karangi-p.school@det.nsw.edu.au,https://karangi-p.schools.nsw.gov.au,6653 8478,56.0,20.0,11.0,971,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1892-04-01,Coffs Harbour (C),Coffs Harbour,Coffs Harbour,Page,Regional North and West,Coffs Harbour,Coffs Harbour,6656 6666,"Level 2 (West Wing), Rigby House, 27-29 Duke St, Coffs Harbour 2450",Mid North Coast & Northern NSW,Mid North Coast,Lower North Coast,Inner Regional Australia,-30.252411,153.047767,North Coast,Coffs Harbour - Grafton,2023-08-22
2263,49197,Karuah Public School,18 Bundabah St,Karuah ,2324,4997 5341,karuah-p.school@det.nsw.edu.au,https://karuah-p.schools.nsw.gov.au,4997 5679,141.0,39.0,6.0,880,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1884-05-01,Port Stephens (A),Port Stephens,Port Stephens,Lyne,Regional North,Port Stephens,Newcastle,4924 9900,"Level 1, 117 Bull St, Newcastle 2300",Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.654344,151.966595,Hunter/Central Coast,Hunter Valley exc Newcastle,2023-08-22
2267,49287,Kearsley Public School,130 Caledonia Street,KEARSLEY,2325,4990 1705,kearsley-p.school@det.nsw.edu.au,https://kearsley-p.schools.nsw.gov.au,4991 1018,106.0,17.0,np,914,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1912-02-01,Cessnock (C),Cessnock,Cessnock,Hunter,Regional North,Cessnock,Maitland,4931 3500,"Level 1, 2 Caroline Pl, Maitland 2320",Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.857249,151.395921,Hunter/Central Coast,Hunter Valley exc Newcastle,2023-08-22
2270,47585,Kegworth Public School,60 Tebbutt St,Leichhardt ,2040,9569 7320,kegworth-p.school@det.nsw.edu.au,https://kegworth-p.schools.nsw.gov.au,9560 6949,334.0,2.0,31.0,1132,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Y,N,N,Coed,N,1887-09-01,Inner West (A),Balmain,Balmain,Grayndler,Metropolitan South,Iron Cove,St Peters,9582 5800,"Church St, St Peters 2044","South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.886514,151.14693,Sydney,Sydney - Inner West,2023-08-22
2271,49940,Keiraville Public School,Gipps Rd,Keiraville ,2500,4229 4117,keiraville-p.school@det.nsw.edu.au,https://keiraville-p.schools.nsw.gov.au,4226 5084,278.0,2.0,39.0,1089,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1891-09-01,Wollongong (C),Keira,Keira,Cunningham,Regional South,Wollongong,Wollongong,4247 1007,"Block H, Level 2, 84 Crown Street, Wollongong 2500",Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Major Cities of Australia,-34.414114,150.873364,Southern NSW,Illawarra,2023-08-22
2273,49377,Kellys Plains Public School,45-47 Kelly's Plains School Rd,Armidale,2350,026775 1253,kellysplan-p.school@det.nsw.edu.au,https://kellysplan-p.schools.nsw.gov.au,026775 1365,26.0,np,np,1036,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1863-12-01,Armidale Regional (A),Northern Tablelands,Northern Tablelands,New England,Rural North,Armidale,Armidale,6776 4100,"Suites 2 & 3, North Power Building, 175 Rusden St Armidale",Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-30.571911,151.636504,North Western NSW,New England and North West,2023-08-22
2274,47858,Kellyville Public School,35A Windsor Road,KELLYVILLE,2155,9629 1279,kellyville-p.school@det.nsw.edu.au,https://kellyville-p.schools.nsw.gov.au,9629 3924,842.0,np,62.0,1120,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1873-11-01,The Hills Shire (A),Kellyville,Castle Hill,Mitchell,Metropolitan North,The Ponds,Nirimba,9208 7611,"Building T3C, Nirimba Education Precinct, Eastern Rd, Quakers Hill 2763",Western Sydney & Nepean Blue Mountains,Western Sydney,Metropolitan West,Major Cities of Australia,-33.711052,150.957887,Western Sydney,Sydney - Baulkham Hills and Hawkesbury,2023-08-22
2275,50980,Kelso Public School,19 Gilmour Street,Kelso ,2795,6331 1577,kelso-p.school@det.nsw.edu.au,https://kelso-p.schools.nsw.gov.au,6332 1983,347.0,33.0,5.0,868,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1865-10-01,Bathurst Regional (A),Bathurst,Bathurst,Calare,Regional North and West,Bathurst,Bathurst,02 6334 8200,"Cnr George and Rocket St, Bathurst 2795","Murrumbidgee, Far West & Western NSW",Western NSW,Western 1,Inner Regional Australia,-33.416969,149.605156,North Western NSW,Central West,2023-08-22
2278,49621,Kempsey East Public School,Innes St,Kempsey ,2440,6562 4927,kempseyest-p.school@det.nsw.edu.au,https://kempseyest-p.schools.nsw.gov.au,6562 8979,206.0,33.0,5.0,893,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1881-10-01,Kempsey (A),Oxley,Oxley,Cowper,Regional North and West,Macleay Valley,Port Macquarie,6586 6900,"Findlay Ave, Port Macquarie 2444",Mid North Coast & Northern NSW,Mid North Coast,Lower North Coast,Inner Regional Australia,-31.083703,152.846861,North Coast,Mid North Coast,2023-08-22
2279,49623,Kempsey West Public School,23 Marsh Street,WEST KEMPSEY,2440,6562 7044,kempseywst-p.school@det.nsw.edu.au,https://kempseywst-p.schools.nsw.gov.au,6562 6538,454.0,56.0,4.0,799,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1860-10-01,Kempsey (A),Oxley,Oxley,Cowper,Connected Communities,Connected Communities Team 2,Batemans Bay,4475 3333Â,"30B Orient St, Batemans Bay 2536",Mid North Coast & Northern NSW,Mid North Coast,Lower North Coast,Inner Regional Australia,-31.078377,152.8301,North Coast,Mid North Coast,2023-08-22
2280,57869,Kendall Public School,Logans Crossing Rd,Kendall ,2439,6559 0040,kendall-p.school@det.nsw.edu.au,https://kendall-p.schools.nsw.gov.au,6559 0071,226.0,13.0,5.0,956,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1874-11-01,Port Macquarie-Hastings (A),Port Macquarie,Port Macquarie,Lyne,Regional North and West,Hastings,Port Macquarie,6586 6900,"Findlay Ave, Port Macquarie 2444",Mid North Coast & Northern NSW,Mid North Coast,Manning,Inner Regional Australia,-31.627392,152.702756,North Coast,Mid North Coast,2023-08-22
2283,45335,Kensington Public School,77-79 Doncaster Avenue,KENSINGTON,2033,9663 3955,kensington-p.school@det.nsw.edu.au,https://kensington-p.schools.nsw.gov.au,9662 1382,424.0,np,70.0,1124,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1900-01-01,Randwick (C),Coogee,Heffron,Kingsford Smith,Metropolitan South,Bondi,St Peters,9582 5800,"Church St, St Peters 2044","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.909604,151.224965,Sydney,Sydney - Eastern Suburbs,2023-08-22
2284,47868,Kenthurst Public School,111 Kenthurst Road,KENTHURST,2156,9654 1173,kenthurst-p.school@det.nsw.edu.au,https://kenthurst-p.schools.nsw.gov.au,9654 2586,208.0,0.0,21.0,1055,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1883-09-01,The Hills Shire (A),Castle Hill,Castle Hill,Berowra,Regional North,Windsor,Nirimba,9208 7611,"Building T3C, Nirimba Education Precinct, Eastern Rd, Quakers Hill 2763",Western Sydney & Nepean Blue Mountains,Western Sydney,Metropolitan North,Major Cities of Australia,-33.665603,151.004575,Northern Sydney,Sydney - Baulkham Hills and Hawkesbury,2023-08-22
2285,50207,Kentlyn Public School,Georges River Rd,Campbelltown ,2560,4628 2455,kentlyn-p.school@det.nsw.edu.au,https://kentlyn-p.schools.nsw.gov.au,4628 4365,106.0,9.0,39.0,977,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1937-05-01,Campbelltown (C),Campbelltown,Campbelltown,Macarthur,Regional South,Campbelltown,Campbelltown,4633 2700,"Cnr Lindesay & Lithgow Streets, Campelltown 2560",South Western Sydney,South Western Sydney,Dharawal,Major Cities of Australia,-34.073132,150.858576,South Western Sydney,Sydney - Outer South West,2023-08-22
2286,49386,Kentucky Public School,Noalimba Ave,Kentucky ,2354,6778 7227,kentucky-p.school@det.nsw.edu.au,https://kentucky-p.schools.nsw.gov.au,6778 7208,23.0,np,0.0,991,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1868-07-01,Uralla (A),Northern Tablelands,Northern Tablelands,New England,Rural North,Armidale,Armidale,6776 4100,"Suites 2 & 3, North Power Building, 175 Rusden St Armidale",Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-30.759618,151.449162,North Western NSW,New England and North West,2023-08-22
2293,50048,Kiama Public School,67 Bong Bong Street,KIAMA,2533,4232 1471,kiama-p.school@det.nsw.edu.au,https://kiama-p.schools.nsw.gov.au,4233 1438,452.0,3.0,15.0,1062,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1861-05-01,Kiama (A),Kiama,Kiama,Gilmore,Regional South,Shoalhaven,Warilla,4267 6100,"30 Oldfield St, Warilla 2528",Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Inner Regional Australia,-34.669659,150.850567,Southern NSW,Illawarra,2023-08-22
2303,49624,Kinchela Public School,5 Right Bank Rd,Kinchela ,2440,6567 4828,kinchela-p.school@det.nsw.edu.au,https://kinchela-p.schools.nsw.gov.au,6567 4689,7.0,np,0.0,915,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1881-07-01,Kempsey (A),Oxley,Oxley,Cowper,Regional North and West,Macleay Valley,Port Macquarie,6586 6900,"Findlay Ave, Port Macquarie 2444",Mid North Coast & Northern NSW,Mid North Coast,Lower North Coast,Outer Regional Australia,-30.991064,152.995063,North Coast,Mid North Coast,2023-08-22
2304,48681,Kincumber Public School,Avoca Drive,Kincumber ,2251,4369 1544,kincumber-p.school@det.nsw.edu.au,https://kincumber-p.schools.nsw.gov.au,4369 2963,371.0,12.0,12.0,1002,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1870-04-01,Central Coast (C),Terrigal,Terrigal,Robertson,Regional North,Brisbane Water,Tuggerah,4348 9100,"14 Pioneer Ave, Tuggerah 2259",Hunter New England & Central Coast,Central Coast,Central Coast,Major Cities of Australia,-33.468184,151.394355,Hunter/Central Coast,Central Coast,2023-08-22
2307,48598,Kingsgrove Public School,Kingsgrove Rd,Kingsgrove ,2208,9150 9097,kingsgrove-p.school@det.nsw.edu.au,https://kingsgrove-p.schools.nsw.gov.au,9554 3776,376.0,np,78.0,1014,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1918-05-01,Georges River (A),Kogarah,Kogarah,Barton,Metropolitan South,Beverly Hills,Riverwood,9408 8900,"Union St, Riverwood 2210","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.947822,151.10156,Sydney,Sydney - Inner South West,2023-08-22
2308,48592,Bexley North Public School,116 Kingsland Rd,Bexley ,2207,9150 6171,bexleynth-p.school@det.nsw.edu.au,https://bexleynth-p.schools.nsw.gov.au,9554 3514,431.0,2.0,71.0,1083,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1924-11-01,Bayside (A),Rockdale,Rockdale,Barton,Metropolitan South,Beverly Hills,Riverwood,9408 8900,"Union St, Riverwood 2210","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.940838,151.120374,Sydney,Sydney - Inner South West,2023-08-22
2310,49393,Kingstown Public School,4301 Kingstown Road,KINGSTOWN,2358,6778 9131,kingstown-p.school@det.nsw.edu.au,https://kingstown-p.schools.nsw.gov.au,6778 9122,11.0,np,0.0,915,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1896-08-01,Uralla (A),Northern Tablelands,Northern Tablelands,New England,Rural North,Namoi,Moree,6757 3000,"66-68 Frome St, Moree 2400",Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-30.506681,151.116405,North Western NSW,New England and North West,2023-08-22
2312,45849,Kingswood Public School,Second Ave,Kingswood ,2747,4736 4028,kingswood-p.school@det.nsw.edu.au,https://kingswood-p.schools.nsw.gov.au,4736 6012,554.0,7.0,76.0,1061,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1892-09-01,Penrith (C),Penrith,Penrith,Lindsay,Metropolitan North,Cambridge Park,Nirimba,9208 7611,"Building T3C, Nirimba Education Precinct, Eastern Rd, Quakers Hill 2763",Western Sydney & Nepean Blue Mountains,Nepean Blue Mountains,Metropolitan West,Major Cities of Australia,-33.765884,150.726509,Western Sydney,Sydney - Outer West and Blue Mountains,2023-08-22
2314,49332,Kirkton Public School,797 Standen Drive,BELFORD,2335,6574 7152,kirkton-p.school@det.nsw.edu.au,https://kirkton-p.schools.nsw.gov.au,6574 7227,28.0,np,np,941,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1882-02-01,Singleton (A),Upper Hunter,Upper Hunter,Hunter,Regional North and West,Maitland,Maitland,4931 3500,"Level 1, 2 Caroline Pl, Maitland 2320",Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.609773,151.290092,Hunter/Central Coast,Hunter Valley exc Newcastle,2023-08-22
2315,49288,Kitchener Public School,38 Richmond Street,KITCHENER,2325,4990 2974,kitchener-p.school@det.nsw.edu.au,https://kitchener-p.schools.nsw.gov.au,4991 1875,113.0,15.0,np,924,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1917-01-01,Cessnock (C),Cessnock,Cessnock,Hunter,Regional North,Cessnock,Maitland,4931 3500,"Level 1, 2 Caroline Pl, Maitland 2320",Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.87782,151.369977,Hunter/Central Coast,Hunter Valley exc Newcastle,2023-08-22
2319,48625,Kogarah Public School,Gladstone St,Kogarah ,2217,9587 9472,kogarah-p.school@det.nsw.edu.au,https://kogarah-p.schools.nsw.gov.au,9553 8306,478.0,0.0,93.0,1100,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1870-07-01,Georges River (A),Kogarah,Kogarah,Barton,Metropolitan South,Kogarah,Arncliffe,9582 2800,"Cnr Segenhoe & Avenal St, Arncliffe 2205","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.962028,151.136618,Sydney,Sydney - Inner South West,2023-08-22
2326,51022,Koorawatha Public School,Crowther Street,KOORAWATHA,2807,6345 3414,koorawatha-p.school@det.nsw.edu.au,https://koorawatha-p.schools.nsw.gov.au,6345 3458,6.0,np,0.0,795,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1884-03-01,Hilltops (A),Cootamundra,Cootamundra,Riverina,Rural South and West,Cowra,Orange,02 6392 8400,"Level 1, 60-62 McNamara Lane, Orange 2800","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Western 1,Outer Regional Australia,-34.034936,148.559705,North Western NSW,Capital Region,2023-08-22
