区域,区域.1,房屋,链接,参考总价,参考单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房协编码
福田区,皇岗,福田区海滨广场 集华花园3室2厅,https://sz.lianjia.com/ershoufang/105105294112.html,589万,50000元/平米,集华花园,3室2厅1厨2卫,低楼层 (共20层),117.67㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,两梯六户,有,2020/9/10,商品房,2008/4/22,普通住宅,满五年,非共有,有抵押 300万元 建设银行 金融公司垫资,已上传房本照片,2.11E+11
福田区,皇岗,安静小区  高层两房   诚心出售,https://sz.lianjia.com/ershoufang/105105445780.html,426万,76900元/平米,高发城驰苑,2室1厅1厨1卫,高楼层 (共32层),55.34㎡,平层,42.65㎡,塔楼,南,钢混结构,精装,三梯十二户,有,2020/10/1,商品房,2019/4/29,普通住宅,满两年,非共有,有抵押 250万元 不清楚 客户偿还,已上传房本照片,U207353917193
福田区,皇岗,业主诚心卖，此房满五唯一红本在手，客厅出阳台,https://sz.lianjia.com/ershoufang/105107044104.html,449万,49600元/平米,国皇大厦,2室1厅1厨1卫,中楼层 (共32层),90.49㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,三梯七户,有,2021/4/18,商品房,2003/5/23,普通住宅,满五年,非共有,无抵押,已上传房本照片,U213276956936
福田区,皇岗,皇御苑二期 2室2厅 南,https://sz.lianjia.com/ershoufang/105107493648.html,498万,71100元/平米,皇御苑二期,2室2厅1厨1卫,中楼层 (共30层),69.94㎡,暂无数据,56.7㎡,板塔结合,南,钢混结构,其他,三梯八户,有,2021/6/1,商品房,2016/10/18,普通住宅,满两年,非共有,暂无数据,已上传房本照片,U212500418578
福田区,皇岗,河套开发区，双口岸物业，双阳台两房，CBD景观,https://sz.lianjia.com/ershoufang/105107476516.html,454万,71100元/平米,皇御苑二期,2室2厅1厨1卫,高楼层 (共30层),63.84㎡,平层,51.75㎡,板塔结合,北,钢混结构,其他,三梯八户,有,2021/5/30,商品房,2016/10/27,普通住宅,满两年,非共有,有抵押 200万元 中国 客户偿还,已上传房本照片,2.15E+11
福田区,皇岗,高发城驰，标准精装两房，高层采光视野好,https://sz.lianjia.com/ershoufang/105104351905.html,453万,76900元/平米,高发城驰苑,2室1厅1厨1卫,中楼层 (共32层),58.81㎡,暂无数据,45.3㎡,塔楼,北,钢混结构,精装,三梯十二户,有,2020/5/15,商品房,2020/5/15,普通住宅,未满两年,非共有,无抵押,已上传房本照片,2.02E+11
福田区,黄木岗,笔架山脚下，空气清新小区，房子精装修，户型方正,https://sz.lianjia.com/ershoufang/105106749660.html,824万,65200元/平米,依山居,3室2厅1厨2卫,中楼层 (共13层),126.31㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,一梯三户,有,2021/3/24,商品房,2010/4/14,普通住宅,满五年,非共有,有抵押 80万元 惠州农业银行 业主自还,已上传房本照片,2.15E+11
福田区,黄木岗,山脚下的别墅，住家安静，舒适，享受大自然的和谐,https://sz.lianjia.com/ershoufang/105104129714.html,1816万,90000元/平米,阳明山庄,5室2厅1厨3卫,中楼层 (共12层),201.73㎡,复式,暂无数据,板塔结合,南 北,钢混结构,简装,两梯两户,有,2020/4/18,商品房,2007/7/6,普通住宅,满五年,非共有,有抵押 950万元 招商银行罗湖支行 客户偿还,已上传房本照片,U209764662324
福田区,黄木岗,黄木岗  靠笔架山  板楼一梯两户  安静大三房,https://sz.lianjia.com/ershoufang/105106868349.html,637万,65200元/平米,依山居,3室2厅1厨2卫,中楼层 (共12层),97.62㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,一梯两户,有,2021/4/2,商品房,2006/5/30,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.15E+11
福田区,黄木岗,依山居总价* 低单价* 低  看房方便,https://sz.lianjia.com/ershoufang/105101244446.html,924万,65200元/平米,依山居,4室1厅1厨2卫,低楼层 (共13层),141.67㎡,平层,暂无数据,塔楼,西北,钢混结构,精装,一梯三户,有,2018/3/5,商品房,2015/1/29,普通住宅,满五年,非共有,无抵押,已上传房本照片,U187656188429
福田区,黄木岗,天然氧吧笔架山公园 大型复式 满五年,https://sz.lianjia.com/ershoufang/105106158734.html,2039万,90000元/平米,阳明山庄,4室1厅1厨3卫,低楼层 (共12层),226.46㎡,复式,暂无数据,板塔结合,东南,钢混结构,其他,一梯两户,无,2021/1/1,商品房,2015/3/25,普通住宅,满五年,非共有,有抵押 客户偿还,已上传房本照片,U217696947631
福田区,黄木岗,阳明山庄复式多个房间，满五年，红本，精装修。,https://sz.lianjia.com/ershoufang/105104171867.html,1818万,90000元/平米,阳明山庄,5室2厅1厨3卫,低楼层 (共12层),201.94㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,无,2020/4/23,商品房,1997/4/1,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.12E+11
福田区,黄木岗,依山居户型方正，使用率高。精装修，业主诚心出售,https://sz.lianjia.com/ershoufang/105105105471.html,902万,65200元/平米,依山居,3室2厅1厨1卫,中楼层 (共12层),138.29㎡,平层,暂无数据,塔楼,南,钢混结构,其他,一梯两户,有,2020/8/17,商品房,2006/4/29,普通住宅,满五年,非共有,有抵押,已上传房本照片,2.02E+11
福田区,黄木岗,笔架山庄自然位置三房 诚心卖 方便看房,https://sz.lianjia.com/ershoufang/105105388942.html,639万,65200元/平米,依山居,3室1厅1厨2卫,中楼层 (共11层),97.87㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,一梯两户,有,2020/9/23,商品房,2001/9/28,普通住宅,满五年,非共有,有抵押 200万元 平安银行,已上传房本照片,2.01E+11
福田区,黄木岗,满五，公司产权但是各付各的税费。去那里找这样的？,https://sz.lianjia.com/ershoufang/105106624299.html,400万,52400元/平米,银华大厦,2室1厅1厨1卫,中楼层 (共24层),76.21㎡,平层,暂无数据,板塔结合,西北,钢混结构,精装,四梯七户,有,2021/3/12,商品房,2011/10/18,普通住宅,满五年,非共有,无抵押,已上传房本照片,1.91E+11
福田区,黄木岗,户型方正，使用率高。精装修，业主诚心出售,https://sz.lianjia.com/ershoufang/105102356172.html,902万,65200元/平米,依山居,3室2厅1厨2卫,低楼层 (共12层),138.29㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,一梯两户,有,2019/5/8,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 450万元 客户偿还,未上传房本照片,U202736107267
福田区,黄木岗,笔架山脚下 跃式洋房    带车位    满五年唯一,https://sz.lianjia.com/ershoufang/105105385296.html,1816万,90000元/平米,阳明山庄,5室2厅1厨3卫,中楼层 (共12层),201.73㎡,错层,暂无数据,板塔结合,东南,钢混结构,精装,两梯两户,有,2020/9/22,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,2.00E+11
福田区,黄木岗,此房，满五年唯一，红本在手，交易方便,https://sz.lianjia.com/ershoufang/105106637138.html,437万,52400元/平米,银华大厦,2室1厅1厨1卫,中楼层 (共24层),83.26㎡,平层,63.83㎡,板塔结合,东,钢混结构,简装,四梯五户,有,2021/3/13,商品房,2020/9/18,普通住宅,未满两年,非共有,无抵押,已上传房本照片,2.13E+11
福田区,黄木岗,笔架山银华大厦 中间楼层 南向两房 生活方便,https://sz.lianjia.com/ershoufang/105105667990.html,362万,52400元/平米,银华大厦,2室1厅1厨1卫,中楼层 (共24层),68.97㎡,平层,52.87㎡,板塔结合,南,钢混结构,简装,四梯五户,有,2020/10/31,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,U205217160013
福田区,华强北,业主诚卖，空置有钥匙看房，红本满五，荔园红岭无锁定,https://sz.lianjia.com/ershoufang/105106695682.html,751万,98500元/平米,玮鹏花园,2室1厅1厨1卫,中楼层 (共33层),76.19㎡,平层,暂无数据,塔楼,北,钢混结构,简装,三梯八户,有,2021/3/19,商品房,2005/8/3,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.15E+11
福田区,华强北,通新岭 3室1厅 南,https://sz.lianjia.com/ershoufang/105107340208.html,811万,98300元/平米,通新岭,3室1厅1厨1卫,中楼层 (共7层),82.5㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021/5/17,商品房,2011/5/24,普通住宅,满五年,非共有,有抵押 81万元 中国银行,已上传房本照片,3000655758
福田区,华强北,业主诚心卖 采光通风好 房子空置状态 看房随时方便,https://sz.lianjia.com/ershoufang/105107254440.html,509万,103400元/平米,君悦阁,1室1厅0厨1卫,高楼层 (共26层),49.15㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,三梯十六户,有,2021/5/7,商品房,2018/4/9,公寓,满两年,非共有,有抵押 230万元,已上传房本照片,U204083345351
福田区,华强北,桑达雅苑108平放卖  满五年  学*无占用  看房方便,https://sz.lianjia.com/ershoufang/105107153653.html,1008万,92900元/平米,桑达雅苑,3室1厅1厨2卫,中楼层 (共25层),108.41㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,四梯十四户,有,2021/4/27,商品房,2005/3/11,普通住宅,满五年,非共有,无抵押,已上传房本照片,u216318546070
福田区,华强北,业主空置放卖，看房随时方便，税费少，可租7千,https://sz.lianjia.com/ershoufang/105106938728.html,433万,100000元/平米,宝树台,1室0厅1厨1卫,高楼层 (共26层),43.3㎡,平层,30.08㎡,塔楼,东,钢混结构,简装,四梯二十户,有,2021/4/9,商品房,2013/3/4,商业办公类,满五年,非共有,无抵押,已上传房本照片,U217927282181
福田区,华强北,金茂礼都   A类积分   朝南   红本在手  满五年,https://sz.lianjia.com/ershoufang/105107297308.html,462万,125200元/平米,金茂礼都,1室0厅0厨0卫,中楼层 (共27层),36.84㎡,平层,暂无数据,塔楼,南,钢混结构,简装,三梯十四户,有,2021/5/12,商品房,2015/6/3,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.16E+11
福田区,华强北,房子诚心出售，满五唯一，南北通透，采光好,https://sz.lianjia.com/ershoufang/105107339266.html,691万,73400元/平米,华新村东区,3室2厅1厨1卫,高楼层 (共7层),94.08㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,无,2021/5/16,商品房,2021/5/17,普通住宅,未满两年,非共有,无抵押,已上传房本照片,U215041165651
福田区,华强北,宝树台，新楼盘采光好，社区大交通方便,https://sz.lianjia.com/ershoufang/105107174677.html,954万,100000元/平米,宝树台,3室1厅1厨1卫,低楼层 (共28层),95.36㎡,平层,72.3㎡,塔楼,东南 南,钢混结构,精装,两梯四户,有,2021/4/29,商品房,2012/12/5,普通住宅,满五年,共有,无抵押,已上传房本照片,1.05E+11
福田区,华强北,业主诚卖 满五唯一   老旧物业,https://sz.lianjia.com/ershoufang/105106609043.html,683万,73400元/平米,华新村东区,3室1厅1厨1卫,高楼层 (共8层),92.99㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021/3/11,商品房,2010/4/28,普通住宅,满五年,共有,有抵押 600万元 北京银行股份有限公司深圳分行,已上传房本照片,2.14E+11
福田区,华强北,待改 满五年红本在手 ，过户快价格可谈,https://sz.lianjia.com/ershoufang/105107087736.html,749万,100000元/平米,红荔村,3室2厅1厨1卫,高楼层 (共7层),74.89㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2021/4/21,商品房,2003/8/28,普通住宅,满五年,共有,无抵押,已上传房本照片,2.16E+11
福田区,华强北,此房红本在手，机关二幼，荔园南+红岭，业主诚卖,https://sz.lianjia.com/ershoufang/105107173797.html,754万,85000元/平米,报社大院,3室2厅1厨1卫,高楼层 (共7层),88.59㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯四户,无,2021/4/29,商品房,2010/7/22,普通住宅,满五年,非共有,无抵押,已上传房本照片,U213890889024
福田区,华强北,宝树台 红本无欠款，税费低，精装修。,https://sz.lianjia.com/ershoufang/105102962030.html,433万,100000元/平米,宝树台,1室1厅1厨1卫,中楼层 (共26层),43.3㎡,平层,30.08㎡,塔楼,东,钢混结构,精装,四梯二十户,有,2019/9/3,商品房,2018/3/19,商务公寓,满两年,非共有,无抵押,已上传房本照片,2.14E+11
福田区,华强北,啥也不说了，这个小区里有娃去年上清华,https://sz.lianjia.com/ershoufang/105106875647.html,333万,91700元/平米,阁林网苑,1室1厅0厨0卫,低楼层 (共19层),36.3㎡,平层,暂无数据,塔楼,北,钢混结构,简装,三梯二十六户,有,2021/4/2,商品房,2007/11/16,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.17E+11
福田区,华强北,业主诚心卖 满五年无占用  使用率高 稳定收租,https://sz.lianjia.com/ershoufang/105107119127.html,506万,88900元/平米,都会100,1室1厅1厨1卫,中楼层 (共31层),56.85㎡,平层,暂无数据,塔楼,东,钢混结构,简装,四梯二十四户,有,2021/4/24,商品房,2015/4/3,普通住宅,满五年,非共有,有抵押 120万元 中国银行 客户偿还,已上传房本照片,2.12E+11
福田区,华强北,好房不等人 桑达大厦精装修 小户型  此房业主诚卖,https://sz.lianjia.com/ershoufang/105106102610.html,299万,90300元/平米,桑达大厦,1室0厅0厨1卫,中楼层 (共27层),33.07㎡,平层,暂无数据,塔楼,南,钢混结构,简装,六梯十九户,有,2020/12/24,商品房,2018/10/24,普通住宅,满两年,非共有,有抵押 125万元 北京银行 客户偿还,已上传房本照片,U203197683898
福田区,华强北,此房业主诚心卖，双地铁物业， 红本满五唯一,https://sz.lianjia.com/ershoufang/105106645957.html,353万,74400元/平米,东方时代广场,2室1厅1厨1卫,高楼层 (共29层),47.33㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,两梯十三户,有,2021/3/14,商品房,2001/4/29,普通住宅,满五年,非共有,无抵押,已上传房本照片,5457626885
福田区,华强北,"无占用 满五,不唯一，交易简单方便，快捷",https://sz.lianjia.com/ershoufang/105106455818.html,472万,104000元/平米,赛格公寓,1室1厅1厨1卫,高楼层 (共9层),45.35㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯二十七户,有,2021/2/23,商品房,2013/8/28,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.12E+11
福田区,华强北,玮鹏花园大两房，红本在手，满五年。,https://sz.lianjia.com/ershoufang/105104426380.html,807万,98500元/平米,玮鹏花园,2室1厅1厨1卫,中楼层 (共31层),81.91㎡,平层,64.97㎡,塔楼,西北,钢混结构,简装,四梯十户,有,2020/5/24,商品房,2004/12/13,普通住宅,满五年,共有,无抵押,已上传房本照片,U206236464552
福田区,华强北,楼层好 通透好 户型方正 满五年，业主诚卖,https://sz.lianjia.com/ershoufang/105104010337.html,506万,88900元/平米,都会100,1室1厅1厨1卫,低楼层 (共31层),56.85㎡,平层,暂无数据,塔楼,东,钢混结构,简装,四梯二十四户,有,2020/4/4,商品房,2015/8/18,普通住宅,满五年,非共有,有抵押 180万元,已上传房本照片,2.05E+11
福田区,华强北,荔园南红岭，70年纯住宅，华强北商圈，地铁口物业,https://sz.lianjia.com/ershoufang/105104628436.html,503万,88900元/平米,都会100,1室1厅1厨1卫,高楼层 (共31层),56.51㎡,平层,暂无数据,塔楼,南,钢混结构,精装,四梯二十四户,有,2020/6/18,商品房,2013/8/19,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.07E+11
福田区,华强北,红本在手满五唯1 指标未占用  低总价 诚心出售,https://sz.lianjia.com/ershoufang/105104485678.html,487万,104000元/平米,赛格公寓,1室0厅1厨1卫,中楼层 (共10层),46.76㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯十七户,有,2020/5/31,商品房,2009/4/22,普通住宅,满五年,非共有,无抵押,已上传房本照片,U212198345696
福田区,华强北,红荔村 5室2厅 南 北,https://sz.lianjia.com/ershoufang/105107451345.html,1197万,100000元/平米,红荔村,5室2厅1厨2卫,高楼层 (共7层),119.67㎡,平层,暂无数据,板楼,南 北,砖混结构,其他,一梯两户,无,2021/5/28,商品房,2015/6/16,普通住宅,满五年,非共有,有抵押 1000万元 客户偿还,已上传房本照片,U217472499537
福田区,华强北,此房朝南、满5唯一，红本在手，荔园加红岭,https://sz.lianjia.com/ershoufang/105107436320.html,514万,97600元/平米,中泰燕南名庭,1室1厅1厨1卫,高楼层 (共22层),52.59㎡,平层,40.12㎡,塔楼,南,钢混结构,其他,三梯五户,有,2021/5/26,商品房,2007/7/10,普通住宅,满五年,非共有,无抵押,已上传房本照片,U214963646112
福田区,华强北,华强北商圈 地铁口物业 业主诚卖  小户型 带租约,https://sz.lianjia.com/ershoufang/105107421270.html,204万,74400元/平米,东方时代广场,1室0厅0厨1卫,高楼层 (共29层),27.39㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯十三户,有,2021/5/25,商品房,2016/7/21,普通住宅,满两年,非共有,有抵押 107万元 中国工商银行 客户偿还,已上传房本照片,1.94E+11
福田区,华强北,业主诚心放卖，户型方正，采光好。,https://sz.lianjia.com/ershoufang/105107416795.html,826万,90300元/平米,桑达大厦,2室1厅1厨1卫,高楼层 (共27层),91.44㎡,平层,暂无数据,塔楼,东北,钢混结构,其他,六梯十九户,有,2021/5/24,商品房,1991/1/1,普通住宅,满五年,非共有,无抵押,已上传房本照片,54329863
福田区,华强北,满五年 红本 荔枝公园边 加装电梯 一层4户 住家安静,https://sz.lianjia.com/ershoufang/105107202826.html,831万,85000元/平米,报社大院,3室2厅1厨2卫,高楼层 (共7层),97.67㎡,平层,91.31㎡,板楼,南,钢混结构,简装,一梯四户,无,2021/5/2,商品房,1997/12/18,普通住宅,满五年,共有,无抵押,已上传房本照片,2.20E+11
福田区,华强北,红本满五唯一 低楼层楼梯房  业主诚心出售,https://sz.lianjia.com/ershoufang/105107320366.html,667万,85000元/平米,电子设计院,3室1厅1厨1卫,低楼层 (共7层),78.43㎡,平层,暂无数据,板楼,东 西 北,砖混结构,简装,一梯两户,无,2021/5/14,商品房,2002/7/18,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.17E+11
福田区,华强北,金茂礼都 70年纯住宅小区 A类积分 高层朝南两房,https://sz.lianjia.com/ershoufang/105107316343.html,780万,125200元/平米,金茂礼都,2室1厅1厨1卫,高楼层 (共32层),62.25㎡,平层,47.44㎡,塔楼,南,钢混结构,其他,三梯十六户,有,2021/5/14,商品房,2018/10/10,普通住宅,满两年,非共有,有抵押 740万元 民生银行 客户偿还,已上传房本照片,2.08E+11
福田区,华强北,一手业主，红本在手满五年，价格可谈,https://sz.lianjia.com/ershoufang/105107198418.html,697万,85000元/平米,电子设计院,3室1厅1厨1卫,中楼层 (共6层),82㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,2021/5/1,商品房,2002/3/8,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.18E+11
福田区,华强北,红荔村 3室2厅 东南,https://sz.lianjia.com/ershoufang/105107285771.html,779万,100000元/平米,红荔村,3室2厅1厨1卫,中楼层 (共7层),77.83㎡,平层,暂无数据,板楼,东南,砖混结构,简装,一梯两户,无,2021/5/11,商品房,2017/6/12,普通住宅,满两年,非共有,有抵押 600万元 建设银行 业主自还,已上传房本照片,U217358908356
福田区,华强北,满五年唯一红本在手一房一厅朝南低总价业主诚心出售,https://sz.lianjia.com/ershoufang/105107358852.html,535万,125200元/平米,金茂礼都,1室1厅1厨1卫,高楼层 (共27层),42.67㎡,平层,32.37㎡,塔楼,南,钢混结构,简装,三梯十四户,有,2021/5/18,商品房,2005/4/15,普通住宅,满五年,共有,无抵押,已上传房本照片,U215512483895
福田区,华强北,东南朝向 三房一厅保养好 看房方便 业主诚心出售,https://sz.lianjia.com/ershoufang/105107382696.html,648万,69800元/平米,航苑大厦,3室1厅1厨1卫,低楼层 (共28层),92.81㎡,平层,暂无数据,塔楼,东南,钢混结构,其他,三梯八户,有,2021/5/21,商品房,2018/10/25,普通住宅,满两年,非共有,有抵押 393万元 浙商银行 客户偿还,已上传房本照片,440304006001GB000050033
福田区,华强北,金茂礼都 1室1厅 南,https://sz.lianjia.com/ershoufang/105107402772.html,539万,125200元/平米,金茂礼都,1室1厅1厨1卫,中楼层 (共32层),43.05㎡,平层,32.79㎡,塔楼,南,钢混结构,其他,三梯十六户,有,2021/5/23,商品房,2016/3/23,普通住宅,满五年,非共有,有抵押,已上传房本照片,2.11E+11
福田区,华强北,荔园西+红岭，满五唯一，诚心出售，价格可谈,https://sz.lianjia.com/ershoufang/105107383081.html,419万,81700元/平米,航天立业华庭,2室1厅1厨1卫,高楼层 (共29层),51.27㎡,平层,暂无数据,塔楼,西南,钢混结构,简装,三梯十四户,有,2021/5/21,商品房,2015/12/29,普通住宅,满五年,非共有,有抵押 130万元,已上传房本照片,U219145442270
福田区,华强北,地质勘查局生活区 3室2厅 南 北,https://sz.lianjia.com/ershoufang/105106925460.html,797万,97700元/平米,地质勘查局生活区,3室2厅1厨1卫,低楼层 (共6层),81.5㎡,平层,暂无数据,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,2021/4/8,商品房,1989/2/1,普通住宅,满五年,共有,无抵押,已上传房本照片,U212718370209
福田区,华强北,红本在手满五年，二楼多一个大平台，未锁定,https://sz.lianjia.com/ershoufang/105106973974.html,779万,100000元/平米,红荔村,3室1厅1厨1卫,低楼层 (共7层),77.87㎡,平层,暂无数据,板楼,东南,砖混结构,精装,一梯两户,无,2021/4/13,商品房,1991/8/11,普通住宅,满五年,共有,无抵押,已上传房本照片,2.18E+11
福田区,华强北,满5年，税费少，地段好易出租，诚心出售，唯一住宅,https://sz.lianjia.com/ershoufang/105105909031.html,1008万,92900元/平米,桑达雅苑,3室1厅1厨2卫,中楼层 (共25层),108.41㎡,平层,84.66㎡,塔楼,东南,钢混结构,精装,四梯十四户,有,2020/11/30,商品房,2003/12/12,普通住宅,满五年,非共有,无抵押,已上传房本照片,U203943966044
福田区,华强北,桑达雅苑 2室1厅 东,https://sz.lianjia.com/ershoufang/105106450297.html,1584万,92900元/平米,桑达雅苑,2室1厅1厨2卫,高楼层 (共25层),170.41㎡,跃层,133.09㎡,塔楼,东,钢混结构,其他,四梯十四户,有,2021/2/23,商品房,2017/8/15,普通住宅,满两年,非共有,无抵押,已上传房本照片,2.16E+11
福田区,华强北,荔园南  红岭  满五年唯一  未占用   温馨四居,https://sz.lianjia.com/ershoufang/105106088391.html,847万,97600元/平米,中泰燕南名庭,4室1厅1厨2卫,高楼层 (共19层),86.78㎡,复式,暂无数据,塔楼,南 西,钢混结构,简装,三梯十四户,有,2020/12/22,商品房,2009/7/6,普通住宅,满五年,非共有,有抵押 520万元 建设银行 客户偿还,已上传房本照片,U208154786850
福田区,华强北,公园之家，看公园景观，带大露台，朝东南，红本免个税,https://sz.lianjia.com/ershoufang/105106100658.html,1736万,80200元/平米,城市绿洲花园,4室2厅1厨3卫,高楼层 (共16层),216.39㎡,复式,暂无数据,塔楼,东 南 北,钢混结构,精装,三梯四户,有,2020/12/24,商品房,2016/5/9,普通住宅,满五年,非共有,有抵押 1200万元,已上传房本照片,U195892252467
福田区,华强北,顶层复式，满五年，未占用，业主诚卖,https://sz.lianjia.com/ershoufang/105105261115.html,1679万,92900元/平米,桑达雅苑,5室2厅1厨2卫,高楼层 (共25层),180.7㎡,跃层,142.84㎡,塔楼,南,钢混结构,简装,四梯十四户,有,2020/9/6,商品房,2005/5/8,普通住宅,满五年,非共有,无抵押,已上传房本照片,U200864909096
福田区,华强北,玮鹏花园。满五唯一。大户型。小孩上学方便,https://sz.lianjia.com/ershoufang/105106817191.html,1586万,98500元/平米,玮鹏花园,5室1厅1厨2卫,低楼层 (共31层),161㎡,平层,暂无数据,塔楼,西南,钢混结构,简装,三梯六户,有,2021/3/29,商品房,2004/8/6,普通住宅,满五年,非共有,有抵押 820万元 招商银行 客户偿还,已上传房本照片,U207669304402
福田区,华强北,此房是一手业主，红本在手满五年，精装可以拎包入住,https://sz.lianjia.com/ershoufang/105106693491.html,668万,100000元/平米,红荔村,5室1厅1厨2卫,中楼层 (共7层),66.73㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,无,2021/3/19,商品房,2015/9/16,普通住宅,满五年,非共有,有抵押 200万元 200左右 客户偿还,已上传房本照片,123456+
福田区,华强北,业主空置放卖，看房随时方便，税费少，可租7千,https://sz.lianjia.com/ershoufang/105106938588.html,466万,100000元/平米,宝树台,1室1厅1厨1卫,高楼层 (共26层),46.57㎡,平层,32.35㎡,塔楼,东 西,钢混结构,简装,四梯二十户,有,2021/4/9,商品房,2013/3/4,商业办公类,满五年,非共有,无抵押,已上传房本照片,U215930213445
福田区,华强北,复式商铺 燕南站地铁口 沃尔玛楼下,https://sz.lianjia.com/ershoufang/105102857933.html,584万,97600元/平米,中泰燕南名庭,2室0厅0厨1卫,低楼层 (共1层),59.77㎡,跃层,51.64㎡,塔楼,东南,钢混结构,精装,一梯二十七户,无,2019/8/15,商品房,2014/7/25,商业办公类,满五年,非共有,无抵押,已上传房本照片,1.98E+11
福田区,华强北,红荔村 2室2厅 南 北,https://sz.lianjia.com/ershoufang/105106737949.html,665万,100000元/平米,红荔村,2室2厅1厨1卫,中楼层 (共7层),66.48㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,无,2021/3/23,商品房,2014/6/9,普通住宅,满五年,非共有,有抵押 30万元 客户偿还,已上传房本照片,2.04E+11
福田区,华强北,无占用 红本满五唯一 诚心出售 交易便捷,https://sz.lianjia.com/ershoufang/105107235580.html,472万,104000元/平米,赛格公寓,1室1厅1厨1卫,中楼层 (共9层),45.35㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,一梯二十七户,有,2021/5/6,商品房,2011/1/5,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.14E+11
福田区,华强北,满五年，70年住宅小区，业主诚心出售,https://sz.lianjia.com/ershoufang/105107226148.html,449万,125200元/平米,金茂礼都,1室0厅1厨1卫,中楼层 (共32层),35.8㎡,平层,26.82㎡,塔楼,南,钢混结构,简装,三梯十六户,有,2021/5/5,商品房,2010/8/10,普通住宅,满五年,共有,无抵押,已上传房本照片,U213493017156
福田区,华强北,阁林网苑 1室1厅 南,https://sz.lianjia.com/ershoufang/105107326533.html,688万,91700元/平米,阁林网苑,1室1厅0厨1卫,高楼层 (共19层),74.97㎡,平层,58.92㎡,塔楼,南,钢混结构,其他,三梯二十六户,有,2021/5/15,商品房,2010/4/7,普通住宅,满五年,非共有,有抵押,已上传房本照片,U216215195644
福田区,华强北,金茂礼都，一房一厅 红本在手，满五年,https://sz.lianjia.com/ershoufang/105107267868.html,554万,125200元/平米,金茂礼都,1室1厅1厨1卫,低楼层 (共32层),44.23㎡,平层,33.64㎡,塔楼,北,钢混结构,简装,三梯十六户,有,2021/5/9,商品房,2005/3/15,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.17E+11
福田区,华强北,桑达雅苑 2室1厅 东南,https://sz.lianjia.com/ershoufang/105107268583.html,672万,92900元/平米,桑达雅苑,2室1厅1厨1卫,中楼层 (共25层),72.3㎡,平层,54.11㎡,塔楼,东南,钢混结构,简装,四梯十四户,有,2021/5/9,商品房,2018/9/7,普通住宅,满两年,非共有,有抵押 招商银行 金融公司垫资,已上传房本照片,U195247997717
福田区,华强北,阁林网苑单房，户型方正，业主诚卖,https://sz.lianjia.com/ershoufang/105107326565.html,409万,91700元/平米,阁林网苑,1室0厅0厨1卫,高楼层 (共19层),44.58㎡,平层,35.04㎡,塔楼,东南,钢混结构,其他,三梯二十六户,有,2021/5/15,商品房,2010/4/7,普通住宅,满五年,非共有,有抵押,已上传房本照片,U214992254122
