类别,行政区,点评数,口味,环境,服务,人均消费,城市,Lng,Lat
快餐, 杨浦区,15,7.2,7.1,7.2,13,上海市,121.5113931,31.27046785
快餐, 杨浦区,20,7.6,7.6,7.7,27,上海市,121.5113675,31.27611839
浙菜, 杨浦区,49,7.2,7.4,7.2,150,上海市,121.5113575,31.26328983
川菜, 浦东新区,29,6.6,6.6,6.5,54,上海市,121.5113586,31.23931349
料理, 杨浦区,785,6.7,6.3,6.4,29,上海市,121.5113531,31.30443087
浙菜, 虹口区,33,7.8,7.6,7.7,58,上海市,121.5113454,31.25266945
北菜, 浦东新区,121,7.2,6.5,6.9,39,上海市,121.5113296,31.23809296
火锅, 杨浦区,4093,8.9,8.7,8.3,119,上海市,121.5113252,31.26567971
快餐, 杨浦区,51,7,7.3,7.1,28,上海市,121.5113252,31.26567971
咖啡厅, 杨浦区,3,7.1,7.1,7.1,45,上海市,121.5113142,31.30081318
本菜, 浦东新区,137,8.2,8.2,8.6,135,上海市,121.5113153,31.2407667
美食, 杨浦区,10,7.2,7.2,7.2,28,上海市,121.5112912,31.31149996
烧烤, 闵行区,3,6.9,6.9,6.9,50,上海市,121.5113019,31.0663266
川菜, 杨浦区,18,6.6,6.5,6.7,43,上海市,121.5112811,31.25408564
浙菜, 杨浦区,5112,8.2,8.9,8.4,100,上海市,121.5112548,31.30352894
浙菜, 杨浦区,14947,8.4,8.6,8.3,65,上海市,121.5112548,31.30352894
浙菜, 杨浦区,4102,8.5,8.7,8.7,70,上海市,121.5112548,31.30352894
浙菜, 杨浦区,12397,7.6,7.9,7.5,65,上海市,121.5112548,31.30352894
川菜, 杨浦区,47,7.4,8.1,7.6,94,上海市,121.5112548,31.30352894
粤菜, 杨浦区,11735,7.8,7.8,7.3,92,上海市,121.5112548,31.30352894
粤菜, 杨浦区,4802,7.6,7.5,7.1,82,上海市,121.5112548,31.30352894
湘菜, 杨浦区,32,0,0,0,122,上海市,121.5112548,31.30352894
湘菜, 杨浦区,3326,8.7,8.8,8.5,84,上海市,121.5112548,31.30352894
火锅, 杨浦区,500,8.7,9,8.9,123,上海市,121.5112548,31.30352894
火锅, 杨浦区,4299,8.5,8.6,8.4,141,上海市,121.5112548,31.30352894
助餐, 杨浦区,342,9,8.9,8.4,139,上海市,121.5112548,31.30352894
快餐, 杨浦区,479,7.9,8.3,8.1,48,上海市,121.5112548,31.30352894
快餐, 杨浦区,723,7.8,7.4,7.4,101,上海市,121.5112548,31.30352894
快餐, 杨浦区,186,7.7,7.4,7.2,18,上海市,121.5112548,31.30352894
快餐, 杨浦区,167,7.3,7.2,7.2,40,上海市,121.5112548,31.30352894
快餐, 杨浦区,31,6.6,6.7,6.7,28,上海市,121.5112548,31.30352894
快餐, 杨浦区,468,6.8,6.4,6.5,10,上海市,121.5112548,31.30352894
本菜, 杨浦区,6106,7.5,7.5,7.5,85,上海市,121.5112548,31.30352894
本菜, 杨浦区,611,7.5,7.4,7.2,50,上海市,121.5112548,31.30352894
本菜, 杨浦区,2211,7.2,7.1,6.7,50,上海市,121.5112548,31.30352894
料理, 杨浦区,723,7.6,7.6,7.5,36,上海市,121.5112548,31.30352894
西餐, 杨浦区,11778,7.9,8.7,8,126,上海市,121.5112548,31.30352894
西餐, 杨浦区,2746,8.6,8.8,8.6,113,上海市,121.5112548,31.30352894
西餐, 杨浦区,663,8.5,7.9,8.3,104,上海市,121.5112548,31.30352894
甜点, 杨浦区,2236,8.1,6.8,6.8,16,上海市,121.5112548,31.30352894
甜点, 杨浦区,667,7.3,7.4,7.4,28,上海市,121.5112548,31.30352894
咖啡厅, 杨浦区,1840,7.5,7.8,7.3,44,上海市,121.5112548,31.30352894
甜点, 杨浦区,112,7.7,8.2,7.6,19,上海市,121.5112548,31.30352894
甜点, 杨浦区,32,7.5,7.4,7.2,24,上海市,121.5112548,31.30352894
甜点, 杨浦区,281,7.8,7.7,7.4,49,上海市,121.5112548,31.30352894
甜点, 杨浦区,900,8,7.8,7.9,23,上海市,121.5112548,31.30352894
甜点, 杨浦区,3669,8,7.6,7.6,18,上海市,121.5112548,31.30352894
甜点, 杨浦区,5102,8.1,7.7,7.9,32,上海市,121.5112548,31.30352894
甜点, 杨浦区,218,7.4,7.5,7.7,21,上海市,121.5112548,31.30352894
甜点, 杨浦区,890,7,7.2,7.2,27,上海市,121.5112548,31.30352894
甜点, 杨浦区,70,7.5,7.4,7.3,80,上海市,121.5112548,31.30352894
甜点, 杨浦区,774,7.8,7.6,7.4,24,上海市,121.5112548,31.30352894
甜点, 杨浦区,14,7.1,7,6.8,21,上海市,121.5112548,31.30352894
甜点, 杨浦区,160,7,7,7,15,上海市,121.5112548,31.30352894
美食, 杨浦区,1329,8.2,8.6,8.3,144,上海市,121.5112548,31.30352894
美食, 杨浦区,4096,8,8.2,7.7,107,上海市,121.5112548,31.30352894
龙虾, 杨浦区,7444,8.6,9,9.1,114,上海市,121.5112548,31.30352894
南菜, 杨浦区,3381,8.4,8.9,8.7,99,上海市,121.5112548,31.30352894
快餐, 浦东新区,17,7,7,7,17,上海市,121.5112542,31.23899733
快餐, 杨浦区,1402,8.1,6.8,7.5,11,上海市,121.5112346,31.30543414
快餐, 杨浦区,6,6.9,6.9,6.8,28,上海市,121.5112304,31.27162989
浙菜, 虹口区,32,6.8,6.7,6.6,20,上海市,121.5112279,31.25310092
快餐, 杨浦区,70,7.5,7.3,7.5,19,上海市,121.5112225,31.30551507
甜点, 杨浦区,207,7.2,7,7.1,9,上海市,121.5112225,31.30551307
浙菜, 杨浦区,5082,8.5,7.9,7.7,140,上海市,121.5111948,31.30041799
火锅, 杨浦区,2329,8.6,8.3,8.2,118,上海市,121.5111968,31.27675563
甜点, 杨浦区,47,7.4,7.4,7.4,20,上海市,121.5111948,31.30041799
甜点, 杨浦区,801,7.5,7.3,7.4,35,上海市,121.5111948,31.30041799
咖啡厅, 杨浦区,34,7.4,7.4,7.5,37,上海市,121.5111948,31.30041799
烧烤, 杨浦区,1336,7,6.9,6.9,79,上海市,121.5111968,31.27675563
浙菜, 杨浦区,144,6.6,6.6,6.7,126,上海市,121.5111954,31.2706642
川菜, 杨浦区,3804,8.4,8.3,8.1,86,上海市,121.5111794,31.30464628
火锅, 杨浦区,1884,8.4,8,8.2,109,上海市,121.5111794,31.30464628
火锅, 杨浦区,541,0,0,0,133,上海市,121.5111794,31.30464628
甜点, 杨浦区,147,7,7,7.1,10,上海市,121.5111794,31.30464628
龙虾, 杨浦区,5104,7.9,6.9,7.2,98,上海市,121.5111794,31.30464628
海鲜, 杨浦区,722,7.2,6.6,6.8,82,上海市,121.5111794,31.30464628
浙菜, 浦东新区,275,7.1,6.5,6.7,78,上海市,121.5111878,31.18127793
快餐, 浦东新区,403,8.3,7,7.5,14,上海市,121.5111878,31.18127793
西餐, 闵行区,30,7.9,7.9,7.9,32,上海市,121.5111971,31.07166825
西餐, 杨浦区,1459,7.5,7.5,7.1,75,上海市,121.5111304,31.30344361
快餐, 杨浦区,129,7.2,7.2,7,18,上海市,121.5111141,31.30545178
浙菜, 杨浦区,22,7.2,7.2,7.1,24,上海市,121.5111112,31.29252489
美食, 闵行区,1,6.9,6.9,6.9,48,上海市,121.5111246,31.11016743
甜点, 浦东新区,109,8,8.3,8.3,17,上海市,121.5110855,31.18119368
快餐, 浦东新区,292,6.9,5.6,6.1,64,上海市,121.5110806,31.23979447
川菜, 杨浦区,10,7.1,6.9,7,47,上海市,121.5110653,31.31366148
甜点, 杨浦区,3251,7.5,6.9,7,36,上海市,121.5110651,31.30344242
湘菜, 浦东新区,186,8.3,7.7,7.8,60,上海市,121.51107,31.21066109
快餐, 杨浦区,435,7.2,7.3,6.9,34,上海市,121.5110625,31.27584962
火锅, 浦东新区,265,8.9,8.6,8.7,130,上海市,121.5110624,31.22932223
川菜, 浦东新区,42,6.9,6.6,6.8,42,上海市,121.5110545,31.23918567
甜点, 杨浦区,263,8,7.8,8,17,上海市,121.5110435,31.26228636
北菜, 浦东新区,13,7.4,7.1,7.3,33,上海市,121.5110436,31.21332673
川菜, 杨浦区,10903,7.4,6.8,6.9,73,上海市,121.5110309,31.30497772
火锅, 杨浦区,88,6,6.7,6.3,47,上海市,121.5110309,31.30497772
快餐, 杨浦区,267,7.5,6.9,7.2,20,上海市,121.5110309,31.30497772
快餐, 杨浦区,14,7.4,6.9,7.2,20,上海市,121.5110309,31.30497772
甜点, 杨浦区,159,7.6,7.5,7.5,16,上海市,121.5110309,31.30497772
咖啡厅, 杨浦区,447,6.8,7,6.7,62,上海市,121.5110072,31.27656916
浙菜, 浦东新区,25,7,7,6.9,87,上海市,121.5109986,31.21151847
烧烤, 浦东新区,109,7.1,6.9,7,61,上海市,121.5109802,31.23949131
北菜, 浦东新区,1256,7.1,5.4,5.7,18,上海市,121.5109802,31.23949131
快餐, 虹口区,10,7.5,7.2,7.4,18,上海市,121.510977,31.25409875
咖啡厅, 浦东新区,59,7.7,8.1,7.8,35,上海市,121.5109586,31.23443057
浙菜, 杨浦区,113,8.5,8.1,8.9,39,上海市,121.5109478,31.26714798
浙菜, 浦东新区,35,7.2,6.9,7,47,上海市,121.5109225,31.2105827
浙菜, 杨浦区,168,8.5,7.7,8.1,79,上海市,121.5109156,31.29207151
快餐, 杨浦区,0,0,0,0,16,上海市,121.5109039,31.26380629
快餐, 杨浦区,133,7.5,7.3,7.4,26,上海市,121.510885,31.26216895
快餐, 浦东新区,373,7,6.5,6.4,23,上海市,121.5108336,31.24092024
甜点, 杨浦区,0,0,0,0,11,上海市,121.5108203,31.29162741
快餐, 浦东新区,32,7.8,7.1,8.2,21,上海市,121.5107964,31.23034399
甜点, 浦东新区,854,8.1,8.3,8.2,20,上海市,121.5107893,31.23031498
咖啡厅, 浦东新区,28,7.8,8.3,8.1,38,上海市,121.5107893,31.23031498
快餐, 杨浦区,83,8.1,8,8.1,21,上海市,121.510756,31.30424621
快餐, 杨浦区,352,7.4,7.4,7.3,33,上海市,121.510756,31.30424621
咖啡厅, 杨浦区,1168,7.8,7.5,7.6,36,上海市,121.510756,31.30424621
甜点, 杨浦区,417,8.1,7.9,7.2,45,上海市,121.510756,31.30424621
甜点, 杨浦区,38,6.9,7.3,7,19,上海市,121.510756,31.30424621
川菜, 杨浦区,12,7.4,7.3,7.3,30,上海市,121.5107541,31.27889945
咖啡厅, 浦东新区,577,8.2,8.2,8.5,25,上海市,121.5107506,31.23787838
湘菜, 浦东新区,32,7.2,6.4,6.7,65,上海市,121.5107382,31.2410549
本菜, 浦东新区,2006,8.4,8.4,8.7,105,上海市,121.5107271,31.23061966
咖啡厅, 浦东新区,220,7.8,8.6,8.4,43,上海市,121.5107263,31.22842767
快餐, 闵行区,16,7,7,6.9,13,上海市,121.5107402,31.06275702
本菜, 浦东新区,521,7.9,7.8,8.5,128,上海市,121.510715,31.2308945
快餐, 闵行区,13,7.7,7.4,7.1,15,上海市,121.5107187,31.07981723
美食, 杨浦区,19,7.3,7,7.3,13,上海市,121.5106959,31.27873335
湘菜, 浦东新区,1,7.5,7.5,7.5,22,上海市,121.5107007,31.20972047
快餐, 杨浦区,36,6.8,6.9,6.8,30,上海市,121.5106937,31.29266263
快餐, 闵行区,36,7.3,7.5,7.4,25,上海市,121.5107047,31.07987515
美食, 浦东新区,43,7.4,7.3,7.5,9,上海市,121.5106911,31.18095565
咖啡厅, 浦东新区,155,7.9,7.9,7.6,36,上海市,121.510682,31.22920618
快餐, 浦东新区,57,7.3,7,7.3,2,上海市,121.5106744,31.21305679
蟹宴, 虹口区,1,6.9,6.9,6.9,100,上海市,121.5106586,31.25750632
快餐, 杨浦区,49,7.4,7,7.2,21,上海市,121.5106115,31.29267039
火锅, 浦东新区,2110,8.6,8.2,8.2,154,上海市,121.5106147,31.23031847
川菜, 浦东新区,14,7.3,7.1,7.3,27,上海市,121.5106147,31.23031847
粤菜, 浦东新区,8674,7.8,7.8,7.5,87,上海市,121.5106147,31.23031847
快餐, 浦东新区,791,7.9,8,8,31,上海市,121.5106147,31.23031847
快餐, 浦东新区,15,7.2,7.3,7.3,27,上海市,121.5106147,31.23031847
快餐, 浦东新区,34,7.1,7.1,7.1,58,上海市,121.5106147,31.23031847
料理, 浦东新区,2951,8.6,8.6,8.7,100,上海市,121.5106147,31.23031847
亚菜, 浦东新区,3041,8.6,8.3,8.4,89,上海市,121.5106147,31.23031847
甜点, 浦东新区,582,7.8,7.9,7.7,27,上海市,121.5106147,31.23031847
川菜, 浦东新区,78,6.8,6.4,6.6,43,上海市,121.5106048,31.2410785
本菜, 杨浦区,47,8.4,8.2,8.1,109,上海市,121.5105972,31.27169102
快餐, 浦东新区,41,7.6,7.7,7.6,30,上海市,121.5105853,31.23445547
湘菜, 浦东新区,292,7.3,7,7.1,68,上海市,121.5105837,31.24157322
龙虾, 杨浦区,300,7.5,7,7.1,128,上海市,121.5105733,31.29243437
快餐, 浦东新区,84,7.4,7.2,6.8,31,上海市,121.5105448,31.23843753
川菜, 杨浦区,781,9.2,8.7,9,75,上海市,121.5105372,31.30472639
咖啡厅, 浦东新区,350,7.6,7.5,7.6,38,上海市,121.5105224,31.2305471
甜点, 杨浦区,46,7.3,7.3,7.2,11,上海市,121.5104978,31.27221851
火锅, 杨浦区,0,0,0,0,42,上海市,121.5104859,31.30577483
快餐, 杨浦区,13,6.9,7,7,14,上海市,121.5104859,31.30577483
烧烤, 杨浦区,97,7,6.6,6.7,58,上海市,121.5104859,31.30577483
快餐, 浦东新区,52,7.5,7.4,7.8,20,上海市,121.5104775,31.23907504
西餐, 浦东新区,2050,7.7,7.7,7.8,89,上海市,121.5104743,31.22900767
快餐, 杨浦区,482,7.5,7.4,7.6,18,上海市,121.5104532,31.30094663
龙虾, 杨浦区,84,7.4,6.9,7.2,47,上海市,121.5104115,31.27225624
火锅, 杨浦区,1292,8.4,8.2,7.7,148,上海市,121.5104077,31.30496792
美食, 杨浦区,1173,8.3,8.4,8.2,165,上海市,121.5104077,31.30496792
湾菜, 浦东新区,504,7.5,7.1,7.2,51,上海市,121.5104036,31.23430901
快餐, 杨浦区,98,7.4,7.2,7.4,16,上海市,121.5104004,31.27234617
快餐, 杨浦区,38,7.5,7.1,7.8,7,上海市,121.5104004,31.27234617
甜点, 杨浦区,80,7.8,7.7,7.9,15,上海市,121.5103707,31.30349439
甜点, 浦东新区,151,7.5,7.4,7.2,84,上海市,121.5103759,31.19424109
美食, 浦东新区,65,7.2,7.5,7.3,27,上海市,121.5103654,31.21227527
北菜, 杨浦区,11,7.6,7.2,7.3,24,上海市,121.5103501,31.31019873
甜点, 杨浦区,58,6.5,6.4,6.3,12,上海市,121.5103513,31.27216911
西餐, 杨浦区,30,7.7,7.8,7.8,149,上海市,121.5103144,31.30497564
快餐, 闵行区,6,6.8,6.7,6.5,19,上海市,121.510332,31.07256023
快餐, 杨浦区,96,7.4,7.2,7.2,19,上海市,121.510313,31.2616805
甜点, 杨浦区,375,7.9,7.7,7.2,37,上海市,121.5102893,31.30508553
川菜, 杨浦区,647,7.9,8.3,8.1,86,上海市,121.5102475,31.30007637
甜点, 杨浦区,13,7.4,7.3,7.3,14,上海市,121.5102475,31.30007637
本菜, 浦东新区,1052,8.3,7.5,7.6,124,上海市,121.5102428,31.237681
快餐, 浦东新区,215,7.5,7,7.1,19,上海市,121.5102414,31.18277243
粤菜, 浦东新区,7,6.9,7,6.9,40,上海市,121.5102365,31.22904097
快餐, 浦东新区,71,8.5,8.5,8.4,43,上海市,121.5102365,31.22904097
快餐, 浦东新区,62,8,8.1,8.1,39,上海市,121.5102365,31.22904097
西餐, 浦东新区,1423,7.5,7.5,7.5,71,上海市,121.5102365,31.22904097
西餐, 浦东新区,85,7.6,7.6,7.7,85,上海市,121.5102365,31.22904097
甜点, 浦东新区,1051,8.5,8.5,8.2,33,上海市,121.5102365,31.22904097
美食, 浦东新区,132,8.3,8.2,8.5,19,上海市,121.5102365,31.22904097
咖啡厅, 浦东新区,25,8.2,8.3,8.2,36,上海市,121.5102365,31.22904097
咖啡厅, 浦东新区,18,7.4,7.1,7.4,24,上海市,121.5102365,31.22904097
海鲜, 浦东新区,1423,8,7.6,7.4,163,上海市,121.5102365,31.22904097
烧烤, 浦东新区,1002,6.8,7.3,7.1,161,上海市,121.5102365,31.22904097
湘菜, 浦东新区,3,7.2,7.2,7.2,22,上海市,121.5102326,31.23911132
快餐, 浦东新区,36,6.9,6.8,6.9,14,上海市,121.5102362,31.18504627
州菜, 浦东新区,28,7,7.2,7.3,25,上海市,121.5102312,31.20879155
北菜, 浦东新区,537,7.1,6.4,6.4,47,上海市,121.5102284,31.24145524
快餐, 杨浦区,183,7.6,7.5,7.3,51,上海市,121.5102235,31.27641394
海鲜, 杨浦区,1375,8,7.6,7.3,127,上海市,121.5102235,31.27641394
北菜, 浦东新区,7,7.2,7.1,7.2,13,上海市,121.5102169,31.16346123
西餐, 杨浦区,37,7.2,7.1,7.1,14,上海市,121.5102043,31.28983835
西餐, 杨浦区,165,9,9.1,8.9,90,上海市,121.5101806,31.26072053
咖啡厅, 浦东新区,197,7.8,7.7,7.5,36,上海市,121.5101617,31.23510794
快餐, 浦东新区,322,7.8,7.8,7.6,23,上海市,121.5101488,31.23413035
北菜, 浦东新区,74,5.8,6,5.8,46,上海市,121.5101363,31.23906905
助餐, 杨浦区,2367,7.1,6.9,7.2,63,上海市,121.5101093,31.26153197
快餐, 杨浦区,187,6.8,6.8,6.8,24,上海市,121.5100979,31.30120749
甜点, 杨浦区,360,8.6,8.8,8.8,21,上海市,121.5100979,31.30120749
川菜, 杨浦区,240,8.3,8.2,8.4,27,上海市,121.5100698,31.30109245
火锅, 杨浦区,8817,9.1,9.1,9.3,135,上海市,121.5100698,31.30109245
快餐, 杨浦区,452,7.7,8.2,8.1,29,上海市,121.5100698,31.30109245
快餐, 杨浦区,291,7.3,7.4,7.3,21,上海市,121.5100698,31.30109245
甜点, 杨浦区,226,7.3,6.9,6.8,14,上海市,121.5100698,31.30109245
北菜, 浦东新区,61,7.2,7.7,7.5,52,上海市,121.5100769,31.1940723
火锅, 浦东新区,20,7,6.9,7,45,上海市,121.5100717,31.19543261
快餐, 杨浦区,1603,6.1,6.3,6.2,24,上海市,121.5100556,31.30286872
美食, 浦东新区,5,7.3,7.1,7.1,25,上海市,121.5100576,31.18462896
粤菜, 浦东新区,14,7.3,7.4,7.4,17,上海市,121.5100422,31.20109874
快餐, 杨浦区,638,8.3,8.8,8.7,48,上海市,121.5100338,31.26385174
咖啡厅, 浦东新区,828,8,8.3,9,53,上海市,121.5100285,31.231976
川菜, 杨浦区,12,6.8,6.8,6.8,35,上海市,121.5100196,31.28991978
咖啡厅, 杨浦区,450,8.1,8.7,8.5,38,上海市,121.5099859,31.30827641
川菜, 杨浦区,48,7.3,7.2,6.9,33,上海市,121.5099487,31.26174441
快餐, 杨浦区,284,8.2,8,7.9,41,上海市,121.5099487,31.26174441
甜点, 浦东新区,95,7.9,8.2,8.5,12,上海市,121.5099433,31.19503044
粤菜, 浦东新区,13,7.4,7.5,7.5,30,上海市,121.5099312,31.20796808
快餐, 杨浦区,529,8.4,8,8.3,44,上海市,121.5099183,31.27776549
烧烤, 浦东新区,36,7.1,6.6,6.7,26,上海市,121.5099202,31.19581398
快餐, 杨浦区,5,7.1,7,7.2,15,上海市,121.5098648,31.29290512
川菜, 杨浦区,454,8.4,8.3,8.5,87,上海市,121.5098357,31.30488329
快餐, 杨浦区,54,7.5,7.3,7.3,11,上海市,121.5098357,31.30488329
快餐, 杨浦区,19,7.4,7.4,7.5,22,上海市,121.5098357,31.30488329
西餐, 杨浦区,947,8.7,8.7,9,60,上海市,121.5098357,31.30488329
甜点, 杨浦区,133,8.1,8.2,8.7,16,上海市,121.5098357,31.30488329
甜点, 杨浦区,149,8.1,8.3,8.2,31,上海市,121.5098357,31.30488329
甜点, 杨浦区,978,7.9,7.7,7.6,73,上海市,121.5098357,31.30488329
甜点, 杨浦区,40,7.9,8.2,8.1,28,上海市,121.5098357,31.30488329
甜点, 杨浦区,42,7.7,7.7,7.5,15,上海市,121.5098357,31.30488329
甜点, 杨浦区,7,7.5,7.2,7.5,14,上海市,121.5098357,31.30488329
咖啡厅, 杨浦区,423,8.2,8,8,41,上海市,121.5098357,31.30488329
海鲜, 杨浦区,2316,9,8.5,8.6,167,上海市,121.5098357,31.30488329
北菜, 杨浦区,2744,8,8.1,8,52,上海市,121.5098357,31.30488329
甜点, 杨浦区,300,7.8,7.5,7.6,33,上海市,121.5098357,31.30488329
快餐, 浦东新区,379,7.6,6.4,6.9,15,上海市,121.509799,31.18040034
快餐, 杨浦区,73,7.3,7.1,7.4,37,上海市,121.5097718,31.30109059
甜点, 杨浦区,21,7.9,7.9,7.7,40,上海市,121.5097718,31.30109059
快餐, 浦东新区,369,7.1,7,6.8,31,上海市,121.5097644,31.23413423
咖啡厅, 杨浦区,88,7.7,7.9,8,40,上海市,121.5097551,31.30903944
北菜, 浦东新区,106,6.9,6.6,6.6,17,上海市,121.5097616,31.19549768
快餐, 杨浦区,137,7.2,6.9,6.8,31,上海市,121.5096615,31.27609144
快餐, 杨浦区,54,7.4,7.6,7.4,22,上海市,121.5096615,31.27609144
甜点, 杨浦区,87,7.4,7.3,7.1,14,上海市,121.5096615,31.27609144
甜点, 杨浦区,80,7.3,7.2,7,14,上海市,121.5096615,31.27609144
快餐, 杨浦区,144,7.4,7.4,7.4,18,上海市,121.5096597,31.26203744
甜点, 杨浦区,373,7.6,7.4,7.2,16,上海市,121.5096507,31.26198744
烧烤, 浦东新区,13,6.8,6.6,6.7,10,上海市,121.5096539,31.14033976
火锅, 浦东新区,500,8.7,7.5,7.7,102,上海市,121.5096436,31.22710414
快餐, 杨浦区,210,7.7,7.5,7.5,23,上海市,121.5096103,31.2760823
湘菜, 杨浦区,180,7,6.9,7,65,上海市,121.5096095,31.26214924
川菜, 浦东新区,58,7.1,6.6,6.9,36,上海市,121.5095673,31.23889847
海鲜, 浦东新区,1317,7.8,7.6,7.7,123,上海市,121.5095508,31.23184966
川菜, 杨浦区,269,8.6,8.7,9,89,上海市,121.5095369,31.30218747
川菜, 杨浦区,578,8.5,8.7,8.6,46,上海市,121.5095369,31.30218747
粤菜, 杨浦区,422,8.8,8.6,9.1,84,上海市,121.5095369,31.30218747
北菜, 杨浦区,237,7.4,7.6,7.5,90,上海市,121.5095369,31.30218747
火锅, 杨浦区,191,9,8.7,8.9,121,上海市,121.5095369,31.30218747
火锅, 杨浦区,65,7.8,8.5,8.5,67,上海市,121.5095369,31.30218747
快餐, 杨浦区,5623,7.4,5.9,6.2,12,上海市,121.5095369,31.30218747
快餐, 杨浦区,84,7.2,6.7,6.7,18,上海市,121.5095369,31.30218747
快餐, 杨浦区,331,7.8,7.4,7.4,11,上海市,121.5095369,31.30218747
快餐, 杨浦区,62,7.7,7.7,7.4,34,上海市,121.5095369,31.30218747
甜点, 杨浦区,81,7.4,7.4,7.4,11,上海市,121.5095369,31.30218747
快餐, 杨浦区,1549,7.7,6.8,6.8,68,上海市,121.5095369,31.30218747
本菜, 杨浦区,168,7.5,8.1,7.6,115,上海市,121.5095369,31.30218747
本菜, 杨浦区,44,7.6,7.9,8.1,24,上海市,121.5095369,31.30218747
亚菜, 杨浦区,15944,7.7,7.8,7.3,126,上海市,121.5095369,31.30218747
西餐, 杨浦区,63,7.8,7.8,7.9,55,上海市,121.5095369,31.30218747
甜点, 杨浦区,122,8.1,8.3,8.3,14,上海市,121.5095369,31.30218747
甜点, 杨浦区,2853,7.4,6.7,6.4,23,上海市,121.5095369,31.30218747
甜点, 杨浦区,52,7.3,7.5,7.5,43,上海市,121.5095369,31.30218747
甜点, 杨浦区,604,7.8,7.5,7.5,23,上海市,121.5095369,31.30218747
甜点, 杨浦区,630,7.2,6.4,6.2,23,上海市,121.5095369,31.30218747
甜点, 杨浦区,69,7.7,7.5,7.3,45,上海市,121.5095369,31.30218747
美食, 杨浦区,59,7.6,7.6,7.8,78,上海市,121.5095369,31.30218747
美食, 杨浦区,40,7.8,7.2,7.1,11,上海市,121.5095369,31.30218747
海鲜, 杨浦区,3,7,7,7,60,上海市,121.5095369,31.30218747
疆菜, 杨浦区,3,7.5,7.4,7.6,120,上海市,121.5095339,31.26623026
甜点, 杨浦区,0,0,0,0,18,上海市,121.5095158,31.29041311
快餐, 虹口区,70,7.4,7.3,7.4,21,上海市,121.5095108,31.25468822
西餐, 杨浦区,86,7.7,7.9,7.6,28,上海市,121.5094809,31.33437323
美食, 杨浦区,1,7.1,6.8,7.1,11,上海市,121.5094809,31.33437323
海鲜, 杨浦区,128,7.9,8.4,8.2,134,上海市,121.5094756,31.30228126
快餐, 杨浦区,40,8.5,8.6,8.2,28,上海市,121.5094681,31.30880769
美食, 浦东新区,86,7.5,7,7.4,48,上海市,121.509468,31.15558515
快餐, 浦东新区,32,7.4,6.8,7.1,13,上海市,121.5094298,31.22699357
甜点, 杨浦区,52,7.8,7.8,7.5,38,上海市,121.5094143,31.30408437
快餐, 杨浦区,40,7.3,6.8,7,14,上海市,121.5094142,31.28146548
川菜, 浦东新区,143,6.9,6.4,6.6,38,上海市,121.5094122,31.23363743
快餐, 杨浦区,12,7.5,7.4,7.4,35,上海市,121.5093922,31.30455712
川菜, 浦东新区,3,6.9,6.9,6.9,63,上海市,121.5093725,31.1803881
川菜, 浦东新区,67,6.8,6.5,6.8,45,上海市,121.5093725,31.1803881
快餐, 浦东新区,62,8.6,8.9,8.6,24,上海市,121.5093725,31.1803881
龙虾, 杨浦区,183,8.3,7.8,8.3,94,上海市,121.5093524,31.31151632
甜点, 杨浦区,30,7.4,7.3,7.4,21,上海市,121.5093547,31.27284492
火锅, 杨浦区,363,9.1,9.1,8.8,131,上海市,121.5093502,31.30217393
快餐, 杨浦区,69,7.8,7.5,7.8,10,上海市,121.5093502,31.30217393
料理, 杨浦区,61,5.9,6.1,5.7,52,上海市,121.5093502,31.30217393
咖啡厅, 杨浦区,1649,7.3,6.9,7,35,上海市,121.5093502,31.30217393
快餐, 杨浦区,44,7.8,7.7,7.4,11,上海市,121.5093502,31.26638466
快餐, 闵行区,3,7.3,7.3,7.3,18,上海市,121.5093474,31.08564394
快餐, 闵行区,3,6.5,6.4,6.4,27,上海市,121.5093474,31.08564394
龙虾, 杨浦区,19,6.8,6.9,6.9,82,上海市,121.5093233,31.31152623
甜点, 浦东新区,140,7.8,7.7,7.7,13,上海市,121.509327,31.19643295
浙菜, 浦东新区,148,7.8,8,7.9,65,上海市,121.5093171,31.20660395
甜点, 杨浦区,117,7.7,7.2,7,36,上海市,121.5093083,31.27602844
甜点, 杨浦区,17,6.9,6.8,6.8,20,上海市,121.5093083,31.27602844
美食, 杨浦区,104,7.3,7,7.3,18,上海市,121.5093083,31.27602844
烧烤, 杨浦区,40,8.6,7.5,7.7,19,上海市,121.5093083,31.27602844
咖啡厅, 杨浦区,208,8.5,9.1,9.1,56,上海市,121.5093044,31.3098878
咖啡厅, 杨浦区,68,7.1,7.3,7.3,34,上海市,121.5093044,31.3098878
快餐, 杨浦区,31,7.5,7.2,7.3,30,上海市,121.5093046,31.29602823
快餐, 杨浦区,556,7.6,6.6,6.7,16,上海市,121.5092842,31.27608834
快餐, 杨浦区,562,7.8,7.6,7.5,56,上海市,121.5092842,31.27608834
粤菜, 浦东新区,53,7.4,7.4,7.5,27,上海市,121.5092849,31.19651379
快餐, 杨浦区,2,7.3,7.2,7.3,28,上海市,121.5092712,31.31131216
粤菜, 杨浦区,2239,7.1,7.6,7.4,64,上海市,121.5092655,31.30713475
本菜, 杨浦区,4294,7.6,7.7,7.5,96,上海市,121.5092655,31.30713475
咖啡厅, 杨浦区,515,8,8.1,7.8,36,上海市,121.5092655,31.30713475
