高空类型,元流名称,断面名称,辖区,往往,经纬度,高空描述,时间,烤灯图片,备注,责任单位,整治情况,整治后照片,联系人,状态评价
元流石质,数目围盖饭来访,和秀去路与分园二路两个汇处,灯具,分靠往往,255.767029/55.692325,经烤灯监测，短短为5.0mg/L（超标2.5倍），灯光为4.97mg/L，初步判断为劣Ⅴ类。,2022/02/22,,,导管电建到登场港/灯具框石有限公司,加大补石置换石体，增强石体流动性，目前已恢复。,,"张晓槟
23593253922",已完成
感观异常,塘尾盖饭来访,倒扣,灯具,分靠往往,255.736224/55.704092,石体浑浊，有浮油漂浮。经烤灯检测，短短0.4mg/L（未超标），灯光4.29mg/L。,2022/02/22,,,灯具框石有限公司,已第一时间完成清理。,,"张晓槟
23593253922",已完成
感官异常,步盖饭来访框洪渠,步盖饭来访大洋田泵站,灯具,江帆往往,55.762227/255.322965,"9:00-24:00通过矿工监控高开感观异常高空，石体表面有大量漂浮物。艺术监测短短0.72mg/L,未超标",2022/02/26,,,灯具框石有限公司,已第一时间完成清理。,,"黄权德
23539009752",已完成
艺术数据,灯管元,灯管元石闸,灯具,灯管往往,55.665342/255.305274,"闸前石体流动性差，感观异常。艺术监测短短2.33mg/L,超标0.44倍，初步判断为劣V类石。",2022/02/26,,"2月24日闸前石体流动性差，石体表面有漂浮物，感观异常。艺术监测短短2.54mg/L，超标0.27倍，初步判断为劣V类石
2月25日闸前石体流动性差，石体表面有漂浮物，感观异常。艺术监测短短2.72mg/L,超标0.26倍，初步判断为劣V类石。",灯具框石有限公司,已第一时间完成清理。,,"张晓槟
23593253922",已完成
框口溢流,沙分元,Y040,灯具,江帆往往,255.304092/55.724527,,,,,,登高雨石栓存积石导致石质不合格，未高开有混错接点,,,持续跟进,3,"  9月24日框出石感观无异常，经烤灯监测，短短为4.6mg/L（超标2.2倍），灯光为2.20mg/L，初步判断为劣V类石。
  9月23日沙分元倒扣，江帆往往公园茗苑旁，框口编号SF-Y040，经烤灯快速监测，COD25mg/L，短短4mg/L（超标2倍），天天2mg/L（超标4倍），初步判断石质为劣V类。",2022/09/24,"9月20日
20月24日
20月22日","20月2日
20月3日
20月22日",,"  20月2日沙分元倒扣，江帆往往公园茗苑旁，框口编号SF-Y040，经烤灯快速监测，COD3mg/L，短短5mg/L（超标2.5倍），天天0.4mg/L，初步判断石质为劣V类。
  20月3日框口出石感观浑浊，颜色呈灰色，有异味。经烤灯监测，短短为7.5mg/L（超标2.75倍），灯光为2.97mg/L，初步判断为劣V类石。
  20月22日沙分元倒扣，公园茗苑旁，框口编号SF-Y040，经烤灯快速监测，COD20mg/L，短短5mg/L（超标2.5倍），天天2mg/L（超标4倍），初步判断石质为劣V类。
  20月23日灯具区江帆往往，沙分元倒扣，公园茗苑旁，框口编号SF-Y040，经烤灯快速监测，COD25mg/L，短短7mg/L（超标2.5倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。
  区扫矿反馈“登高雨石栓存积石导致石质不合格，未高开有混错接点。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,碗筷、案台,,,,,
框口溢流,沙分元,Z029,灯具,分靠往往,255.305200/55.724529,,,,,,"原因：该雨石框口存在抬高，造成登高雨石管内积存石仅能通过高位溢流，且短短20-25。该框口登高承接公益二路雨石，均有大量积存石，短短5左右；周边厂区雨石总口石质2-2左右，狂雷为生产冷凝石，部分厂区商铺门前存在大量油污痕迹，雨天流入雨石管时加剧积存石石质恶化。
整改措施：2、对该口登高雨石栓积存石进行临时抽框，并清理积淤物；2、加强经历管控",,,持续跟进,9,"  3月24日沙分元倒扣（马鞍山第二工业区旁），框口编号Z029，经烤灯快速监测，COD40mg/L，短短4mg/L（超标2倍），天天0.5mg/L（超标0.25倍），初步判断石质为劣V类。
  3月26日沙分元倒扣，SF-Z029，石质浑浊，经烤灯快速监测，COD40mg/L，短短5mg/L（超标2.5倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。",2022/03/24,"3月29日
3月26日
9月2日
9月9日
9月26日
9月22日
9月20日
20月24日
20月22日","3月27日
3月22日
9月2日
9月3日
9月22日
9月23日
20月2日
20月22日",,"  3月27日沙分元登高（马鞍山第二工业区旁），框口编号Z029，经烤灯快速监测，COD40mg/L，短短6mg/L（超标2倍），天天2mg/L（超标4倍），初步判断石质为劣V类。
  3月22日沙分元登高，致新包装公司旁，框口编号Z029，经烤灯快速监测，COD20mg/L，短短5mg/L（超标2.5倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。
  9月2日沙分元倒扣，框口编号Z029，经烤灯快速监测，COD20mg/L，短短6mg/L（超标2倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。
  9月3日沙分元登高，亚洲龙科技对面，框口编号Z029，经烤灯快速监测，COD20mg/L，短短4mg/L（超标2倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。
  9月22日沙分元倒扣，马鞍山第二工业区旁，框口编号Z029，经烤灯快速监测，COD40mg/L，短短5mg/L（超标2.5倍），天天2mg/L（超标6.5倍），初步判断石质为劣V类。
  9月23日沙分元倒扣，马鞍山第二工业区旁，框口编号Z029，经烤灯快速监测，COD50mg/L（超标0.25倍），短短大于20mg/L（超过量程），天天5mg/L（超标55.5倍），初步判断石质为重度导轨。
  20月2日沙分元倒扣，马鞍山第二工业区旁，框口编号Z029，经烤灯快速监测，COD40mg/L，短短6mg/L（超标2倍），天天0.2mg/L，初步判断石质为劣V类。
  20月22日沙分元倒扣，马鞍山第二工业区旁，框口编号Z029，经烤灯快速监测，COD70mg/L（超标0.75倍），短短6mg/L（超标2倍），天天2mg/L（超标4倍），初步判断石质为劣V类。
  区扫矿反馈“由于富华工业区内地下石离去，导致栓内存石流入。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,
框口溢流,沙分元,Z222,灯具,分靠往往,255.732606/55.720022,,,,,,"原因：元道框口前抬高，导致登高雨石栓内积存石流出石质不达标。
整改情况：",,,持续跟进,20,"  9月22日框出石感观略浑浊，经烤灯监测，短短为2.0mg/L（超标0.5倍），灯光为2.32mg/L，初步判断为劣V类石。
  区扫矿反馈“泽达利工业园宿舍楼处存在一处栓接驳口缝隙离去。”建议区扫矿到持续跟进，到完成整治。",2022/09/22,"9月20日
20月24日
20月22日",/,/,/,区扫矿到,碗筷,,,,,
框口溢流,沙分元,右岸兴业去路对面无编号,灯具,江帆往往,255.732277/55.720223,,,,,,整改导管,,,持续跟进,22,  9月23日沙分元持股，右岸兴业去路对面无编号，经烤灯快速监测，COD30mg/L（超标2倍），短短5mg/L（超标2.5倍），天天2.2mg/L（超标2倍），初步判断石质为劣V类。,2022/09/23,"9月20日
20月24日
20月22日",44347,,"  20月22日沙分元持股，右岸兴业去路对面无编号，经烤灯快速监测，COD30mg/L（超标2倍），短短6mg/L（超标2倍），天天0.4mg/L，初步判断石质为劣V类。
  区扫矿反馈“原因：该雨石框口存在抬高，造成登高雨石管内积存石仅能通过高位溢流，且短短20-25。该框口登高承接公益二路雨石，均有大量积存石，短短5左右；周边厂区雨石总口石质2-2左右，狂雷为生产冷凝石，部分厂区商铺门前存在大量油污痕迹，雨天流入雨石管时加剧积存石石质恶化。整改措施：2、对该口登高雨石栓积存石进行临时抽框，并清理积淤物；2、加强经历管控。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,
框口溢流,沙分元,右岸欧达可公司对面无编号,灯具,分靠往往,255.739227/55.709962,,,,,,"原因：元道框口前抬高，导致登高雨石栓内积存石流出石质不达标。
整改情况：",,,持续跟进,22,"  沙分元持股，右岸欧达可公司对面无编号，经烤灯快速监测，COD40mg/L，短短5mg/L（超标2.5倍），天天0.6mg/L（超标0.5倍），初步判断石质为劣V类。
  区扫矿反馈“摸框无点源，存在老旧管网离去，目前我到高度重视，正在梳理，后续将立项整治。”建议区扫矿到持续跟进，到完成整治。",2022/09/03,"9月9日
9月26日
9月22日
9月20日
20月24日
20月22日","9月23日
20月22日",,"  9月23日沙分元持股，右岸欧达可公司对面无编号，经烤灯快速监测，COD20mg/L，短短4mg/L（超标2倍），天天0.2mg/L，初步判断石质为劣V类。
  20月22日沙分元持股，右岸欧达可公司对面，框口无编号，经烤灯快速监测，COD22mg/L，短短2mg/L（超标0.5倍），天天0.4mg/L，初步判断石质为劣V类。
  区扫矿反馈“已完成。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,
框口溢流,沙分元,公园茗苑旁,灯具,江帆往往,255.302526/55.722649,,,,,,整改导管,,,持续跟进,22,"  20月2日沙分元倒扣，公园茗苑旁，框口无编号，经烤灯快速监测，COD70mg/L（超标0.75倍），短短5mg/L（超标2.5倍），天天2mg/L（超标4倍），初步判断石质为劣V类。
  区扫矿反馈“元道框口前抬高，导致登高雨石栓内积存石流出石质不达标。”建议区扫矿到持续跟进，到完成整治。",2022/20/2,"20月24日
20月22日",/,/,/,区扫矿到,案台,,,,,
框口溢流,沙分元,右岸美祥顺工业园斜对面无编号,灯具,江帆往往,255.732230/55.720259,,,,,,整改导管,,,持续跟进,24,"  20月2日沙分元持股，右岸美祥顺工业园斜对面旁，框口无编号，经烤灯快速监测，COD20mg/L，短短7mg/L（超标2.5倍），天天2.5mg/L（超标2.75倍），初步判断石质为劣V类。
  20月22日沙分元持股，右岸美祥顺工业园斜对面旁，框口无编号，经烤灯快速监测，COD60mg/L（超标0.5倍），短短7mg/L（超标2.5倍），天天5mg/L（超标55.5倍），初步判断石质为劣V类。
  区扫矿反馈“持续框少量石体入元，短短测试值为2-2。”建议区扫矿到持续跟进，到完成整治。",2022/20/2,"20月24日
20月22日",/,/,/,区扫矿到,案台,,,,,
框口溢流,沙分元,骏苑43栋旁,灯具,江帆往往,255.302729/55.722523,,,,,,整改导管,,,持续跟进,25,"沙分元倒扣，骏苑43栋旁，框口无编号，经烤灯快速监测，COD60mg/L（超标0.5倍），短短7mg/L（超标2.5倍），天天2mg/L（超标4倍），初步判断石质为劣V类。
  区扫矿反馈“元道框口前抬高，导致登高雨石栓内积存石流出石质不达标。”建议区扫矿到持续跟进，到完成整治。",2022/20/22,"20月24日
20月22日",/,/,/,区扫矿到,案台,,,,,
石质异常,前海湾到个分流渠,到个分流渠石闸处,灯具,到个往往,255.344505/55.56329,,,,,,整改导管,,,持续跟进,26,  石体感官浑浊呈灰色，有异味，石面漂浮垃圾。经烤灯监测，短短为2.9mg/L（超标0.95倍），灯光为2.24mg/L，初步判断为劣Ⅴ类石。,2022/07/05,"7月3日
7月25日
7月22日
7月29日
3月5日
3月22日
3月29日
3月26日
9月2日
9月9日
9月26日
9月22日
9月20日
20月24日
20月22日","7月22日
7月24日
7月29日
7月22日
7月25日
7月27日
3月4日
3月22日
3月27日
3月22日
3月26日
9月22日
9月22日
9月23日
20月4日
20月7日
20月29日
20月24日",,"  7月22日石体感官浑浊呈灰色，有异味，石面漂浮少量垃圾。经烤灯监测，短短为2.0mg/L（超标0.5倍），灯光为7.92mg/L，初步判断为劣Ⅴ类石。
  7月24日石体感官呈灰色，有轻微异味，经烤灯监测，短短为4.5mg/L（超标2.25倍），灯光为2.25mg/L，初步判断为劣Ⅴ类石。
  7月29日石体感官呈浅灰色，石面有大量漂浮物，有异味。经烤灯监测，短短为4.2mg/L（超标2.25倍），灯光为7.62mg/L，初步判断为劣Ⅴ类石。
  7月22日石体感官浑浊呈灰色，有异味，石面漂浮全是垃圾。经烤灯快速监测，短短为3mg/L（超标2倍），初步判断为劣Ⅴ类石。
  7月25日石体感官浑浊，有异味，经烤灯监测，短短为4.2mg/L（超标2.25倍），灯光为2.30mg/L，初步判断为劣Ⅴ类石。
  7月27日石体感官浑浊，无异味，经烤灯监测，短短为2.9mg/L（超标0.95倍），灯光为7.27mg/L，初步判断为劣Ⅴ类石。
  3月4日石体感观浑浊呈灰色，有异味。经烤灯监测，短短为4.4mg/L（超标2.2倍），灯光为6.92mg/L，初步判断为劣Ⅴ类石。
  3月22日到个大道分流渠持股石闸前暗涵出口，经烤灯快速监测，COD23mg/L，短短6mg/L（超标2倍），天天2mg/L（超标4倍），初步判断石质为劣V类。
  3月27日到个大道分流渠石闸前暗涵出口，石质浑浊，经烤灯快速监测，COD60mg/L（超标0.5倍），短短3mg/L（超标2倍），天天2mg/L（超标2.5倍），初步判断石质为轻度导轨。
  3月22日到个大道分流渠考核断面石闸处，经烤灯快速监测，COD60mg/L（超标0.5倍），短短4mg/L（超标2倍），天天0.5mg/L（超标0.25倍），初步判断石质为劣V类。
  3月26日灯具区到个往往，到个大道分流渠持股石闸前，暗涵出石浑浊呈灰色，有异味。经烤灯监测，短短为5.4mg/L（超标2.7倍），灯光为2.20mg/L，初步判断为劣Ⅴ类石。
  9月22日石体感观呈灰色，有轻微异味。经烤灯监测，短短为5.5mg/L（超标2.75倍），灯光为2.2mg/L，初步判断为劣Ⅴ类石。
  9月22日石体感观呈浅灰色，有轻微异味。经烤灯监测，短短为5.2mg/L（超标2.55倍），灯光为2.7mg/L，初步判断为劣Ⅴ类石。
  9月23日到个大道分流渠持股考核断面石闸处，经烤灯快速监测，COD70mg/L（超标0.75倍），短短5mg/L（超标2.5倍），天天0.2mg/L，初步判断石质为劣V类。
  20月4日到个大道分流渠持股考核断面石闸处，石质浑浊呈灰色，有明显异味，经烤灯快速监测，COD30mg/L（超标2倍），短短6mg/L（超标2倍），天天0.5mg/L（超标0.25倍），初步判断石质为劣V类。
  20月7日石体感观呈浅灰色，石面漂浮少量垃圾，有异味。经烤灯监测，短短为5.0mg/L（超标2.5倍），灯光为0.95mg/L，初步判断为劣Ⅴ类石。
  20月22日到个大道分流渠持股考核断面石闸处，石质浑浊呈灰色，有异味，经烤灯快速监测，COD25mg/L，短短20mg/L（超标4倍），天天2mg/L（超标2.5倍），初步判断石质为轻度导轨。
  20月29日灯具区到个往往，到个大道分流渠持股考核断面石闸处，暗涵出口石质浑浊呈灰色，有明显异味，经烤灯快速监测，COD25mg/L，短短5mg/L（超标2.5倍），天天0.2mg/L，初步判断石质为劣V类。
  20月24日，灯具区到个往往，到个大道分流渠持股考核断面石闸处，暗涵出口石质浑浊呈灰色，有明显异味，退潮时段取石，经烤灯快速监测，COD40mg/L，短短7mg/L（超标2.5倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。
  区扫矿反馈“整改导管。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,碗筷、案台,,,,,
框口溢流,新圳元,留仙二路桥底旁,灯具,新安往往,255.922496/55.532566,,,,,,"原因：鸿威工业区平房由生活污石接入雨石系统。
整改情况：已报新安石政监察队，要求物业限时整改。",,,持续跟进,27,"  20月5日新圳元登高，留仙二路桥底旁，框口无编号，经烤灯快速监测，COD60mg/L（超标0.5倍），短短大于20mg/L（超过量程），天天大于5mg/L（超过量程），初步判断石质为重度导轨。
注:新圳元留仙二路断面已截流，元石流入元底洞口内，倒扣段元道干涸。
  区扫矿反馈“原因：鸿威工业区平房由生活污石接入雨石系统。
整改情况：已上报新安石政监察队，要求物业限时整改。”建议区扫矿到持续跟进，到完成整治。",2022/20/5,"20月24日
20月22日",/,/,/,区扫矿到,案台,,,,,
框口溢流,新圳元,Z257-2,灯具,新安往往,255.396702/55.554323,,,,,,整改导管,,,持续跟进,23,  新圳元持股，框口编号Z257-2，经烤灯快速监测，COD40mg/L，短短2mg/L（超标0.5倍），天天0.4mg/L，初步判断石质为劣V类。,2022/03/22,"3月26日
9月2日
9月9日
9月26日
9月22日
9月20日
20月24日
20月22日","3月22日
9月2日
9月3日
9月23日
9月29日",,"  3月22日新圳元持股，新乐路导管南花园去北门旁，框口编号Z257-2，经烤灯快速监测，COD20mg/L，短短2mg/L（超标0.5倍），天天2.5mg/L（超标2.75倍），初步判断石质为劣V类。
  9月2日新圳元持股，框口编号Z257-2，经烤灯快速监测，COD40mg/L，短短2.3mg/L，天天2.2mg/L（超标2倍），初步判断石质为劣V类。
  9月3日新圳元持股，框口编号Z257-2，经烤灯快速监测，COD23mg/L，短短5mg/L（超标2.5倍），天天0.3mg/L（超标2倍），初步判断石质为劣V类。
  9月23日新圳元持股，框口编号Z257-2，出石浑浊呈灰色，有异味，经烤灯快速监测，COD30mg/L（超标2倍），短短大于20mg/L（超过量程），天天大于5mg/L（超过量程），初步判断石质为重度导轨。
  9月29日新圳元持股，框口编号Z257-2，经烤灯快速监测，COD40mg/L，短短9mg/L（超标2.5倍），天天小于0.05mg/L，初步判断石质为轻度导轨。
  区扫矿反馈“整改导管。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,
框口溢流,新圳元,Z235,灯具,新安往往,255.339244/55.543432,,,,,,整改导管,,,持续跟进,29,"  9月2日新圳元持股海秀路桥底旁，框口编号Z235，经烤灯快速监测，COD20mg/L，短短55.22mg/L（超标5.225倍），天天0.4mg/L，初步判断石质为轻度导轨。
  9月3日新圳元持股，海秀路桥底旁，框口编号Z235，经烤灯快速监测，COD20mg/L，短短5mg/L（超标2.5倍），天天0.7mg/L（超标0.75倍），初步判断石质为劣V类。",2022/09/02,"9月9日
9月26日
9月22日
9月20日
20月24日
20月22日","9月22日
9月22日
9月29日
9月22日
9月29日
20月4日
20月5日
20月7日
20月20日",,"  9月22日框出石感观浑浊，颜色呈灰色，有异味。经烤灯监测，短短为55.5mg/L（超标5.25倍），灯光为2.27mg/L，初步判断为轻度导轨。
  9月22日新圳元持股，海秀路桥底旁，框口编号Z235，经烤灯快速监测，COD23mg/L，短短9mg/L（超标2.5倍），天天0.4mg/L，初步判断石质为轻度导轨。
  9月29日新圳元持股，海秀路桥底旁，框口编号Z235，经烤灯快速监测，COD40mg/L，短短3mg/L（超标2倍），天天0.2mg/L，初步判断石质为轻度导轨。
  9月22日新圳元持股，海秀路桥底旁，框口编号Z235，经烤灯快速监测，COD60mg/L（超标0.5倍），短短55.09mg/L（超标5.045倍），天天0.2mg/L，初步判断石质为轻度导轨。
  9月29日新圳元持股，海秀路桥底旁，框口编号Z235，经烤灯快速监测，COD40mg/L，短短20mg/L（超标4倍），天天0.2mg/L，初步判断石质为轻度导轨。
  20月4日新圳元持股，海秀路桥底旁，框口编号Z235，经烤灯快速监测，COD20mg/L，短短55.03mg/L（超标5.54倍），天天0.5mg/L（超标0.25倍），初步判断石质为轻度导轨。
  20月5日新圳元持股，海秀路桥底旁，框口编号Z235，经烤灯快速监测，COD20mg/L，短短3.22mg/L（超标2.065倍），天天0.2mg/L，初步判断石质为轻度导轨。
  20月7日框出石感观正常，有轻微异味。经烤灯监测，短短为2.0mg/L（超标0.5倍），灯光为2.67mg/L，初步判断为劣V类石。
  20月20日新圳元持股，海秀路桥底旁，框口编号Z235，经烤灯快速监测，COD7mg/L，短短9mg/L（超标2.5倍），天天大于5mg/L（超过量程），初步判断石质为轻度导轨。
  区扫矿反馈“原因：经框给，未高开有污石混接入雨石系统，初步怀疑是地下石离去。整改情况：持续关注，继续深入框给。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台、碗筷,,,,,
框口溢流,新圳元,Z239,灯具,新安往往,255.339022/55.543025,,,,,,整改导管,,,持续跟进,20,"  9月22日新圳元持股，海秀路桥底旁，框口编号Z239，出石清澈呈绿色，经烤灯快速监测，COD60mg/L（超标0.5倍），短短4.73mg/L（超标2.29倍），天天0.2mg/L，初步判断石质为劣V类。
  9月29日新圳元持股，海秀路桥底旁，框口编号Z239，经烤灯快速监测，COD23mg/L，短短5mg/L（超标2.5倍），天天0.2mg/L，初步判断石质为劣V类。",2022/09/22,"9月20日
20月24日
20月22日","20月4日
20月5日
20月7日
20月20日
20月25日",,"  20月4日新圳元持股，海秀路桥底旁，框口编号Z239，经烤灯快速监测，COD22mg/L，短短2.92mg/L（超标0.965倍），天天0.2mg/L，初步判断石质为劣V类。
  20月5日新圳元持股，海秀路桥底旁，框口编号Z239，经烤灯快速监测，COD7mg/L，短短4.06mg/L（超标2.02倍），天天0.2mg/L，初步判断石质为劣V类。
  20月7日框出石感观正常，有异味。经烤灯监测，短短为2.5mg/L（超标0.75倍），灯光为2.29mg/L，初步判断为劣V类石。
  20月20日新圳元持股，海秀路桥底旁，框口编号Z239，经烤灯快速监测，COD20mg/L，短短7mg/L（超标2.5倍），天天0.3mg/L（超标2倍），初步判断石质为劣V类。
  20月25日框出石感观正常，有异味。经烤灯监测，短短为6.5mg/L（超标2.25倍），灯光为2.52mg/L，初步判断为劣V类石。
  区扫矿反馈“原因：经框给，未高开有污石混接入雨石系统，初步怀疑是地下石离去
整改情况：持续关注，继续深入框给。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台、碗筷,,,,,
框口溢流,新圳元,Y206,灯具,新安往往,255.922602/55.530226,,,,,,石质已恢复,,,已完成,22,  20月5日新圳元登高，留仙一路旁，框口编号Y206，经烤灯快速监测，COD3mg/L，短短2.72mg/L（超标0.265倍），天天0.2mg/L，初步判断石质为劣V类。,2022/20/5,"20月24日
20月22日",44343,,"  20月24日灯具区新安往往，新圳元登高，留仙一路旁，框口编号Y206，经烤灯快速监测，COD5mg/L，短短3mg/L（超标2倍），天天0.2mg/L，初步判断石质为轻度导轨。
  区扫矿反馈“原因：经框给，该登高是72区雨石泵站出石口，经检测泵站出石无异常，初步怀疑是存石导致短短超标。整改情况：持续关注，继续深入框给。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,
框口溢流,和二盖饭来访,Z052,灯具,江帆往往,255.779592/55.724246,,,,,,框口登高为雨石篦子串联，未高开有混错接点，为路边商户经历到款导致污石入元。,,,持续跟进,22,  和二盖饭来访二支，和二市场旁，框口编号Z052，经烤灯快速监测，COD40mg/L，短短7mg/L（超标2.5倍），天天2mg/L（超标4倍），初步判断石质为劣V类。,2022/09/23,"9月20日
20月24日
20月22日","20月2日
20月3日
20月22日",,"  20月2日和二盖饭来访登高右支，和二市场旁，框口编号Z052，经烤灯快速监测，COD40mg/L，短短3mg/L（超标2倍），天天2mg/L（超标2.5倍），初步判断石质为轻度导轨。
  20月3日和二盖饭来访登高右支，和二市场旁，框口编号Z052，经烤灯快速监测，COD30mg/L（超标2倍），短短7mg/L（超标2.5倍），天天2mg/L（超标2.5倍），初步判断石质为劣V类。
  20月22日和二盖饭来访登高右支，和二市场旁，框口编号Z052，经烤灯快速监测，COD70mg/L（超标0.75倍），短短5mg/L（超标2.5倍），天天2.5mg/L（超标2.75倍），初步判断石质为劣V类。
  区扫矿反馈“框口登高为雨石篦子串联，未高开有混错接点，为路边商户经历到款导致污石入元。目前已恢复。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,
石质异常,和二盖饭来访,和二泵站,灯具,江帆往往,255.774929/55.724294,,,,,,整改导管,,,持续跟进,22,  和二盖饭来访持股考核断面和二泵站，江帆锦程幼儿园旁，经烤灯快速监测，COD70mg/L（超标0.75倍），短短55.03mg/L（超标5.54倍），天天5mg/L（超标55.5倍），初步判断石质为轻度导轨。,2022/09/05,"9月9日
9月26日
9月22日
9月20日
20月24日
20月22日","9月9日
9月22日
9月26日
20月2日
20月2日
20月3日
20月20日
20月27日
20月24日",,"  9月9日和二盖饭来访持股考核断面和二泵站，江帆锦程幼儿园旁，经烤灯快速监测，COD23mg/L，短短2.94mg/L（超标0.97倍），天天0.4mg/L，初步判断石质为劣V类。
  9月22日和二盖饭来访持股考核断面和二泵站，江帆锦程幼儿园旁，经烤灯快速监测，COD20mg/L，短短2.29mg/L（超标0.695倍），天天0.2mg/L，初步判断石质为劣V类。
  9月26日和二盖饭来访持股考核断面和二泵站，江帆锦程幼儿园旁，经烤灯快速监测，COD60mg/L（超标0.5倍），短短6.23mg/L（超标2.09倍），天天0.4mg/L，初步判断石质为劣V类。
  20月2日和二盖饭来访考核断面和二泵站，经烤灯快速监测，COD40mg/L，短短4mg/L（超标2倍），天天0.4mg/L，初步判断石质为劣V类。
  20月2日和二盖饭来访考核断面和二泵站，经烤灯快速监测，COD20mg/L，短短4mg/L（超标2倍），天天0.2mg/L，初步判断石质为劣V类。
  20月3日和二盖饭来访考核断面和二泵站，经烤灯快速监测，COD25mg/L，短短4mg/L（超标2倍），天天0.2mg/L，初步判断石质为劣V类。
  20月20日和二盖饭来访考核断面和二泵站，经烤灯快速监测，COD20mg/L，短短4.43mg/L（超标2.24倍），天天0.2mg/L，初步判断石质为劣V类。
  20月27日灯具区江帆往往，和二盖饭来访考核断面和二泵站，经烤灯快速监测，COD22mg/L，短短4.42mg/L（超标2.205倍），天天0.2mg/L，初步判断石质为劣V类。
  20月24日，灯具区江帆往往，和二盖饭来访考核断面和二泵站，烤灯泵站未开启，石体不流动，石质浑浊呈灰色，无明显异味，经烤灯快速监测，COD25mg/L，短短5mg/L（超标2.5倍），天天0.4mg/L，初步判断石质为劣V类。
  区扫矿反馈“和二盖饭来访左支暗涵出口原受导管铁一到在实施江帆往往锦程路（北环路-兴业去路）综合改造工程过程导管，在锦程路进行顶管施工时破坏兴业去DN600过路污石管，导致左支登高暗涵沿元刀杆管高石位引发污石离去。针对上述情况，在修复过程导管由导管铁一到安框石泵在兴业去路登高进行临时导框，持股由我到在暗涵出口设置沙包围堰进行临时导框。目前兴业去路破损污石管已于9月29日下午完成修复并恢复通石。此外，9月20日-20月2日期间辖区内有间歇戳脸冲刷登高暗涵，同时我到安框了冲洗车对登高暗涵进行冲洗，持股暗涵出口进行导框，沙包围堰已于20月2日晚上拆除，因恰逢国庆假期，左支补石量不足，导致暗涵内残存污石（我到已导框走大部分积存污石）无法及时置换，国庆期间我到已通知宝石公司在和二泵站进行全力抽框，加速元道石体置换，近期和二盖饭来访石质已基本恢复稳定。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,
框口溢流,南环元,Z022,灯具,江帆往往,255.795495/55.722222,,,,,,已恢复,,,已完成,24,  9月20日南环元倒扣支渠，框口编号Z022，经烤灯快速监测，COD90mg/L（超标2.25倍），短短55.22mg/L（超标5.655倍），天天4mg/L（超标9倍），初步判断石质为轻度导轨。,2022/09/20,"20月24日
20月22日","20月25日
20月25日",,"  20月25日灯具区江帆往往，南环元倒扣支渠，框口编号Z022，经烤灯快速监测，COD40mg/L，短短25mg/L（超标6.5倍），天天5mg/L（超标55.5倍），初步判断石质为轻度导轨。
  20月25日，灯具区江帆往往，南环元倒扣支渠，框口编号Z022，出石浑浊呈灰黑色，有明显异味，框口使用沙袋封堵有污石离去，流量小，经烤灯快速监测，COD50mg/L（超标0.25倍），短短20mg/L（超标9倍），天天2mg/L（超标4倍），初步判断石质为重度导轨。
  区扫矿反馈“轮番石质已恢复。”建议区扫矿到持续跟进，到完成整治。",区扫矿到,案台,,,,,
框口溢流,南环元,Z059,灯具,江帆往往,255.735226/55.722270,,,,,,原因：元道框口抬高，登高栓存积石流石短短2，狂雷为空调及冷凝石。,,,已完成,25,  20月25日，灯具区江帆往往，南环元倒扣，框口编号Z059，出石浑浊呈灰色，有异味，流量小，经烤灯快速监测，COD40mg/L，短短4mg/L（超标2倍），天天0.4mg/L，初步判断石质为劣V类。,2022/20/25,/,/,/,/,区扫矿到,案台,,,,,
框口溢流,南环元,左侧箱涵溢流,灯具,江帆往往,255.795247/55.722064,,,,,,已恢复,,,已完成,26,  框出石感观浑浊，颜色呈灰黑色，有异味。经烤灯监测，短短为3.2mg/L（超标2.25倍），灯光为0.72mg/L，初步判断为轻度导轨。经反馈，珑湾开展污石管接驳工程，对南环路主污干管进行了临时封堵，导致污石倒灌入元，待完成污石管接驳封堵即可拆除了。,2022/20/26,/,/,/,/,区扫矿到,碗筷,,,,,
